"X"	"Subcellular.location..CC."	"Intramembrane"	"Topological.domain"	"Transmembrane"
"70"	"Q13740"	"SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:15048703, ECO:0000269|PubMed:15294938, ECO:0000269|PubMed:16352806, ECO:0000269|PubMed:23169771, ECO:0000269|PubMed:24740813, ECO:0000269|PubMed:24945728, ECO:0000269|PubMed:7760007}; Single-pass type I membrane protein {ECO:0000305}. Cell projection, axon {ECO:0000250|UniProtKB:Q61490}. Cell projection, dendrite {ECO:0000250|UniProtKB:Q61490}. Note=Detected at the immunological synapse, i.e, at the contact zone between antigen-presenting dendritic cells and T-cells (PubMed:15294938, PubMed:16352806). Colocalizes with CD6 and the TCR/CD3 complex at the immunological synapse (PubMed:15294938). {ECO:0000269|PubMed:15294938, ECO:0000269|PubMed:16352806}.; SUBCELLULAR LOCATION: [Isoform 3]: Secreted {ECO:0000269|PubMed:15496415}."	NA	"TOPO_DOM 28..527; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 550..583; /note=Cytoplasmic; /evidence=ECO:0000255"	"TRANSMEM 528..549; /note=Helical; /evidence=ECO:0000255"
"83"	"Q16671"	"SUBCELLULAR LOCATION: Membrane; Single-pass type I membrane protein."	NA	"TOPO_DOM 18..149; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 171..573; /note=Cytoplasmic; /evidence=ECO:0000255"	"TRANSMEM 150..170; /note=Helical; /evidence=ECO:0000255"
"95"	"Q9H6X2"	"SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:16762926}; Single-pass type I membrane protein {ECO:0000269|PubMed:16762926}. Cell projection, lamellipodium membrane {ECO:0000269|PubMed:16762926}; Single-pass type I membrane protein {ECO:0000269|PubMed:16762926}. Cell projection, filopodium membrane {ECO:0000269|PubMed:16762926}; Single-pass type I membrane protein {ECO:0000269|PubMed:16762926}. Note=At the membrane of lamellipodia and at the tip of actin-enriched filopodia (PubMed:16762926). Colocalizes with actin at the base of lamellipodia (PubMed:16762926). {ECO:0000269|PubMed:16762926}."	NA	"TOPO_DOM 33..321; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 343..564; /note=Cytoplasmic; /evidence=ECO:0000255"	"TRANSMEM 322..342; /note=Helical; /evidence=ECO:0000255"
"115"	"Q06481"	"SUBCELLULAR LOCATION: Cell membrane {ECO:0000305}; Single-pass type I membrane protein {ECO:0000305}. Nucleus {ECO:0000305}."	NA	"TOPO_DOM 32..692; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 717..763; /note=Cytoplasmic; /evidence=ECO:0000255"	"TRANSMEM 693..716; /note=Helical; /evidence=ECO:0000255"
"121"	"P05067"	"SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:10383380, ECO:0000269|PubMed:20580937, ECO:0000269|PubMed:2649245, ECO:0000305|PubMed:25122912}; Single-pass type I membrane protein {ECO:0000269|PubMed:30630874, ECO:0000305|PubMed:10383380, ECO:0000305|PubMed:25122912}. Membrane {ECO:0000269|PubMed:2900137, ECO:0000305|PubMed:22584060}; Single-pass type I membrane protein {ECO:0000269|PubMed:2900137, ECO:0000269|PubMed:30630874, ECO:0000305|PubMed:22584060}. Perikaryon {ECO:0000269|PubMed:10341243}. Cell projection, growth cone {ECO:0000269|PubMed:10341243}. Membrane, clathrin-coated pit {ECO:0000269|PubMed:20580937}. Early endosome {ECO:0000269|PubMed:20580937}. Cytoplasmic vesicle {ECO:0000269|PubMed:20580937, ECO:0000269|PubMed:25122912}. Note=Cell surface protein that rapidly becomes internalized via clathrin-coated pits. Only a minor proportion is present at the cell membrane; most of the protein is present in intracellular vesicles (PubMed:20580937). During maturation, the immature APP (N-glycosylated in the endoplasmic reticulum) moves to the Golgi complex where complete maturation occurs (O-glycosylated and sulfated). After alpha-secretase cleavage, soluble APP is released into the extracellular space and the C-terminal is internalized to endosomes and lysosomes. Some APP accumulates in secretory transport vesicles leaving the late Golgi compartment and returns to the cell surface. APP sorts to the basolateral surface in epithelial cells. During neuronal differentiation, the Thr-743 phosphorylated form is located mainly in growth cones, moderately in neurites and sparingly in the cell body (PubMed:10341243). Casein kinase phosphorylation can occur either at the cell surface or within a post-Golgi compartment. Associates with GPC1 in perinuclear compartments. Colocalizes with SORL1 in a vesicular pattern in cytoplasm and perinuclear regions. {ECO:0000269|PubMed:10341243, ECO:0000269|PubMed:20580937}.; SUBCELLULAR LOCATION: [C83]: Endoplasmic reticulum {ECO:0000269|PubMed:14527950}. Golgi apparatus {ECO:0000269|PubMed:14527950}. Early endosome {ECO:0000269|PubMed:14527950}.; SUBCELLULAR LOCATION: [C99]: Early endosome {ECO:0000269|PubMed:14527950}.; SUBCELLULAR LOCATION: [Soluble APP-beta]: Secreted {ECO:0000269|PubMed:10656250, ECO:0000269|PubMed:2649245}.; SUBCELLULAR LOCATION: [Amyloid-beta protein 40]: Cell surface {ECO:0000269|PubMed:16154999}.; SUBCELLULAR LOCATION: [Amyloid-beta protein 42]: Cell surface {ECO:0000269|PubMed:11689470, ECO:0000269|PubMed:16154999}. Note=Associates with FPR2 at the cell surface and the complex is then rapidly internalized. {ECO:0000269|PubMed:11689470}.; SUBCELLULAR LOCATION: [Gamma-secretase C-terminal fragment 59]: Nucleus {ECO:0000269|PubMed:11544248}. Cytoplasm {ECO:0000269|PubMed:11544248}. Note=Located to both the cytoplasm and nuclei of neurons. It can be translocated to the nucleus through association with APBB1 (Fe65) (PubMed:11544248). In dopaminergic neurons, the phosphorylated Thr-743 form is localized to the nucleus (By similarity). {ECO:0000250|UniProtKB:P12023, ECO:0000269|PubMed:11544248}."	NA	"TOPO_DOM 18..701; /note=Extracellular; /evidence=ECO:0000305; TOPO_DOM 723..770; /note=Cytoplasmic; /evidence=ECO:0000305"	"TRANSMEM 702..722; /note=Helical; /evidence=ECO:0000305|PubMed:22584060, ECO:0000305|PubMed:22654059, ECO:0000305|PubMed:30630874"
"143"	"Q5H9R4"	"SUBCELLULAR LOCATION: Membrane {ECO:0000255}; Single-pass membrane protein {ECO:0000255}."	NA	NA	"TRANSMEM 7..24; /note=Helical; /evidence=ECO:0000255"
"145"	"Q5T2E6"	"SUBCELLULAR LOCATION: Golgi apparatus membrane {ECO:0000269|PubMed:31519766}; Single-pass membrane protein {ECO:0000255}. Cytoplasm {ECO:0000269|PubMed:31519766}. Note=The majority of ARMD3 is cytosolic, with a portion colocalizing with GBF1 at juxtanuclear Golgi sites. {ECO:0000269|PubMed:31519766}."	NA	NA	"TRANSMEM 520..538; /note=Helical; /evidence=ECO:0000255"
"156"	"P07306"	"SUBCELLULAR LOCATION: [Isoform H1a]: Membrane; Single-pass type II membrane protein.; SUBCELLULAR LOCATION: [Isoform H1b]: Secreted {ECO:0000269|PubMed:20886072}."	NA	"TOPO_DOM 1..40; /note=Cytoplasmic; /evidence=ECO:0000305; TOPO_DOM 62..291; /note=Extracellular; /evidence=ECO:0000305"	"TRANSMEM 41..61; /note=Helical; Signal-anchor for type II membrane protein; /evidence=ECO:0000305"
"175"	"Q6P4H8"	"SUBCELLULAR LOCATION: Mitochondrion membrane {ECO:0000269|PubMed:30530489, ECO:0000305|PubMed:29444090}; Single-pass membrane protein {ECO:0000255}. Note=Localizes to mitochondrial cristae. {ECO:0000269|PubMed:29444090}."	NA	NA	"TRANSMEM 38..58; /note=Helical; /evidence=ECO:0000255"
"179"	"P30530"	"SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:28076778, ECO:0000269|PubMed:29379210, ECO:0000269|PubMed:7896447}; Single-pass type I membrane protein {ECO:0000269|PubMed:7896447}."	NA	"TOPO_DOM 26..451; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 473..894; /note=Cytoplasmic; /evidence=ECO:0000255"	"TRANSMEM 452..472; /note=Helical; /evidence=ECO:0000255"
"183"	"O75752"	"SUBCELLULAR LOCATION: Golgi apparatus membrane; Single-pass type II membrane protein."	NA	"TOPO_DOM 1..20; /note=Cytoplasmic; /evidence=ECO:0000255; TOPO_DOM 44..331; /note=Lumenal; /evidence=ECO:0000255"	"TRANSMEM 21..43; /note=Helical; Signal-anchor for type II membrane protein; /evidence=ECO:0000255"
"184"	"Q9P2W7"	"SUBCELLULAR LOCATION: [Isoform 1]: Golgi apparatus membrane {ECO:0000250|UniProtKB:O35789}; Single-pass type II membrane protein {ECO:0000250|UniProtKB:O35789}. Secreted {ECO:0000250|UniProtKB:O35789}.; SUBCELLULAR LOCATION: [Isoform 2]: Golgi apparatus membrane {ECO:0000250|UniProtKB:O35789}; Single-pass type II membrane protein {ECO:0000250|UniProtKB:O35789}. Endoplasmic reticulum membrane {ECO:0000250|UniProtKB:O35789}. Secreted {ECO:0000250|UniProtKB:O35789}."	NA	"TOPO_DOM 1..6; /note=Cytoplasmic; /evidence=ECO:0000255; TOPO_DOM 28..334; /note=Lumenal; /evidence=ECO:0000255"	"TRANSMEM 7..27; /note=Helical; Signal-anchor for type II membrane protein; /evidence=ECO:0000255"
"185"	"Q9NY97"	"SUBCELLULAR LOCATION: Golgi apparatus membrane {ECO:0000305}; Single-pass type II membrane protein {ECO:0000305}."	NA	"TOPO_DOM 1..7; /note=Cytoplasmic; /evidence=ECO:0000255; TOPO_DOM 29..397; /note=Lumenal; /evidence=ECO:0000255"	"TRANSMEM 8..28; /note=Helical; Signal-anchor for type II membrane protein; /evidence=ECO:0000255"
"187"	"Q6L9W6"	"SUBCELLULAR LOCATION: Golgi apparatus, Golgi stack membrane {ECO:0000269|PubMed:16728562}; Single-pass type II membrane protein {ECO:0000269|PubMed:16728562}. Note=Localizes to apical Golgi."	NA	"TOPO_DOM 1..24; /note=Cytoplasmic; /evidence=ECO:0000255; TOPO_DOM 46..998; /note=Lumenal; /evidence=ECO:0000255"	"TRANSMEM 25..45; /note=Helical; Signal-anchor for type II membrane protein; /evidence=ECO:0000255"
"188"	"Q76KP1"	"SUBCELLULAR LOCATION: Golgi apparatus, Golgi stack membrane {ECO:0000250}; Single-pass type II membrane protein {ECO:0000250}."	NA	"TOPO_DOM 1..15; /note=Cytoplasmic; /evidence=ECO:0000255; TOPO_DOM 37..1039; /note=Lumenal; /evidence=ECO:0000255"	"TRANSMEM 16..36; /note=Helical; Signal-anchor for type II membrane protein; /evidence=ECO:0000255"
"189"	"O60909"	"SUBCELLULAR LOCATION: Golgi apparatus, Golgi stack membrane; Single-pass type II membrane protein. Note=Trans cisternae of Golgi stack."	NA	"TOPO_DOM 1..15; /note=Cytoplasmic; /evidence=ECO:0000255; TOPO_DOM 37..372; /note=Lumenal; /evidence=ECO:0000255"	"TRANSMEM 16..36; /note=Helical; Signal-anchor for type II membrane protein; /evidence=ECO:0000255"
"190"	"O43286"	"SUBCELLULAR LOCATION: Golgi apparatus, Golgi stack membrane {ECO:0000250|UniProtKB:P15291}; Single-pass type II membrane protein. Golgi apparatus {ECO:0000250|UniProtKB:A0A1S6M251}. Note=Trans cisternae of Golgi stack. {ECO:0000250|UniProtKB:P15291}."	NA	"TOPO_DOM 1..14; /note=Cytoplasmic; /evidence=ECO:0000255; TOPO_DOM 36..388; /note=Lumenal; /evidence=ECO:0000255"	"TRANSMEM 15..35; /note=Helical; Signal-anchor for type II membrane protein; /evidence=ECO:0000255"
"193"	"Q13145"	"SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Single-pass type I membrane protein {ECO:0000305}."	NA	"TOPO_DOM 21..152; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 174..260; /note=Cytoplasmic; /evidence=ECO:0000255"	"TRANSMEM 153..173; /note=Helical; /evidence=ECO:0000255"
"222"	"P35613"	"SUBCELLULAR LOCATION: Melanosome {ECO:0000269|PubMed:17081065}. Note=Identified by mass spectrometry in melanosome fractions from stage I to stage IV. {ECO:0000269|PubMed:17081065}.; SUBCELLULAR LOCATION: [Isoform 1]: Cell membrane {ECO:0000269|PubMed:25957687}; Single-pass type I membrane protein {ECO:0000250|UniProtKB:P26453}. Photoreceptor inner segment {ECO:0000250|UniProtKB:P18572}. Cell projection, cilium, photoreceptor outer segment {ECO:0000250|UniProtKB:P18572}.; SUBCELLULAR LOCATION: [Isoform 2]: Cell membrane {ECO:0000269|PubMed:11992541, ECO:0000269|PubMed:15688292, ECO:0000269|PubMed:15946952, ECO:0000269|PubMed:17127621, ECO:0000269|PubMed:21536654, ECO:0000269|PubMed:25825981, ECO:0000269|PubMed:26195724, ECO:0000269|PubMed:28409866, ECO:0000269|PubMed:29739904}; Single-pass type I membrane protein {ECO:0000250|UniProtKB:P26453}. Endosome {ECO:0000269|PubMed:29739904}. Endoplasmic reticulum membrane {ECO:0000269|PubMed:15688292}; Single-pass type I membrane protein {ECO:0000250|UniProtKB:P26453}. Basolateral cell membrane {ECO:0000269|PubMed:17267690}; Single-pass type I membrane protein {ECO:0000250|UniProtKB:P26453}.; SUBCELLULAR LOCATION: [Isoform 3]: Cell membrane {ECO:0000269|PubMed:21536654}; Single-pass type I membrane protein {ECO:0000250|UniProtKB:P26453}.; SUBCELLULAR LOCATION: [Isoform 4]: Cell membrane {ECO:0000269|PubMed:21536654}; Single-pass type I membrane protein {ECO:0000250|UniProtKB:P26453}."	NA	"TOPO_DOM 138..323; /note=Extracellular; /evidence=ECO:0000250|UniProtKB:P26453; TOPO_DOM 345..385; /note=Cytoplasmic; /evidence=ECO:0000250|UniProtKB:P26453"	"TRANSMEM 324..344; /note=Helical; /evidence=ECO:0000255"
"223"	"Q10589"	"SUBCELLULAR LOCATION: Golgi apparatus, trans-Golgi network. Cell membrane {ECO:0000269|PubMed:26172439}; Single-pass type II membrane protein. Cell membrane {ECO:0000269|PubMed:19879838, ECO:0000269|PubMed:26172439}; Lipid-anchor, GPI-anchor {ECO:0000269|PubMed:19879838, ECO:0000305|PubMed:26172439}. Membrane raft. Cytoplasm. Apical cell membrane {ECO:0000250}. Note=Shuttles between the cell membrane, where it is present predominantly in membrane/lipid rafts, and the trans-Golgi network. Forms a complex with MMP14 and localizes to the cytoplasm.; SUBCELLULAR LOCATION: Golgi apparatus, trans-Golgi network {ECO:0000269|PubMed:26172439}. Late endosome {ECO:0000269|PubMed:20419159}. Note=(Microbial infection) HIV-1 VPU and HIV-2 ENV can target it to the trans-Golgi network thus sequestering it away from virus assembly sites on the cell membrane. Targeted to late endosomes upon KSHV infection and subsequent ubiquitination. {ECO:0000269|PubMed:20419159, ECO:0000269|PubMed:26172439}."	NA	"TOPO_DOM 1..20; /note=Cytoplasmic; /evidence=ECO:0000255; TOPO_DOM 49..161; /note=Extracellular; /evidence=ECO:0000255"	"TRANSMEM 21..48; /note=Helical; Signal-anchor for type II membrane protein; /evidence=ECO:0000255"
"228"	"O00481"	"SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:21113407, ECO:0000269|PubMed:21918970, ECO:0000269|PubMed:22767497}; Single-pass type I membrane protein {ECO:0000269|PubMed:21113407, ECO:0000269|PubMed:21918970, ECO:0000269|PubMed:22767497}."	NA	"TOPO_DOM 30..254; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 272..513; /note=Cytoplasmic; /evidence=ECO:0000255"	"TRANSMEM 255..271; /note=Helical; /evidence=ECO:0000255"
"229"	"Q6UXG8"	"SUBCELLULAR LOCATION: Membrane {ECO:0000250}; Single-pass type I membrane protein {ECO:0000250}."	NA	"TOPO_DOM 35..256; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 278..535; /note=Cytoplasmic; /evidence=ECO:0000255"	"TRANSMEM 257..277; /note=Helical; /evidence=ECO:0000255"
"234"	"Q96F05"	"SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:24312644}; Single-pass type I membrane protein {ECO:0000269|PubMed:24312644}. Golgi apparatus, trans-Golgi network membrane {ECO:0000269|PubMed:24312644}; Single-pass type I membrane protein {ECO:0000269|PubMed:24312644}. Note=Cycles to the plasma membrane via endosomes in a pH sensitive manner. Associated with Rab6-positive vesicles."	NA	"TOPO_DOM 21..400; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 422..449; /note=Cytoplasmic; /evidence=ECO:0000255"	"TRANSMEM 401..421; /note=Helical; /evidence=ECO:0000255"
"244"	"Q9BSJ5"	"SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Single-pass membrane protein {ECO:0000305}."	NA	"TOPO_DOM 1..552; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 574..609; /note=Cytoplasmic; /evidence=ECO:0000255"	"TRANSMEM 553..573; /note=Helical; /evidence=ECO:0000255"
"248"	"Q96EU7"	"SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Single-pass type II membrane protein {ECO:0000305}."	NA	"TOPO_DOM 1..6; /note=Cytoplasmic; /evidence=ECO:0000255; TOPO_DOM 27..318; /note=Lumenal; /evidence=ECO:0000255"	"TRANSMEM 7..26; /note=Helical; Signal-anchor for type II membrane protein; /evidence=ECO:0000255"
"273"	"Q9NY47"	"SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Single-pass type I membrane protein {ECO:0000305}. Note=Colocalizes with CACNA1A in lipid raft fractions. {ECO:0000250}."	NA	"TOPO_DOM 19..1113; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 1135..1150; /note=Cytoplasmic; /evidence=ECO:0000255"	"TRANSMEM 1114..1134; /note=Helical; /evidence=ECO:0000255"
"281"	"Q9BXU9"	"SUBCELLULAR LOCATION: Golgi apparatus, trans-Golgi network membrane {ECO:0000305|PubMed:19338761}; Single-pass type IV membrane protein {ECO:0000305|PubMed:19338761}. Cytoplasm, perinuclear region {ECO:0000269|PubMed:19338761}. Cell membrane {ECO:0000305|PubMed:19338761}; Single-pass type IV membrane protein {ECO:0000305|PubMed:19338761}."	NA	"TOPO_DOM 1..234; /note=Cytoplasmic; /evidence=ECO:0000255; TOPO_DOM 256..261; /note=Extracellular; /evidence=ECO:0000255"	"TRANSMEM 235..255; /note=Helical; Anchor for type IV membrane protein; /evidence=ECO:0000255"
"293"	"Q9H7T0"	"SUBCELLULAR LOCATION: Cell projection, cilium, flagellum membrane {ECO:0000250|UniProtKB:A2RTF1}; Single-pass membrane protein {ECO:0000250|UniProtKB:A2RTF1}. Note=Predominantly located in the principal piece of the sperm tail. {ECO:0000250|UniProtKB:A2RTF1}."	NA	"TOPO_DOM 1..1053; /note=Extracellular; /evidence=ECO:0000250|UniProtKB:A2RTF1; TOPO_DOM 1077..1116; /note=Cytoplasmic; /evidence=ECO:0000250|UniProtKB:A2RTF1"	"TRANSMEM 1054..1076; /note=Helical; /evidence=ECO:0000250|UniProtKB:A2RTF1"
"304"	"Q96JN2"	"SUBCELLULAR LOCATION: Cytoplasmic vesicle, secretory vesicle, acrosome membrane {ECO:0000250|UniProtKB:Q3TVA9}; Single-pass membrane protein {ECO:0000250|UniProtKB:Q3TVA9}. Note=Exclusively localized on a peripheral part of acrosome membrane (Golgi phase), localized on the equatorial segment of the acrosome (maturation phase). {ECO:0000250|UniProtKB:Q3TVA9}."	NA	NA	"TRANSMEM 1130..1150; /note=Helical; /evidence=ECO:0000255"
"321"	"P29016"	"SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:10899914, ECO:0000269|PubMed:10981968, ECO:0000269|PubMed:14716313}; Single-pass type I membrane protein {ECO:0000255}. Endosome membrane {ECO:0000269|PubMed:10899914, ECO:0000269|PubMed:14716313}; Single-pass type I membrane protein {ECO:0000255}. Lysosome membrane {ECO:0000269|PubMed:10899914, ECO:0000269|PubMed:10981968, ECO:0000269|PubMed:14716313}; Single-pass type I membrane protein {ECO:0000255}. Note=Subject to intracellular trafficking between the cell membrane, endosomes and lysosomes. {ECO:0000269|PubMed:10899914, ECO:0000269|PubMed:10981968, ECO:0000269|PubMed:14716313}."	NA	"TOPO_DOM 18..303; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 325..333; /note=Cytoplasmic; /evidence=ECO:0000255"	"TRANSMEM 304..324; /note=Helical; /evidence=ECO:0000255"
"322"	"P29017"	"SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:10890914, ECO:0000269|PubMed:10899914}; Single-pass type I membrane protein {ECO:0000255}. Endosome membrane {ECO:0000269|PubMed:10890914, ECO:0000269|PubMed:3097645}; Single-pass type I membrane protein. Lysosome {ECO:0000269|PubMed:10890914}. Note=Subject to intracellular trafficking between the cell membrane and endosomes. {ECO:0000269|PubMed:10890914, ECO:0000269|PubMed:3097645}."	NA	"TOPO_DOM 18..302; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 324..333; /note=Cytoplasmic; /evidence=ECO:0000255"	"TRANSMEM 303..323; /note=Helical; /evidence=ECO:0000255"
"324"	"Q5ZPR3"	"SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Single-pass type I membrane protein {ECO:0000305}."	NA	"TOPO_DOM 29..466; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 488..534; /note=Cytoplasmic; /evidence=ECO:0000255"	"TRANSMEM 467..487; /note=Helical; /evidence=ECO:0000255"
"325"	"Q9UGN4"	"SUBCELLULAR LOCATION: Cell membrane {ECO:0000305}; Single-pass type I membrane protein {ECO:0000305}."	NA	"TOPO_DOM 18..180; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 202..299; /note=Cytoplasmic; /evidence=ECO:0000255"	"TRANSMEM 181..201; /note=Helical; /evidence=ECO:0000255"
