"","Subcellular.location..CC.","Intramembrane","Topological.domain","Transmembrane"
"Q9BUJ0","SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}. Membrane {ECO:0000305}; Single-pass type II membrane protein {ECO:0000305}.",NA,NA,"TRANSMEM 35..55; /note=Helical; Signal-anchor for type II membrane protein; /evidence=ECO:0000255"
"Q96GS6","SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:26701913}; Lipid-anchor {ECO:0000269|PubMed:26701913}; Cytoplasmic side {ECO:0000269|PubMed:26701913}. Endosome membrane {ECO:0000269|PubMed:26701913}; Lipid-anchor {ECO:0000269|PubMed:26701913}; Cytoplasmic side {ECO:0000269|PubMed:26701913}. Cell projection, dendritic spine {ECO:0000250|UniProtKB:Q5XIJ5}. Postsynaptic density membrane {ECO:0000250|UniProtKB:Q5XIJ5}.",NA,NA,NA
"Q8WU67","SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Single-pass type II membrane protein {ECO:0000305}.",NA,NA,"TRANSMEM 26..46; /note=Helical; Signal-anchor for type II membrane protein; /evidence=ECO:0000255"
"Q8WTS1","SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:18832586}. Lipid droplet {ECO:0000250|UniProtKB:Q9DBL9}. Cytoplasm, cytosol {ECO:0000250|UniProtKB:Q9DBL9}. Note=Colocalized with PLIN and ADRP on the surface of lipid droplets. The localization is dependent upon the metabolic status of the adipocytes and the activity of PKA (By similarity). {ECO:0000250}.",NA,NA,NA
"Q9BV23","SUBCELLULAR LOCATION: Late endosome membrane {ECO:0000250|UniProtKB:Q8R2Y0}; Single-pass type II membrane protein {ECO:0000255}. Lysosome membrane {ECO:0000250|UniProtKB:Q8R2Y0}; Single-pass type II membrane protein {ECO:0000255}. Mitochondrion membrane {ECO:0000250|UniProtKB:Q8R2Y0}; Single-pass type II membrane protein {ECO:0000255}.",NA,"TOPO_DOM 1..8; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 30..337; /note=Cytoplasmic; /evidence=ECO:0000255","TRANSMEM 9..29; /note=Helical; Signal-anchor for type II membrane protein; /evidence=ECO:0000255"
"Q9NYB9","SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:11516653, ECO:0000269|PubMed:7590236, ECO:0000269|PubMed:8649853}. Nucleus {ECO:0000269|PubMed:7590236}.; SUBCELLULAR LOCATION: [Isoform 1]: Cell projection, lamellipodium {ECO:0000269|PubMed:11516653, ECO:0000269|PubMed:15572692}. Cell projection, filopodium {ECO:0000269|PubMed:11516653}. Cytoplasm, cytoskeleton {ECO:0000269|PubMed:15572692}. Cell junction, adherens junction {ECO:0000269|PubMed:15572692}. Note=Isoform 1 but not isoform 3 is localized to protruding lamellipodia and filopodia tips (PubMed:11516653, PubMed:15572692). Present at nascent adherens junctions, where it clusters adjacent to the tips of F-actin protrusions (PubMed:15572692). {ECO:0000269|PubMed:11516653, ECO:0000269|PubMed:15572692}.",NA,NA,NA
"P42684","SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton {ECO:0000250|UniProtKB:Q4JIM5}.",NA,NA,NA
"Q9ULW3","SUBCELLULAR LOCATION: Nucleus {ECO:0000250}. Nucleus, nucleolus {ECO:0000250}.",NA,NA,NA
"Q8N961",NA,NA,NA,NA
"Q8NC06",NA,NA,NA,NA
"Q8N6N7",NA,NA,NA,NA
"P12821","SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:12386153}; Single-pass type I membrane protein {ECO:0000255}. Cytoplasm {ECO:0000250|UniProtKB:P09470}. Note=Detected in both cell membrane and cytoplasm in neurons. {ECO:0000250|UniProtKB:P09470}.; SUBCELLULAR LOCATION: [Angiotensin-converting enzyme, soluble form]: Secreted {ECO:0000269|PubMed:10769174, ECO:0000269|PubMed:11274151, ECO:0000269|PubMed:7499427, ECO:0000269|PubMed:8253769}.; SUBCELLULAR LOCATION: [Isoform Testis-specific]: Cell membrane {ECO:0000269|PubMed:1668266, ECO:0000269|PubMed:8626443}; Single-pass type I membrane protein {ECO:0000255}. Secreted {ECO:0000269|PubMed:1668266}. Note=The testis-specific isoform can be cleaved before the transmembrane region, releasing a soluble form. {ECO:0000269|PubMed:1668266}.",NA,"TOPO_DOM 30..1256; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 1278..1306; /note=Cytoplasmic; /evidence=ECO:0000255","TRANSMEM 1257..1277; /note=Helical; /evidence=ECO:0000255"
"P22303","SUBCELLULAR LOCATION: Synapse {ECO:0000269|PubMed:11985878, ECO:0000269|PubMed:1748670}. Secreted {ECO:0000250}. Cell membrane {ECO:0000250}; Peripheral membrane protein {ECO:0000250}.; SUBCELLULAR LOCATION: [Isoform T]: Nucleus. Note=Only observed in apoptotic nuclei.; SUBCELLULAR LOCATION: [Isoform H]: Cell membrane {ECO:0000250}; Lipid-anchor, GPI-anchor {ECO:0000250}; Extracellular side {ECO:0000250}.",NA,NA,NA
"O00590","SUBCELLULAR LOCATION: Early endosome. Recycling endosome. Cell membrane; Multi-pass membrane protein. Note=Predominantly localizes to endocytic vesicles, and upon stimulation by the ligand is internalized via clathrin-coated pits. Once internalized, the ligand dissociates from the receptor, and is targeted to degradation while the receptor is recycled back to the cell membrane.",NA,"TOPO_DOM 1..50; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 72..92; /note=Cytoplasmic; /evidence=ECO:0000255; TOPO_DOM 114..118; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 141..162; /note=Cytoplasmic; /evidence=ECO:0000255; TOPO_DOM 184..217; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 239..250; /note=Cytoplasmic; /evidence=ECO:0000255; TOPO_DOM 272..293; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 315..384; /note=Cytoplasmic; /evidence=ECO:0000255","TRANSMEM 51..71; /note=Helical; Name=1; /evidence=ECO:0000255; TRANSMEM 93..113; /note=Helical; Name=2; /evidence=ECO:0000255; TRANSMEM 119..140; /note=Helical; Name=3; /evidence=ECO:0000255; TRANSMEM 163..183; /note=Helical; Name=4; /evidence=ECO:0000255; TRANSMEM 218..238; /note=Helical; Name=5; /evidence=ECO:0000255; TRANSMEM 251..271; /note=Helical; Name=6; /evidence=ECO:0000255; TRANSMEM 294..314; /note=Helical; Name=7; /evidence=ECO:0000255"
"P25106","SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:31211835}; Multi-pass membrane protein {ECO:0000255}. Early endosome {ECO:0000269|PubMed:22457824}. Recycling endosome {ECO:0000269|PubMed:22457824}. Note=Predominantly localizes to endocytic vesicles, and upon stimulation by the ligand is internalized via clathrin-coated pits in a beta-arrestin-dependent manner. Once internalized, the ligand dissociates from the receptor, and is targeted to degradation while the receptor is recycled back to the cell membrane. {ECO:0000269|PubMed:22457824}.",NA,"TOPO_DOM 1..40; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 62..81; /note=Cytoplasmic; /evidence=ECO:0000255; TOPO_DOM 103..118; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 140..162; /note=Cytoplasmic; /evidence=ECO:0000255; TOPO_DOM 184..213; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 235..252; /note=Cytoplasmic; /evidence=ECO:0000255; TOPO_DOM 274..296; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 320..362; /note=Cytoplasmic; /evidence=ECO:0000255","TRANSMEM 41..61; /note=Helical; Name=1; /evidence=ECO:0000255; TRANSMEM 82..102; /note=Helical; Name=2; /evidence=ECO:0000255; TRANSMEM 119..139; /note=Helical; Name=3; /evidence=ECO:0000255; TRANSMEM 163..183; /note=Helical; Name=4; /evidence=ECO:0000255; TRANSMEM 214..234; /note=Helical; Name=5; /evidence=ECO:0000255; TRANSMEM 253..273; /note=Helical; Name=6; /evidence=ECO:0000255; TRANSMEM 297..319; /note=Helical; Name=7; /evidence=ECO:0000255"
"Q9NPB9","SUBCELLULAR LOCATION: Early endosome {ECO:0000269|PubMed:23341447}. Recycling endosome {ECO:0000269|PubMed:23341447}. Cell membrane {ECO:0000269|PubMed:23341447}; Multi-pass membrane protein {ECO:0000269|PubMed:23341447}. Note=Predominantly localizes to endocytic vesicles, and upon stimulation by the ligand is internalized via caveolae. Once internalized, the ligand dissociates from the receptor, and is targeted to degradation while the receptor is recycled back to the cell membrane.",NA,"TOPO_DOM 1..42; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 64..87; /note=Cytoplasmic; /evidence=ECO:0000255; TOPO_DOM 109..113; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 135..154; /note=Cytoplasmic; /evidence=ECO:0000255; TOPO_DOM 176..201; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 223..240; /note=Cytoplasmic; /evidence=ECO:0000255; TOPO_DOM 262..289; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 311..350; /note=Cytoplasmic; /evidence=ECO:0000255","TRANSMEM 43..63; /note=Helical; Name=1; /evidence=ECO:0000255; TRANSMEM 88..108; /note=Helical; Name=2; /evidence=ECO:0000255; TRANSMEM 114..134; /note=Helical; Name=3; /evidence=ECO:0000255; TRANSMEM 155..175; /note=Helical; Name=4; /evidence=ECO:0000255; TRANSMEM 202..222; /note=Helical; Name=5; /evidence=ECO:0000255; TRANSMEM 241..261; /note=Helical; Name=6; /evidence=ECO:0000255; TRANSMEM 290..310; /note=Helical; Name=7; /evidence=ECO:0000255"
"O14734","SUBCELLULAR LOCATION: Peroxisome matrix {ECO:0000269|PubMed:10092594, ECO:0000269|PubMed:15194431}. Note=Predominantly localized in the peroxisome but a localization to the cytosol cannot be excluded. {ECO:0000269|PubMed:10092594, ECO:0000269|PubMed:15194431}.",NA,NA,NA
"Q99424","SUBCELLULAR LOCATION: Peroxisome {ECO:0000269|PubMed:27884763, ECO:0000269|PubMed:8943006}.",NA,NA,NA
"Q8NEB7","SUBCELLULAR LOCATION: Secreted {ECO:0000250|UniProtKB:Q29016}. Cytoplasmic vesicle, secretory vesicle, acrosome {ECO:0000250|UniProtKB:Q29016, ECO:0000250|UniProtKB:Q3V140}.",NA,NA,NA
"Q96GR2","SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:10954726}. Cytoplasmic vesicle {ECO:0000250}. Microsome {ECO:0000250}. Endoplasmic reticulum {ECO:0000269|PubMed:24269233}. Cell membrane {ECO:0000269|PubMed:24269233}.",NA,NA,NA
"P33121","SUBCELLULAR LOCATION: Mitochondrion outer membrane {ECO:0000250}; Single-pass type III membrane protein {ECO:0000250}. Peroxisome membrane {ECO:0000250}; Single-pass type III membrane protein {ECO:0000250}. Microsome membrane {ECO:0000250}; Single-pass type III membrane protein {ECO:0000250}. Endoplasmic reticulum membrane {ECO:0000269|PubMed:24269233}; Single-pass type III membrane protein {ECO:0000250}.",NA,"TOPO_DOM 46..698; /note=Cytoplasmic; /evidence=ECO:0000255","TRANSMEM 25..45; /note=Helical; Signal-anchor for type III membrane protein; /evidence=ECO:0000255"
"Q6NUN0","SUBCELLULAR LOCATION: Mitochondrion matrix {ECO:0000250|UniProtKB:Q91VA0}.",NA,NA,NA
"Q9NZ32","SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton {ECO:0000250|UniProtKB:I3LHK5}.",NA,NA,NA
"Q03154","SUBCELLULAR LOCATION: Cytoplasm.",NA,NA,NA
"Q6DHV7",NA,NA,NA,NA
"O14672","SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:20624979, ECO:0000269|PubMed:23676497, ECO:0000269|PubMed:24990881, ECO:0000269|PubMed:26686862, ECO:0000269|PubMed:29430990, ECO:0000269|PubMed:30463011}; Single-pass type I membrane protein {ECO:0000305}. Golgi apparatus membrane {ECO:0000269|PubMed:12475894}; Single-pass type I membrane protein {ECO:0000305}. Cytoplasmic vesicle, clathrin-coated vesicle {ECO:0000269|PubMed:12475894}. Cell projection, axon {ECO:0000250|UniProtKB:O35598}. Cell projection, dendrite {ECO:0000250|UniProtKB:O35598}. Cell junction, adherens junction {ECO:0000269|PubMed:30463011}. Cytoplasm {ECO:0000269|PubMed:30463011}. Note=Is localized in the plasma membrane but is also expressed in the Golgi apparatus and in clathrin-coated vesicles derived likely from the Golgi (PubMed:12475894). During long term depression, it is recruited to the cell membrane by DLG1 (PubMed:23676497). The immature form is mainly located near cytoplasmic fibrillar structures, while the mature form is predominantly located at zonula adherens and the cell membrane (PubMed:30463011). The localization and clustering of mature ADAM10 to zonula adherens is regulated by AFDN, TSPAN33, PLEKHA7 and PDZD11 (PubMed:30463011). {ECO:0000269|PubMed:12475894, ECO:0000269|PubMed:23676497, ECO:0000269|PubMed:30463011}.",NA,"TOPO_DOM 20..672; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 694..748; /note=Cytoplasmic; /evidence=ECO:0000255","TRANSMEM 673..693; /note=Helical; /evidence=ECO:0000255"
"Q13444","SUBCELLULAR LOCATION: Endomembrane system {ECO:0000269|PubMed:12243749}; Single-pass type I membrane protein {ECO:0000269|PubMed:12243749}. Cell junction, adherens junction {ECO:0000269|PubMed:12243749}. Cell projection, cilium, flagellum {ECO:0000250}. Cytoplasmic vesicle, secretory vesicle, acrosome {ECO:0000250}. Note=The majority of the protein is localized in a perinuclear compartment which may correspond to the trans-Golgi network or the late endosome. The pro-protein is the major detectable form on the cell surface, whereas the majority of the protein in the cell is processed (By similarity). {ECO:0000250}.",NA,"TOPO_DOM 207..696; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 718..863; /note=Cytoplasmic; /evidence=ECO:0000255","TRANSMEM 697..717; /note=Helical; /evidence=ECO:0000255"
"Q9H013","SUBCELLULAR LOCATION: Membrane; Single-pass type I membrane protein.",NA,"TOPO_DOM 203..699; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 721..955; /note=Cytoplasmic; /evidence=ECO:0000255","TRANSMEM 700..720; /note=Helical; /evidence=ECO:0000255"
"Q8TC27","SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Single-pass type I membrane protein {ECO:0000305}.",NA,"TOPO_DOM 175..682; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 704..787; /note=Cytoplasmic; /evidence=ECO:0000255","TRANSMEM 683..703; /note=Helical; /evidence=ECO:0000255"
"Q13443","SUBCELLULAR LOCATION: [Isoform 1]: Cell membrane {ECO:0000269|PubMed:8647900}; Single-pass type I membrane protein {ECO:0000255}.; SUBCELLULAR LOCATION: [Isoform 2]: Secreted {ECO:0000269|PubMed:12054541}.",NA,"TOPO_DOM 29..697; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 719..819; /note=Cytoplasmic; /evidence=ECO:0000255","TRANSMEM 698..718; /note=Helical; /evidence=ECO:0000255"
"Q76LX8","SUBCELLULAR LOCATION: Secreted {ECO:0000269|PubMed:12791682}. Note=Secretion enhanced by O-fucosylation of TSP type-1 repeats.",NA,NA,NA
"Q8TE57","SUBCELLULAR LOCATION: Secreted, extracellular space, extracellular matrix {ECO:0000250}.",NA,NA,NA
"O95450","SUBCELLULAR LOCATION: Secreted, extracellular space, extracellular matrix {ECO:0000250}.",NA,NA,NA
"Q9UKP4","SUBCELLULAR LOCATION: Secreted, extracellular space, extracellular matrix {ECO:0000250}. Note=Also found associated with the external cell surface. {ECO:0000250}.",NA,NA,NA
"Q9P2N4","SUBCELLULAR LOCATION: Secreted, extracellular space, extracellular matrix {ECO:0000269|PubMed:12514189}. Endoplasmic reticulum {ECO:0000269|PubMed:22419820}.",NA,NA,NA
"Q8N6G6","SUBCELLULAR LOCATION: Secreted, extracellular space, extracellular matrix {ECO:0000269|PubMed:11805097, ECO:0000269|PubMed:17395588, ECO:0000269|PubMed:19671700}.",NA,NA,NA
"Q86TH1","SUBCELLULAR LOCATION: Secreted {ECO:0000305}.",NA,NA,NA
"P82987","SUBCELLULAR LOCATION: Secreted, extracellular space, extracellular matrix {ECO:0000269|PubMed:14667842}.",NA,NA,NA
"O95622","SUBCELLULAR LOCATION: Cell membrane {ECO:0000305|PubMed:15385642, ECO:0000305|PubMed:26206488}; Multi-pass membrane protein. Cell projection, cilium {ECO:0000250|UniProtKB:P84309}.",NA,"TOPO_DOM 1..195; /note=Cytoplasmic; /evidence=ECO:0000255; TOPO_DOM 395..769; /note=Cytoplasmic; /evidence=ECO:0000255; TOPO_DOM 857..909; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 1005..1261; /note=Cytoplasmic; /evidence=ECO:0000255","TRANSMEM 196..216; /note=Helical; /evidence=ECO:0000255; TRANSMEM 242..262; /note=Helical; /evidence=ECO:0000255; TRANSMEM 268..288; /note=Helical; /evidence=ECO:0000255; TRANSMEM 299..319; /note=Helical; /evidence=ECO:0000255; TRANSMEM 325..345; /note=Helical; /evidence=ECO:0000255; TRANSMEM 374..394; /note=Helical; /evidence=ECO:0000255; TRANSMEM 770..790; /note=Helical; /evidence=ECO:0000255; TRANSMEM 792..812; /note=Helical; /evidence=ECO:0000255; TRANSMEM 836..856; /note=Helical; /evidence=ECO:0000255; TRANSMEM 910..930; /note=Helical; /evidence=ECO:0000255; TRANSMEM 935..955; /note=Helical; /evidence=ECO:0000255; TRANSMEM 984..1004; /note=Helical; /evidence=ECO:0000255"
