"X"	"Subcellular.location..CC."	"Intramembrane"	"Topological.domain"	"Transmembrane"
"182"	"O15247"	"SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:15916532}. Membrane {ECO:0000305|PubMed:15916532}; Single-pass membrane protein {ECO:0000305|PubMed:15916532}. Note=Exists both as soluble cytoplasmic protein and as membrane protein with probably a single transmembrane domain."	NA	NA	"TRANSMEM 32..52; /note=Helical; Note=After insertion into the membrane; /evidence=ECO:0000255"
"183"	"Q9Y696"	"SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton, microtubule organizing center, centrosome. Cytoplasmic vesicle membrane {ECO:0000305}; Single-pass membrane protein {ECO:0000305}. Nucleus matrix. Cell membrane {ECO:0000305}; Single-pass membrane protein {ECO:0000305}. Mitochondrion. Cell junction. Note=Colocalized with AKAP9 at the centrosome and midbody. Exists both as soluble cytoplasmic protein and as membrane protein with probably a single transmembrane domain. Present in an intracellular vesicular compartment that likely represent trans-Golgi network vesicles."	NA	NA	"TRANSMEM 37..57; /note=Helical; Note=After insertion into the membrane; /evidence=ECO:0000255"
"203"	"P09603"	"SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:1531650, ECO:0000269|PubMed:3264877}; Single-pass type I membrane protein {ECO:0000269|PubMed:1531650, ECO:0000269|PubMed:3264877}.; SUBCELLULAR LOCATION: [Processed macrophage colony-stimulating factor 1]: Secreted, extracellular space."	NA	"TOPO_DOM 33..496; /note=Lumenal; /evidence=ECO:0000255; TOPO_DOM 518..554; /note=Cytoplasmic; /evidence=ECO:0000255"	"TRANSMEM 497..517; /note=Helical; /evidence=ECO:0000255"
"204"	"P07333"	"SUBCELLULAR LOCATION: Cell membrane; Single-pass type I membrane protein."	NA	"TOPO_DOM 20..517; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 539..972; /note=Cytoplasmic; /evidence=ECO:0000255"	"TRANSMEM 518..538; /note=Helical; /evidence=ECO:0000255"
"212"	"Q9BQA9"	"SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000269|PubMed:28351984}; Single-pass membrane protein {ECO:0000305}."	NA	NA	"TRANSMEM 20..42; /note=Helical; /evidence=ECO:0000255"
"218"	"Q14118"	"SUBCELLULAR LOCATION: [Alpha-dystroglycan]: Secreted, extracellular space.; SUBCELLULAR LOCATION: [Beta-dystroglycan]: Cell membrane {ECO:0000269|PubMed:18764929}; Single-pass type I membrane protein. Cytoplasm, cytoskeleton. Nucleus, nucleoplasm {ECO:0000269|PubMed:18764929}. Cell membrane, sarcolemma {ECO:0000250}. Postsynaptic cell membrane {ECO:0000250}. Note=The monomeric form translocates to the nucleus via the action of importins and depends on RAN. Nuclear transport is inhibited by Tyr-892 phosphorylation. In skeletal muscle, this phosphorylated form locates to a vesicular internal membrane compartment. In muscle cells, sarcolemma localization requires the presence of ANK2, while localization to costameres requires the presence of ANK3. Localizes to neuromuscular junctions (NMJs) in the presence of ANK2 (By similarity). In peripheral nerves, localizes to the Schwann cell membrane. Colocalizes with ERM proteins in Schwann-cell microvilli. {ECO:0000250}."	NA	"TOPO_DOM 654..749; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 776..895; /note=Cytoplasmic; /evidence=ECO:0000255"	"TRANSMEM 750..775; /note=Helical; /evidence=ECO:0000255"
"224"	"Q96PD2"	"SUBCELLULAR LOCATION: Membrane {ECO:0000269|PubMed:11973641}; Single-pass type I membrane protein {ECO:0000269|PubMed:11973641}."	NA	"TOPO_DOM 67..528; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 550..775; /note=Cytoplasmic; /evidence=ECO:0000255"	"TRANSMEM 529..549; /note=Helical; /evidence=ECO:0000255"
"232"	"Q6IAN0"	"SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000250|UniProtKB:Q5RJY4}; Single-pass type II membrane protein {ECO:0000250|UniProtKB:Q5RJY4}."	NA	"TOPO_DOM 1..17; /note=Cytoplasmic; /evidence=ECO:0000255; TOPO_DOM 39..325; /note=Lumenal; /evidence=ECO:0000255"	"TRANSMEM 18..38; /note=Helical; Signal-anchor for type II membrane protein; /evidence=ECO:0000255"
"253"	"P98172"	"SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:10197531, ECO:0000269|PubMed:7973638}; Single-pass type I membrane protein {ECO:0000255}. Membrane raft {ECO:0000269|PubMed:10197531}. Note=May recruit GRIP1 and GRIP2 to membrane raft domains. {ECO:0000269|PubMed:10197531}.; SUBCELLULAR LOCATION: [Ephrin-B1 C-terminal fragment]: Cell membrane {ECO:0000269|PubMed:16930449}; Single-pass type I membrane protein {ECO:0000305}.; SUBCELLULAR LOCATION: [Ephrin-B1 intracellular domain]: Nucleus {ECO:0000269|PubMed:16930449}. Note=Colocalizes with ZHX2 in the nucleus. {ECO:0000250|UniProtKB:P52795}."	NA	"TOPO_DOM 28..237; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 259..346; /note=Cytoplasmic; /evidence=ECO:0000255"	"TRANSMEM 238..258; /note=Helical; /evidence=ECO:0000255"
"264"	"P17813"	"SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:10545596, ECO:0000269|PubMed:1326540, ECO:0000269|PubMed:1692830, ECO:0000269|PubMed:17540773, ECO:0000269|PubMed:8370410}; Single-pass type I membrane protein {ECO:0000305|PubMed:1692830, ECO:0000305|PubMed:8370410}."	NA	"TOPO_DOM 26..586; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 612..658; /note=Cytoplasmic; /evidence=ECO:0000255"	"TRANSMEM 587..611; /note=Helical; /evidence=ECO:0000255"
"274"	"P19235"	"SUBCELLULAR LOCATION: Cell membrane; Single-pass type I membrane protein.; SUBCELLULAR LOCATION: [Isoform EPOR-S]: Secreted {ECO:0000269|PubMed:11722595}. Note=Secreted and located to the cell surface."	NA	"TOPO_DOM 25..250; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 274..508; /note=Cytoplasmic; /evidence=ECO:0000255"	"TRANSMEM 251..273; /note=Helical; /evidence=ECO:0000255"
"275"	"Q9NZ08"	"SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000305|PubMed:15908954}; Single-pass type II membrane protein {ECO:0000305|PubMed:15908954}."	NA	"TOPO_DOM 1; /note=Cytoplasmic; /evidence=ECO:0000255; TOPO_DOM 22..941; /note=Lumenal; /evidence=ECO:0000255"	"TRANSMEM 2..21; /note=Helical; Signal-anchor for type II membrane protein; /evidence=ECO:0000255"
"276"	"P04626"	"SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:32381043}; Single-pass type I membrane protein {ECO:0000255}. Cell projection, ruffle membrane {ECO:0000269|PubMed:34380438}; Single-pass type I membrane protein {ECO:0000255}. Note=Internalized from the cell membrane in response to EGF stimulation. {ECO:0000269|PubMed:32381043}.; SUBCELLULAR LOCATION: [Isoform 1]: Cell membrane {ECO:0000269|PubMed:31138794, ECO:0000269|PubMed:33497358}; Single-pass type I membrane protein {ECO:0000255}. Early endosome {ECO:0000269|PubMed:31138794}. Cytoplasm, perinuclear region. Nucleus. Note=Translocation to the nucleus requires endocytosis, probably endosomal sorting and is mediated by importin beta-1/KPNB1. Also detected in VPS35-positive endosome-to-TGN retrograde vesicles (PubMed:31138794). {ECO:0000269|PubMed:31138794}.; SUBCELLULAR LOCATION: [Isoform 2]: Cytoplasm. Nucleus.; SUBCELLULAR LOCATION: [Isoform 3]: Cytoplasm. Nucleus."	NA	"TOPO_DOM 23..652; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 676..1255; /note=Cytoplasmic; /evidence=ECO:0000255"	"TRANSMEM 653..675; /note=Helical; /evidence=ECO:0000255"
"280"	"Q96AP7"	"SUBCELLULAR LOCATION: Cell junction, adherens junction {ECO:0000250}. Cell junction, tight junction {ECO:0000250}. Cell membrane {ECO:0000250}; Single-pass type I membrane protein {ECO:0000250}."	NA	"TOPO_DOM 30..248; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 270..390; /note=Cytoplasmic; /evidence=ECO:0000255"	"TRANSMEM 249..269; /note=Helical; /evidence=ECO:0000255"
"284"	"P34910"	"SUBCELLULAR LOCATION: Membrane; Single-pass type I membrane protein."	NA	"TOPO_DOM 22..202; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 227..448; /note=Cytoplasmic; /evidence=ECO:0000255"	"TRANSMEM 203..226; /note=Helical; /evidence=ECO:0000255"
"288"	"Q9Y624"	"SUBCELLULAR LOCATION: Cell junction, tight junction {ECO:0000269|PubMed:11171323}. Cell membrane {ECO:0000269|PubMed:11171323}; Single-pass type I membrane protein {ECO:0000269|PubMed:11171323}. Note=Localized at tight junctions of both epithelial and endothelial cells. {ECO:0000269|PubMed:11171323}."	NA	"TOPO_DOM 28..238; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 260..299; /note=Cytoplasmic; /evidence=ECO:0000255"	"TRANSMEM 239..259; /note=Helical; /evidence=ECO:0000255"
"300"	"P25445"	"SUBCELLULAR LOCATION: [Isoform 1]: Cell membrane {ECO:0000269|PubMed:1713127, ECO:0000269|PubMed:25301068}; Single-pass type I membrane protein {ECO:0000305}. Membrane raft {ECO:0000269|PubMed:25301068}.; SUBCELLULAR LOCATION: [Isoform 2]: Secreted.; SUBCELLULAR LOCATION: [Isoform 3]: Secreted.; SUBCELLULAR LOCATION: [Isoform 4]: Secreted.; SUBCELLULAR LOCATION: [Isoform 5]: Secreted.; SUBCELLULAR LOCATION: [Isoform 6]: Secreted."	NA	"TOPO_DOM 26..173; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 191..335; /note=Cytoplasmic; /evidence=ECO:0000255"	"TRANSMEM 174..190; /note=Helical; /evidence=ECO:0000255"
"305"	"P12318"	"SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:19011614}; Single-pass type I membrane protein {ECO:0000269|PubMed:19011614}."	NA	"TOPO_DOM 34..217; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 241..317; /note=Cytoplasmic; /evidence=ECO:0000255"	"TRANSMEM 218..240; /note=Helical; /evidence=ECO:0000255"
"316"	"P17948"	"SUBCELLULAR LOCATION: [Isoform 1]: Cell membrane; Single-pass type I membrane protein. Endosome. Note=Autophosphorylation promotes ubiquitination and endocytosis.; SUBCELLULAR LOCATION: [Isoform 2]: Secreted {ECO:0000269|PubMed:8248162}.; SUBCELLULAR LOCATION: [Isoform 3]: Secreted.; SUBCELLULAR LOCATION: [Isoform 4]: Secreted.; SUBCELLULAR LOCATION: [Isoform 5]: Cytoplasm {ECO:0000305}.; SUBCELLULAR LOCATION: [Isoform 6]: Cytoplasm {ECO:0000305}.; SUBCELLULAR LOCATION: [Isoform 7]: Cytoplasm {ECO:0000305}."	NA	"TOPO_DOM 27..758; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 781..1338; /note=Cytoplasmic; /evidence=ECO:0000255"	"TRANSMEM 759..780; /note=Helical; /evidence=ECO:0000255"
"328"	"Q86SR1"	"SUBCELLULAR LOCATION: Golgi apparatus membrane {ECO:0000250}; Single-pass type II membrane protein {ECO:0000250}."	NA	"TOPO_DOM 1..11; /note=Cytoplasmic; /evidence=ECO:0000255; TOPO_DOM 32..603; /note=Lumenal; /evidence=ECO:0000255"	"TRANSMEM 12..31; /note=Helical; Signal-anchor for type II membrane protein; /evidence=ECO:0000255"
"341"	"Q9NU53"	"SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Single-pass type I membrane protein {ECO:0000305}."	NA	"TOPO_DOM 24..268; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 290..330; /note=Cytoplasmic; /evidence=ECO:0000255"	"TRANSMEM 269..289; /note=Helical; /evidence=ECO:0000255"
"356"	"Q96CP6"	"SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000269|PubMed:29469807}; Single-pass membrane protein {ECO:0000255}. Cell membrane {ECO:0000269|PubMed:29469807}; Single-pass membrane protein {ECO:0000255}. Cytoplasmic vesicle, autophagosome {ECO:0000269|PubMed:31222192}. Note=In lipid-poor conditions localizes to the ER membrane and is recruited to endoplasmic reticulum-plasma membrane contact sites (EPCS) in response to excess cholesterol in the PM (By similarity). Localizes to distinct EPCS than GRAMD2A and ESYT2/3 (PubMed:29469807). {ECO:0000250|UniProtKB:Q8VEF1, ECO:0000269|PubMed:29469807}."	NA	NA	"TRANSMEM 610..630; /note=Helical; /evidence=ECO:0000255"
"358"	"P04921"	"SUBCELLULAR LOCATION: Cell membrane; Single-pass type III membrane protein. Note=Linked to the membrane via band 4.1."	NA	"TOPO_DOM 1..57; /note=Extracellular; TOPO_DOM 82..128; /note=Cytoplasmic"	"TRANSMEM 58..81; /note=Helical; Signal-anchor for type III membrane protein"
"363"	"Q9UBK5"	"SUBCELLULAR LOCATION: Membrane {ECO:0000269|PubMed:10426994}; Single-pass type I membrane protein {ECO:0000269|PubMed:10426994}."	NA	"TOPO_DOM 19..48; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 70..93; /note=Cytoplasmic; /evidence=ECO:0000255"	"TRANSMEM 49..69; /note=Helical; /evidence=ECO:0000255"
"364"	"Q9ULI3"	"SUBCELLULAR LOCATION: [Isoform 1]: Cell membrane {ECO:0000305}; Single-pass type I membrane protein {ECO:0000305}. Cell junction {ECO:0000250}.; SUBCELLULAR LOCATION: [Isoform 2]: Secreted {ECO:0000305}."	NA	"TOPO_DOM 30..1248; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 1270..1381; /note=Cytoplasmic; /evidence=ECO:0000255"	"TRANSMEM 1249..1269; /note=Helical; /evidence=ECO:0000255"
