"Gene","Gene.synonym","Ensembl","Gene.description","Uniprot","Chromosome","Position","Protein.class","Biological.process","Molecular.function","Disease.involvement","Evidence","HPA.evidence","UniProt.evidence","NeXtProt.evidence","RNA.tissue.specificity","RNA.tissue.distribution","RNA.tissue.specificity.score","RNA.tissue.specific.nTPM","RNA.single.cell.type.specificity","RNA.single.cell.type.distribution","RNA.single.cell.type.specificity.score","RNA.single.cell.type.specific.nTPM","RNA.cancer.specificity","RNA.cancer.distribution","RNA.cancer.specificity.score","RNA.cancer.specific.FPKM","RNA.brain.regional.specificity","RNA.brain.regional.distribution","RNA.brain.regional.specificity.score","RNA.brain.regional.specific.nTPM","RNA.blood.cell.specificity","RNA.blood.cell.distribution","RNA.blood.cell.specificity.score","RNA.blood.cell.specific.nTPM","RNA.blood.lineage.specificity","RNA.blood.lineage.distribution","RNA.blood.lineage.specificity.score","RNA.blood.lineage.specific.nTPM","RNA.cell.line.specificity","RNA.cell.line.distribution","RNA.cell.line.specificity.score","RNA.cell.line.specific.nTPM","RNA.tissue.cell.type.enrichment","RNA.mouse.brain.regional.specificity","RNA.mouse.brain.regional.distribution","RNA.mouse.brain.regional.specificity.score","RNA.mouse.brain.regional.specific.nTPM","RNA.pig.brain.regional.specificity","RNA.pig.brain.regional.distribution","RNA.pig.brain.regional.specificity.score","RNA.pig.brain.regional.specific.nTPM","Antibody","Reliability..IH.","Reliability..Mouse.Brain.","Reliability..IF.","Subcellular.location","Secretome.location","CCD.Protein","CCD.Transcript","Blood.concentration...Conc..blood.IM..pg.L.","Blood.concentration...Conc..blood.MS..pg.L.","Blood.expression.cluster","Tissue.expression.cluster","Cell.line.expression.cluster","Single.cell.expression.cluster","Subcellular.main.location","Subcellular.additional.location","Antibody.RRID","Pathology.prognostics...Breast.cancer","Pathology.prognostics...Cervical.cancer","Pathology.prognostics...Colorectal.cancer","Pathology.prognostics...Endometrial.cancer","Pathology.prognostics...Glioma","Pathology.prognostics...Head.and.neck.cancer","Pathology.prognostics...Liver.cancer","Pathology.prognostics...Lung.cancer","Pathology.prognostics...Melanoma","Pathology.prognostics...Ovarian.cancer","Pathology.prognostics...Pancreatic.cancer","Pathology.prognostics...Prostate.cancer","Pathology.prognostics...Renal.cancer","Pathology.prognostics...Stomach.cancer","Pathology.prognostics...Testis.cancer","Pathology.prognostics...Thyroid.cancer","Pathology.prognostics...Urothelial.cancer"
"HCFC2","HCF-2","ENSG00000111727","Host cell factor C2","Q9Y5Z7","12","104064531-104106524","Predicted intracellular proteins","","","","Evidence at protein level","Evidence at protein level","Evidence at protein level","Evidence at protein level","Low tissue specificity","Detected in all",NA,"","Cell type enhanced","Detected in all",NA,"Early spermatids: 258.2;Late spermatids: 86.4;Spermatocytes: 115.9","Low cancer specificity","Detected in all",NA,"","Low region specificity","Detected in all",NA,"","Low immune cell specificity","Detected in some",NA,"","Low lineage specificity","Detected in single",NA,"","Low cancer specificity","Detected in all",NA,"","Testis - Early spermatids","Low region specificity","Detected in all",NA,"","Low region specificity","Detected in all",NA,"","HPA006227","Approved","","Supported","Nucleoplasm,Plasma membrane,Cytosol","",NA,NA,NA,NA,"Cluster 27: Non-specific - Gene expression","Cluster 13: Striated muscle - Muscle contraction","Cluster 20: Connective tissue cells - ECM organization","Cluster 42: Spermatocytes & Spermatids - Spermatogenesis","Nucleoplasm","Plasma membrane, Cytosol","HPA006227: AB_1079042","unprognostic (4.22e-3)","unprognostic (1.22e-1)","unprognostic (1.08e-1)","unprognostic (7.66e-2)","unprognostic (3.15e-2)","unprognostic (2.11e-2)","unprognostic (1.46e-1)","unprognostic (1.07e-2)","unprognostic (1.59e-1)","unprognostic (1.43e-2)","unprognostic (2.71e-2)","unprognostic (4.54e-2)","unprognostic (4.23e-3)","unprognostic (1.16e-2)","unprognostic (2.24e-1)","unprognostic (1.19e-2)","unprognostic (7.23e-2)"
"HCLS1","CTTNL, HS1","ENSG00000180353","Hematopoietic cell-specific Lyn substrate 1","P14317","3","121631399-121660927","Plasma proteins, Predicted intracellular proteins","","","","Evidence at protein level","Evidence at protein level","Evidence at protein level","Evidence at protein level","Tissue enhanced","Detected in all",NA,"bone marrow: 153.6;lymphoid tissue: 300.3","Cell type enhanced","Detected in many",NA,"B-cells: 168.9;Hofbauer cells: 166.8;Kupffer cells: 419.9;Macrophages: 339.0;monocytes: 388.0;NK-cells: 186.3;T-cells: 179.6","Low cancer specificity","Detected in all",NA,"","Low region specificity","Detected in all",NA,"","Low immune cell specificity","Detected in all",NA,"","Low lineage specificity","Detected in all",NA,"","Group enriched","Detected in many",11,"Leukemia: 183.8;lymphoma: 217.7;Myeloma: 213.6","Adipose subcutaneous - Macrophages, Adipose visceral - Macrophages, Breast - Macrophages, Colon - Macrophages, Heart muscle - Macrophages, Lung - Neutrophil_2, Pancreas - Macrophages, Prostate - Macrophages, Skeletal muscle - Macrophages, Skin - Macrophages, Stomach - Macrophages","Low region specificity","Detected in all",NA,"","Low region specificity","Detected in all",NA,"","HPA019143","Enhanced","","Supported","Plasma membrane,Cytosol","",NA,NA,NA,870000,"Cluster 8: Neutrophils - Inflammatory response","Cluster 16: Immune cells - Immune response","Cluster 12: Lymphoid cancers - Adaptive immune response","Cluster 69: Macrophages - Innate immune response","Plasma membrane, Cytosol","","HPA019143: AB_1850532","unprognostic (2.27e-2)","unprognostic (1.79e-3)","unprognostic (5.38e-3)","unprognostic (6.29e-2)","unprognostic (1.01e-2)","unprognostic (4.02e-3)","unprognostic (2.35e-1)","unprognostic (4.88e-3)","unprognostic (1.70e-2)","unprognostic (1.19e-1)","unprognostic (6.76e-2)","unprognostic (2.28e-1)","unprognostic (1.03e-3)","unprognostic (2.93e-1)","unprognostic (3.46e-2)","unprognostic (2.60e-2)","unprognostic (2.01e-1)"
"HCST","DAP10, DKFZP586C1522, KAP10, PIK3AP","ENSG00000126264","Hematopoietic cell signal transducer","Q9UBK5","19","35902529-35904377","Metabolic proteins, Predicted membrane proteins","","","","Evidence at protein level","Evidence at protein level","Evidence at protein level","Evidence at protein level","Group enriched","Detected in all",5,"bone marrow: 253.7;lymphoid tissue: 115.6","Cell type enhanced","Detected in many",NA,"dendritic cells: 355.0;Hofbauer cells: 699.5;Kupffer cells: 383.0;Langerhans cells: 721.5;Macrophages: 366.5;monocytes: 418.9;NK-cells: 1332.5;T-cells: 721.5","Low cancer specificity","Detected in all",NA,"","Low region specificity","Detected in all",NA,"","Low immune cell specificity","Detected in all",NA,"","Low lineage specificity","Detected in all",NA,"","Group enriched","Detected in many",14,"Leukemia: 85.3;lymphoma: 47.2;Myeloma: 32.8","Skeletal muscle - Macrophages, Testis - Macrophages, Thyroid - T-cells","Low region specificity","Detected in many",NA,"","Low region specificity","Detected in all",NA,"","CAB034435, HPA063026","Enhanced","","Uncertain","Golgi apparatus,Vesicles,Plasma membrane","",NA,NA,NA,NA,"Cluster 36: GdT-cells - Adaptive immune response","Cluster 40: Neutrophils - Inflammatory response","Cluster 66: Myeloid cells - Innate immune response","Cluster 7: NK-cells - Immune response regulation","Golgi apparatus, Vesicles, Plasma membrane","","CAB034435: AB_2117803, HPA063026: ","unprognostic (1.40e-3)","unprognostic (3.07e-2)","unprognostic (3.04e-2)","unprognostic (7.27e-3)","unprognostic (1.23e-1)","unprognostic (8.23e-3)","unprognostic (1.85e-1)","unprognostic (2.54e-1)","prognostic favorable (6.70e-4)","unprognostic (5.97e-2)","unprognostic (1.94e-3)","unprognostic (1.02e-1)","prognostic unfavorable (1.59e-10)","unprognostic (3.78e-1)","unprognostic (3.25e-2)","unprognostic (1.65e-1)","unprognostic (1.56e-1)"
"HEG1","HEG, KIAA1237","ENSG00000173706","Heart development protein with EGF like domains 1","Q9ULI3","3","124965710-125055997","Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins","","Developmental protein","","Evidence at protein level","Evidence at transcript level","Evidence at protein level","Evidence at protein level","Low tissue specificity","Detected in all",NA,"","Cell type enhanced","Detected in many",NA,"Cone photoreceptor cells: 255.1;Endothelial cells: 131.0;Thymic epithelial cells: 194.9","Low cancer specificity","Detected in all",NA,"","Low region specificity","Detected in all",NA,"","Low immune cell specificity","Detected in many",NA,"","Low lineage specificity","Detected in many",NA,"","Low cancer specificity","Detected in all",NA,"","Adipose visceral - Mesothelial cells, Breast - Endothelial cells, Liver - Vascular Endothelial cells","Low region specificity","Detected in all",NA,"","Low region specificity","Detected in all",NA,"","HPA010952, HPA011559","Approved","","Approved","Vesicles,Plasma membrane","Intracellular and membrane",NA,NA,NA,5.1e+08,"Cluster 15: NK-cells - Transcription","Cluster 57: Non-specific - Angiogenesis","Cluster 20: Connective tissue cells - ECM organization","Cluster 66: Endothelial cells - Angiogenesis","Vesicles","Plasma membrane","HPA010952: AB_2668389, HPA011559: AB_1850580","unprognostic (1.10e-1)","unprognostic (2.21e-1)","unprognostic (6.52e-2)","unprognostic (2.23e-1)","unprognostic (1.30e-1)","unprognostic (5.40e-2)","unprognostic (6.48e-2)","unprognostic (2.89e-2)","unprognostic (2.36e-1)","unprognostic (9.80e-2)","unprognostic (1.69e-1)","unprognostic (8.33e-2)","prognostic unfavorable (1.93e-5)","unprognostic (1.11e-2)","unprognostic (4.99e-2)","unprognostic (6.20e-3)","prognostic unfavorable (1.16e-4)"
"HELZ","DHRC, HUMORF5, KIAA0054","ENSG00000198265","Helicase with zinc finger","P42694","17","67070444-67245989","Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins","","Helicase, Hydrolase","","Evidence at protein level","Evidence at transcript level","Evidence at protein level","Evidence at protein level","Low tissue specificity","Detected in all",NA,"","Low cell type specificity","Detected in all",NA,"","Low cancer specificity","Detected in all",NA,"","Low region specificity","Detected in all",NA,"","Low immune cell specificity","Detected in all",NA,"","Low lineage specificity","Detected in all",NA,"","Low cancer specificity","Detected in all",NA,"","Testis - Sertoli cells","Low region specificity","Detected in all",NA,"","Low region specificity","Detected in all",NA,"","HPA028276","Approved","","Approved","Nucleoli,Nucleoli rim,Plasma membrane,Actin filaments","",NA,NA,NA,NA,"Cluster 16: MAIT-cells - Unknown function","Cluster 34: Non-specific - Transcription","Cluster 65: Breast cancer - Unknown function","Cluster 14: Endometrium - Transcription regulation","Nucleoli, Nucleoli rim","Plasma membrane, Actin filaments","HPA028276: AB_10601814","unprognostic (3.16e-1)","unprognostic (2.10e-2)","unprognostic (7.56e-3)","unprognostic (1.29e-1)","unprognostic (4.83e-2)","unprognostic (4.71e-2)","unprognostic (5.85e-2)","unprognostic (5.31e-2)","unprognostic (3.60e-2)","unprognostic (1.16e-1)","unprognostic (1.51e-1)","unprognostic (4.98e-2)","unprognostic (1.33e-3)","unprognostic (1.42e-1)","unprognostic (1.24e-1)","unprognostic (1.59e-1)","unprognostic (1.31e-1)"
"HERC2","D15F37S1, jdf2, p528","ENSG00000128731","HECT and RLD domain containing E3 ubiquitin protein ligase 2","O95714","15","28111040-28322179","Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins","DNA damage, DNA repair, Ubl conjugation pathway","Transferase","Disease variant, Intellectual disability","Evidence at protein level","Evidence at protein level","Evidence at protein level","Evidence at protein level","Low tissue specificity","Detected in all",NA,"","Low cell type specificity","Detected in all",NA,"","Low cancer specificity","Detected in all",NA,"","Low region specificity","Detected in many",NA,"","Not detected in immune cells","Not detected",NA,"","Not detected","Not detected",NA,"","Low cancer specificity","Detected in all",NA,"","","Low region specificity","Detected in all",NA,"","Low region specificity","Detected in all",NA,"","CAB017188, HPA048389, HPA074166","Approved","","Supported","Plasma membrane,Cytosol","",NA,NA,NA,NA,"Cluster 47: Plasmacytoid DCs - Protein folding","Cluster 59: Non-specific - Translation","Cluster 45: Non-specific - Cell proliferation","Cluster 17: Granulosa cells - Transcription regulation","Cytosol","Plasma membrane","CAB017188: , HPA048389: AB_2680382, HPA074166: ","unprognostic (1.59e-1)","unprognostic (1.44e-1)","unprognostic (1.92e-1)","unprognostic (6.64e-2)","unprognostic (6.62e-2)","unprognostic (5.74e-2)","unprognostic (9.17e-2)","unprognostic (2.08e-1)","unprognostic (1.87e-1)","unprognostic (4.11e-2)","unprognostic (9.40e-3)","unprognostic (3.60e-2)","prognostic favorable (1.41e-7)","unprognostic (7.66e-2)","unprognostic (2.10e-1)","unprognostic (2.34e-2)","unprognostic (1.71e-1)"
"HERPUD1","HERP, KIAA0025, Mif1, SUP","ENSG00000051108","Homocysteine inducible ER protein with ubiquitin like domain 1","Q15011","16","56932142-56944864","Cancer-related genes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins","Unfolded protein response","","Cancer-related genes","Evidence at protein level","Evidence at protein level","Evidence at protein level","Evidence at protein level","Low tissue specificity","Detected in all",NA,"","Cell type enhanced","Detected in all",NA,"dendritic cells: 2251.5;Plasma cells: 2092.6","Low cancer specificity","Detected in all",NA,"","Low region specificity","Detected in all",NA,"","Low immune cell specificity","Detected in all",NA,"","Low lineage specificity","Detected in all",NA,"","Cancer enhanced","Detected in all",NA,"Myeloma: 314.4","Prostate - Prostate glandular cells","Low region specificity","Detected in all",NA,"","Low region specificity","Detected in all",NA,"","CAB037041, CAB037104, HPA040754, HPA041219","Approved","","Uncertain","Plasma membrane,Cytosol","",NA,NA,NA,NA,"Cluster 3: Plasmacytoid DCs - Unknown function","Cluster 29: Non-specific - Vesicular transport","Cluster 44: Myeloma - Humoral immune response","Cluster 45: Plasma cells - Humoral immune response","Plasma membrane, Cytosol","","CAB037041: AB_1840910, CAB037104: AB_1840912, HPA040754: AB_10794068, HPA041219: AB_10794268","unprognostic (1.92e-1)","unprognostic (3.47e-1)","unprognostic (8.64e-2)","unprognostic (3.93e-3)","unprognostic (3.39e-1)","unprognostic (5.00e-3)","unprognostic (1.17e-1)","unprognostic (9.69e-3)","unprognostic (3.33e-1)","unprognostic (2.56e-1)","unprognostic (2.84e-1)","unprognostic (3.50e-1)","prognostic favorable (1.41e-9)","unprognostic (1.06e-1)","unprognostic (3.93e-2)","unprognostic (2.19e-2)","unprognostic (2.27e-3)"
"HINT1","HINT, PKCI-1, PRKCNH1","ENSG00000169567","Histidine triad nucleotide binding protein 1","P49773","5","131155383-131224468","Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins","Apoptosis, Transcription, Transcription regulation, Ubl conjugation pathway","Hydrolase, Protease, Thiol protease","Disease variant, Neuropathy","Evidence at protein level","Evidence at protein level","Evidence at protein level","Evidence at protein level","Low tissue specificity","Detected in all",NA,"","Cell type enhanced","Detected in all",NA,"Proximal tubular cells: 3647.7","Low cancer specificity","Detected in all",NA,"","Low region specificity","Detected in all",NA,"","Low immune cell specificity","Detected in all",NA,"","Low lineage specificity","Detected in all",NA,"","Low cancer specificity","Detected in all",NA,"","Breast - Breast glandular cells, Liver - Hepatocytes, Testis - Early spermatids","Low region specificity","Detected in all",NA,"","Low region specificity","Detected in all",NA,"","HPA044577","Approved","","Supported","Nucleoplasm,Plasma membrane,Cytosol","",NA,NA,NA,2800000,"Cluster 30: Non-specific - Translation","Cluster 39: Non-specific - Mitochondria","Cluster 57: Non-specific - Translation","Cluster 60: Proximal tubular cells - Absorption","Cytosol","Nucleoplasm, Plasma membrane","HPA044577: AB_10795618","unprognostic (2.00e-1)","unprognostic (9.27e-2)","unprognostic (2.04e-2)","unprognostic (1.03e-2)","unprognostic (1.19e-1)","unprognostic (1.35e-1)","unprognostic (8.30e-3)","unprognostic (2.48e-1)","unprognostic (1.30e-2)","unprognostic (6.49e-2)","unprognostic (6.50e-3)","unprognostic (4.43e-2)","unprognostic (4.39e-3)","unprognostic (2.08e-1)","unprognostic (1.74e-1)","unprognostic (1.67e-1)","unprognostic (3.68e-1)"
"HIP1R","FLJ14000, HIP12, HIP3, ILWEQ, KIAA0655","ENSG00000130787","Huntingtin interacting protein 1 related","O75146","12","122834453-122862961","Cancer-related genes, Predicted intracellular proteins","Endocytosis","Actin-binding","Cancer-related genes","Evidence at protein level","Evidence at protein level","Evidence at protein level","Evidence at protein level","Tissue enhanced","Detected in all",NA,"brain: 103.4","Cell type enhanced","Detected in many",NA,"Astrocytes: 130.3;Oligodendrocyte precursor cells: 161.7;Oligodendrocytes: 111.2","Low cancer specificity","Detected in all",NA,"","Low region specificity","Detected in all",NA,"","Immune cell enhanced","Detected in many",NA,"memory B-cell: 9.3;naive B-cell: 10.6","Group enriched","Detected in many",8,"B-cells: 10.6;granulocytes: 2.9;T-cells: 3.0","Low cancer specificity","Detected in all",NA,"","Adipose visceral - Endothelial cells, Prostate - Prostate basal glandular cells","Low region specificity","Detected in all",NA,"","Low region specificity","Detected in all",NA,"","CAB017187, HPA038135, HPA038136","Enhanced","","Supported","Vesicles,Plasma membrane,Cytosol","",NA,NA,NA,NA,"Cluster 21: B-cells - Adaptive immune response","Cluster 22: Non-specific - Unknown function","Cluster 45: Non-specific - Cell proliferation","Cluster 10: Neurons & Oligodendrocytes - Nervous system development","Plasma membrane, Cytosol","Vesicles","CAB017187: , HPA038135: AB_2675851, HPA038136: AB_2675852","unprognostic (4.52e-1)","unprognostic (6.39e-2)","unprognostic (7.07e-2)","unprognostic (6.55e-3)","unprognostic (8.67e-2)","unprognostic (1.00e-2)","unprognostic (1.02e-2)","unprognostic (8.11e-2)","unprognostic (6.37e-2)","unprognostic (1.76e-1)","unprognostic (1.39e-2)","unprognostic (6.72e-2)","prognostic favorable (6.50e-7)","unprognostic (2.18e-2)","unprognostic (2.84e-1)","unprognostic (2.54e-3)","prognostic favorable (7.26e-4)"
"HLA-A","","ENSG00000206503","Major histocompatibility complex, class I, A","P04439","6","29941260-29945884","Cancer-related genes, Disease related genes, Human disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters","Adaptive immunity, Host-virus interaction, Immunity, Innate immunity","","Cancer-related genes","Evidence at protein level","Evidence at protein level","Evidence at protein level","Evidence at protein level","Low tissue specificity","Detected in all",NA,"","Cell type enhanced","Detected in all",NA,"Ductal cells: 3575.6;NK-cells: 3270.5;Proximal enterocytes: 5332.7","Low cancer specificity","Detected in all",NA,"","Low region specificity","Detected in all",NA,"","Low immune cell specificity","Detected in all",NA,"","Low lineage specificity","Detected in all",NA,"","Low cancer specificity","Detected in all",NA,"","Skin - Keratinocyte (other), Thyroid - T-cells","","",NA,"","","",NA,"","CAB078470","","","Supported","Golgi apparatus,Plasma membrane","",NA,NA,NA,1.7e+08,"Cluster 49: Eosinophils - Unknown function","Cluster 64: Macrophages - Immune response","Cluster 30: Non-specific - Antiviral immune response","Cluster 19: Macrophages - Innate immune response","Plasma membrane","Golgi apparatus","CAB078470: AB_10985125","unprognostic (1.56e-2)","unprognostic (9.14e-2)","unprognostic (1.34e-2)","prognostic favorable (9.59e-4)","unprognostic (3.49e-1)","unprognostic (1.21e-1)","unprognostic (1.12e-1)","unprognostic (7.28e-2)","unprognostic (3.42e-2)","prognostic favorable (6.47e-4)","unprognostic (2.96e-1)","unprognostic (3.24e-1)","unprognostic (1.84e-2)","unprognostic (1.01e-1)","unprognostic (2.32e-2)","unprognostic (1.20e-2)","unprognostic (1.54e-2)"
"HMGCS1","HMGCS","ENSG00000112972","3-hydroxy-3-methylglutaryl-CoA synthase 1","Q01581","5","43287470-43313512","Enzymes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins","Cholesterol biosynthesis, Cholesterol metabolism, Lipid biosynthesis, Lipid metabolism, Steroid biosynthesis, Steroid metabolism, Sterol biosynthesis, Sterol metabolism","Transferase","","Evidence at protein level","Evidence at protein level","Evidence at protein level","Evidence at protein level","Tissue enhanced","Detected in all",NA,"liver: 390.2","Cell type enhanced","Detected in all",NA,"Alveolar cells type 2: 401.5;Hepatocytes: 446.5;Kupffer cells: 286.3;Suprabasal keratinocytes: 346.6","Low cancer specificity","Detected in all",NA,"","Low region specificity","Detected in all",NA,"","Low immune cell specificity","Detected in all",NA,"","Low lineage specificity","Detected in all",NA,"","Low cancer specificity","Detected in all",NA,"","Lung - Alveolar cells type 2","Low region specificity","Detected in all",NA,"","Low region specificity","Detected in all",NA,"","CAB032907, HPA036913, HPA036914","Approved","","Supported","Nucleoplasm,Plasma membrane,Cytosol","","No","No",NA,470000,"Cluster 44: Non-specific - Transcription","Cluster 85: Liver - Metabolism","Cluster 39: Non-specific - Unknown function","Cluster 29: Hepatocytes - Metabolism","Nucleoplasm, Cytosol","Plasma membrane","CAB032907: AB_2118319, HPA036913: AB_2675380, HPA036914: AB_10671751","unprognostic (1.31e-1)","unprognostic (5.12e-3)","unprognostic (6.82e-3)","unprognostic (4.59e-2)","unprognostic (8.39e-2)","unprognostic (2.49e-2)","unprognostic (1.03e-1)","unprognostic (3.14e-2)","unprognostic (1.27e-2)","unprognostic (3.13e-1)","unprognostic (6.40e-3)","unprognostic (9.15e-2)","prognostic favorable (3.87e-6)","unprognostic (1.09e-1)","unprognostic (9.22e-2)","unprognostic (3.03e-2)","unprognostic (2.37e-2)"
"HMOX1","bK286B10, HO-1","ENSG00000100292","Heme oxygenase 1","P09601","22","35380361-35394214","Cancer-related genes, Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins","Apoptosis","Oxidoreductase","Cancer-related genes","Evidence at protein level","Evidence at protein level","Evidence at protein level","Evidence at protein level","Tissue enriched","Detected in all",4,"lymphoid tissue: 612.2","Cell type enhanced","Detected in many",NA,"Extravillous trophoblasts: 315.8;Hofbauer cells: 514.0;Kupffer cells: 245.0;Macrophages: 496.0;Syncytiotrophoblasts: 650.7","Low cancer specificity","Detected in all",NA,"","Low region specificity","Detected in all",NA,"","Group enriched","Detected in many",5,"classical monocyte: 98.8;intermediate monocyte: 238.8;non-classical monocyte: 329.2","Lineage enriched","Detected in all",7,"monocytes: 329.2","Low cancer specificity","Detected in all",NA,"","Adipose subcutaneous - Macrophages, Adipose visceral - Macrophages, Breast - Macrophages, Colon - Macrophages, Heart muscle - Macrophages, Kidney - Proximal tubular cells, Prostate - Macrophages, Skin - Keratinocyte (granular), Stomach - Macrophages, Thyroid - Macrophages","Low region specificity","Detected in all",NA,"","Low region specificity","Detected in all",NA,"","HPA000635, CAB017444","Enhanced","","Uncertain","Golgi apparatus,Plasma membrane","",NA,NA,NA,170000,"Cluster 51: Monocytes - Innate immune response","Cluster 64: Macrophages - Immune response","Cluster 6: BEWO - Unknown function","Cluster 69: Macrophages - Innate immune response","Golgi apparatus, Plasma membrane","","CAB017444: AB_10617276, HPA000635: AB_1079089","unprognostic (3.12e-1)","unprognostic (1.00e-1)","unprognostic (9.42e-2)","unprognostic (6.94e-2)","unprognostic (5.57e-2)","unprognostic (2.47e-2)","prognostic unfavorable (1.59e-4)","unprognostic (7.56e-2)","unprognostic (1.71e-1)","unprognostic (4.91e-2)","unprognostic (1.62e-1)","unprognostic (2.76e-1)","unprognostic (1.95e-3)","unprognostic (1.91e-1)","unprognostic (4.82e-2)","unprognostic (2.26e-1)","unprognostic (7.54e-2)"
"HOMER3","HOMER-3","ENSG00000051128","Homer scaffold protein 3","Q9NSC5","19","18929201-18941261","Predicted intracellular proteins","","","","Evidence at protein level","Evidence at protein level","Evidence at protein level","Evidence at protein level","Tissue enhanced","Detected in all",NA,"lymphoid tissue: 125.1","Cell type enhanced","Detected in many",NA,"Hofbauer cells: 77.2;Muller glia cells: 75.2;Proximal tubular cells: 80.5;Theca cells: 224.8","Low cancer specificity","Detected in all",NA,"","Low region specificity","Detected in all",NA,"","Immune cell enhanced","Detected in many",NA,"classical monocyte: 15.0","Low lineage specificity","Detected in many",NA,"","Low cancer specificity","Detected in all",NA,"","Adipose subcutaneous - Adipose progenitor cells, Adipose visceral - Adipose progenitor cells, Liver - Vascular Endothelial cells","Region enriched","Detected in all",6,"cerebellum: 189.2","Low region specificity","Detected in all",NA,"","CAB032656, HPA040999, CAB079015","Enhanced","Supported","Supported","Plasma membrane,Cytosol,Cytoplasmic bodies","",NA,NA,NA,NA,"Cluster 25: Monocytes - Inflammatory response","Cluster 80: Striated muscle - Unknown function","Cluster 44: Myeloma - Humoral immune response","Cluster 66: Endothelial cells - Angiogenesis","Cytosol","Plasma membrane, Cytoplasmic bodies","CAB032656: AB_2120801, CAB079015: , HPA040999: AB_2677242","unprognostic (3.41e-2)","unprognostic (1.71e-1)","prognostic unfavorable (4.24e-5)","unprognostic (1.19e-1)","unprognostic (2.06e-1)","unprognostic (1.11e-1)","prognostic unfavorable (4.93e-5)","unprognostic (1.07e-1)","unprognostic (8.88e-2)","unprognostic (5.78e-2)","unprognostic (1.28e-1)","unprognostic (2.10e-2)","unprognostic (5.99e-2)","unprognostic (3.76e-2)","unprognostic (2.33e-1)","unprognostic (1.41e-1)","unprognostic (4.11e-2)"
"HPS3","BLOC2S1, SUTAL","ENSG00000163755","HPS3 biogenesis of lysosomal organelles complex 2 subunit 1","Q969F9","3","149129638-149173732","Disease related genes, Human disease related genes, Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins","","","Albinism, Disease variant, Hermansky-Pudlak syndrome","Evidence at protein level","Evidence at transcript level","Evidence at protein level","Evidence at protein level","Low tissue specificity","Detected in all",NA,"","Cell type enhanced","Detected in all",NA,"Sertoli cells: 58.0","Low cancer specificity","Detected in all",NA,"","Low region specificity","Detected in all",NA,"","Low immune cell specificity","Detected in all",NA,"","Low lineage specificity","Detected in all",NA,"","Low cancer specificity","Detected in all",NA,"","","Low region specificity","Detected in all",NA,"","Low region specificity","Detected in all",NA,"","HPA046281, HPA052778","Approved","","Approved","Golgi apparatus,Plasma membrane","",NA,NA,NA,NA,"Cluster 27: Non-specific - Gene expression","Cluster 34: Non-specific - Transcription","Cluster 68: Kidney - Mixed function","Cluster 62: B-cells - B-cell activation","Golgi apparatus, Plasma membrane","","HPA046281: AB_10961641, HPA052778: AB_2681943","unprognostic (1.47e-2)","unprognostic (7.83e-2)","unprognostic (1.04e-1)","unprognostic (1.11e-3)","unprognostic (1.28e-1)","unprognostic (1.50e-1)","prognostic unfavorable (6.04e-4)","unprognostic (1.33e-1)","unprognostic (1.75e-1)","unprognostic (1.08e-1)","unprognostic (1.82e-2)","unprognostic (1.08e-1)","prognostic unfavorable (4.38e-4)","unprognostic (2.00e-1)","unprognostic (1.28e-1)","unprognostic (3.03e-1)","unprognostic (3.06e-2)"
