"","Subcellular.location..CC.","Intramembrane","Topological.domain","Transmembrane"
"Q9NZ32","SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton {ECO:0000250|UniProtKB:I3LHK5}.",NA,NA,NA
"Q9GZN1","SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton {ECO:0000250|UniProtKB:P45890}. Nucleus {ECO:0000269|PubMed:16487625}. Nucleus, nucleolus {ECO:0000269|PubMed:26164235}. Note=Colocalizes with HP1 family proteins at pericentric heterochromatin. {ECO:0000269|PubMed:16487625}.",NA,NA,NA
"O14672","SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:20624979, ECO:0000269|PubMed:23676497, ECO:0000269|PubMed:24990881, ECO:0000269|PubMed:26686862, ECO:0000269|PubMed:29430990, ECO:0000269|PubMed:30463011}; Single-pass type I membrane protein {ECO:0000305}. Golgi apparatus membrane {ECO:0000269|PubMed:12475894}; Single-pass type I membrane protein {ECO:0000305}. Cytoplasmic vesicle, clathrin-coated vesicle {ECO:0000269|PubMed:12475894}. Cell projection, axon {ECO:0000250|UniProtKB:O35598}. Cell projection, dendrite {ECO:0000250|UniProtKB:O35598}. Cell junction, adherens junction {ECO:0000269|PubMed:30463011}. Cytoplasm {ECO:0000269|PubMed:30463011}. Note=Is localized in the plasma membrane but is also expressed in the Golgi apparatus and in clathrin-coated vesicles derived likely from the Golgi (PubMed:12475894). During long term depression, it is recruited to the cell membrane by DLG1 (PubMed:23676497). The immature form is mainly located near cytoplasmic fibrillar structures, while the mature form is predominantly located at zonula adherens and the cell membrane (PubMed:30463011). The localization and clustering of mature ADAM10 to zonula adherens is regulated by AFDN, TSPAN33, PLEKHA7 and PDZD11 (PubMed:30463011). {ECO:0000269|PubMed:12475894, ECO:0000269|PubMed:23676497, ECO:0000269|PubMed:30463011}.",NA,"TOPO_DOM 20..672; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 694..748; /note=Cytoplasmic; /evidence=ECO:0000255","TRANSMEM 673..693; /note=Helical; /evidence=ECO:0000255"
"Q9UHI8","SUBCELLULAR LOCATION: Secreted, extracellular space, extracellular matrix {ECO:0000250}.",NA,NA,NA
"O60503","SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:10987815, ECO:0000269|PubMed:9628827}; Multi-pass membrane protein {ECO:0000305}.",NA,"TOPO_DOM 1..117; /note=Cytoplasmic; /evidence=ECO:0000255; TOPO_DOM 139..141; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 163..171; /note=Cytoplasmic; /evidence=ECO:0000255; TOPO_DOM 193..215; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 236..241; /note=Cytoplasmic; /evidence=ECO:0000255; TOPO_DOM 260..280; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 302..786; /note=Cytoplasmic; /evidence=ECO:0000255; TOPO_DOM 808..818; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 840..867; /note=Cytoplasmic; /evidence=ECO:0000255; TOPO_DOM 889..891; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 913..920; /note=Cytoplasmic; /evidence=ECO:0000255; TOPO_DOM 942..975; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 997..1353; /note=Cytoplasmic; /evidence=ECO:0000255","TRANSMEM 118..138; /note=Helical; /evidence=ECO:0000255; TRANSMEM 142..162; /note=Helical; /evidence=ECO:0000255; TRANSMEM 172..192; /note=Helical; /evidence=ECO:0000255; TRANSMEM 216..235; /note=Helical; /evidence=ECO:0000255; TRANSMEM 242..259; /note=Helical; /evidence=ECO:0000255; TRANSMEM 281..301; /note=Helical; /evidence=ECO:0000255; TRANSMEM 787..807; /note=Helical; /evidence=ECO:0000255; TRANSMEM 819..839; /note=Helical; /evidence=ECO:0000255; TRANSMEM 868..888; /note=Helical; /evidence=ECO:0000255; TRANSMEM 892..912; /note=Helical; /evidence=ECO:0000255; TRANSMEM 921..941; /note=Helical; /evidence=ECO:0000255; TRANSMEM 976..996; /note=Helical; /evidence=ECO:0000255"
"P35611","SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton. Cell membrane; Peripheral membrane protein; Cytoplasmic side.",NA,NA,NA
"Q9UEY8","SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton {ECO:0000250|UniProtKB:Q62847}. Cell membrane {ECO:0000250|UniProtKB:Q62847}; Peripheral membrane protein; Cytoplasmic side. Cytoplasm {ECO:0000250|UniProtKB:Q9QYB5}. Note=Full-length protein and the cleavage fragment 358-706 localize mainly to the cytoplasm, while cleavage fragment 1-357 translocates from the cytoplasm to the nucleus. {ECO:0000250|UniProtKB:Q9QYB5}.",NA,NA,NA
"Q96PE1","SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:16982628, ECO:0000269|PubMed:21421844, ECO:0000269|PubMed:22013897}; Multi-pass membrane protein {ECO:0000255}. Cell projection, filopodium {ECO:0000269|PubMed:21421844}. Note=Enriched at lateral cell borders and also at sites of cell-ECM (extracellular matrix) contact. {ECO:0000269|PubMed:21421844}.",NA,"TOPO_DOM 34..771; /note=Extracellular; /evidence=ECO:0000305|PubMed:16982628, ECO:0000305|PubMed:21421844, ECO:0000305|PubMed:22013897; TOPO_DOM 793..807; /note=Cytoplasmic; /evidence=ECO:0000255; TOPO_DOM 829..832; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 854..886; /note=Cytoplasmic; /evidence=ECO:0000255; TOPO_DOM 908..924; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 946..1019; /note=Cytoplasmic; /evidence=ECO:0000255; TOPO_DOM 1041..1047; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 1069..1338; /note=Cytoplasmic; /evidence=ECO:0000269|PubMed:21421844","TRANSMEM 772..792; /note=Helical; Name=1; /evidence=ECO:0000255; TRANSMEM 808..828; /note=Helical; Name=2; /evidence=ECO:0000255; TRANSMEM 833..853; /note=Helical; Name=3; /evidence=ECO:0000255; TRANSMEM 887..907; /note=Helical; Name=4; /evidence=ECO:0000255; TRANSMEM 925..945; /note=Helical; Name=5; /evidence=ECO:0000255; TRANSMEM 1020..1040; /note=Helical; Name=6; /evidence=ECO:0000255; TRANSMEM 1048..1068; /note=Helical; Name=7; /evidence=ECO:0000255"
"P55263","SUBCELLULAR LOCATION: [Isoform 1]: Nucleus {ECO:0000269|PubMed:19635462}.; SUBCELLULAR LOCATION: [Isoform 2]: Cytoplasm {ECO:0000269|PubMed:19635462}.",NA,NA,NA
"Q16186","SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:16990800}. Nucleus {ECO:0000269|PubMed:16990800}.",NA,NA,NA
"P30520","SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_03127}. Mitochondrion {ECO:0000250|UniProtKB:A4Z6H1}. Note=Partially associated with particulate fractions.",NA,NA,NA
"P55196","SUBCELLULAR LOCATION: Cell junction, adherens junction {ECO:0000269|PubMed:30463011}. Note=Not found at cell-matrix AJs. {ECO:0000250|UniProtKB:O35889}.",NA,NA,NA
"Q09666","SUBCELLULAR LOCATION: Nucleus.",NA,NA,NA
"Q9BRQ8","SUBCELLULAR LOCATION: Lipid droplet {ECO:0000269|PubMed:31634900}. Cell membrane {ECO:0000269|PubMed:31634900}; Lipid-anchor {ECO:0000305}. Cytoplasm {ECO:0000269|PubMed:11980907, ECO:0000269|PubMed:12135761, ECO:0000269|PubMed:26689472}. Mitochondrion membrane {ECO:0000269|PubMed:11980907, ECO:0000269|PubMed:26689472}. Nucleus {ECO:0000269|PubMed:26689472}.",NA,NA,"TRANSMEM 7..27; /note=Helical; /evidence=ECO:0000255"
"O43572","SUBCELLULAR LOCATION: Mitochondrion {ECO:0000269|PubMed:11248059}. Membrane {ECO:0000269|PubMed:11248059}. Cytoplasm {ECO:0000269|PubMed:11248059}. Note=Predominantly mitochondrial but also membrane associated and cytoplasmic.",NA,NA,NA
"Q02952","SUBCELLULAR LOCATION: Cytoplasm, cell cortex {ECO:0000305}. Cytoplasm, cytoskeleton {ECO:0000305}. Membrane {ECO:0000305}; Lipid-anchor {ECO:0000305}. Note=May be part of the cortical cytoskeleton.",NA,NA,NA
"Q9UHK6","SUBCELLULAR LOCATION: Peroxisome {ECO:0000269|PubMed:11060344, ECO:0000269|PubMed:11060359, ECO:0000269|PubMed:7649182}. Mitochondrion {ECO:0000269|PubMed:11060344, ECO:0000269|PubMed:11060359, ECO:0000269|PubMed:7649182}.",NA,NA,NA
"Q86SJ2","SUBCELLULAR LOCATION: Cell membrane {ECO:0000250}; Single-pass type I membrane protein {ECO:0000250}. Nucleus {ECO:0000250}. Note=Associated with nucleus as well as plasma membrane. Restricted to somata of cerebellar as well as hippocampal neurons (By similarity). {ECO:0000250}.",NA,"TOPO_DOM 40..398; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 420..522; /note=Cytoplasmic; /evidence=ECO:0000255","TRANSMEM 399..419; /note=Helical; /evidence=ECO:0000255"
"Q8IY63","SUBCELLULAR LOCATION: Cell junction, tight junction {ECO:0000250}.",NA,NA,NA
"Q86XL3","SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000269|PubMed:22770216}; Single-pass type III membrane protein {ECO:0000269|PubMed:22770216}.",NA,"TOPO_DOM 1..12; /note=Lumenal; /evidence=ECO:0000255; TOPO_DOM 33..938; /note=Cytoplasmic; /evidence=ECO:0000255","TRANSMEM 13..32; /note=Helical; Signal-anchor for type III membrane protein; /evidence=ECO:0000255"
"Q9H9E1","SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton {ECO:0000250|UniProtKB:Q99PE2}. Membrane {ECO:0000250|UniProtKB:Q99PE2}; Peripheral membrane protein {ECO:0000250|UniProtKB:Q99PE2}.",NA,NA,NA
"Q8IZ07","SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:22298428}. Late endosome {ECO:0000269|PubMed:22298428}. Note=Interaction with EGFR may enhance association with the cell membrane.",NA,NA,NA
"Q8N9B4",NA,NA,NA,NA
"Q9NW15","SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:20056604, ECO:0000269|PubMed:22075693, ECO:0000269|PubMed:22946059}; Multi-pass membrane protein {ECO:0000269|PubMed:20056604, ECO:0000269|PubMed:22075693, ECO:0000269|PubMed:22946059}. Note=Shows predominantly an intracellular localization with a weak expression in the cell membrane.",NA,"TOPO_DOM 1..207; /note=Cytoplasmic; /evidence=ECO:0000255; TOPO_DOM 229..240; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 262..316; /note=Cytoplasmic; /evidence=ECO:0000255; TOPO_DOM 338..352; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 374..400; /note=Cytoplasmic; /evidence=ECO:0000255; TOPO_DOM 422..500; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 522..553; /note=Cytoplasmic; /evidence=ECO:0000255; TOPO_DOM 575..590; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 612..660; /note=Cytoplasmic; /evidence=ECO:0000255","TRANSMEM 208..228; /note=Helical; /evidence=ECO:0000255; TRANSMEM 241..261; /note=Helical; /evidence=ECO:0000255; TRANSMEM 317..337; /note=Helical; /evidence=ECO:0000255; TRANSMEM 353..373; /note=Helical; /evidence=ECO:0000255; TRANSMEM 401..421; /note=Helical; /evidence=ECO:0000255; TRANSMEM 501..521; /note=Helical; /evidence=ECO:0000255; TRANSMEM 554..574; /note=Helical; /evidence=ECO:0000255; TRANSMEM 591..611; /note=Helical; /evidence=ECO:0000255"
"Q4KMQ2","SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:20056604, ECO:0000269|PubMed:21107324, ECO:0000269|PubMed:22075693, ECO:0000269|PubMed:22946059}; Multi-pass membrane protein {ECO:0000269|PubMed:20056604, ECO:0000269|PubMed:21107324, ECO:0000269|PubMed:22075693, ECO:0000269|PubMed:22946059}. Note=Shows an intracellular localization according to PubMed:22075693.",NA,"TOPO_DOM 1..300; /note=Cytoplasmic; /evidence=ECO:0000305; TOPO_DOM 322..375; /note=Extracellular; /evidence=ECO:0000305; TOPO_DOM 397..455; /note=Cytoplasmic; /evidence=ECO:0000305; TOPO_DOM 477..509; /note=Extracellular; /evidence=ECO:0000305; TOPO_DOM 531..551; /note=Cytoplasmic; /evidence=ECO:0000305; TOPO_DOM 573..601; /note=Extracellular; /evidence=ECO:0000305; TOPO_DOM 622..663; /note=Cytoplasmic; /evidence=ECO:0000305; TOPO_DOM 706..722; /note=Cytoplasmic; /evidence=ECO:0000305; TOPO_DOM 744..836; /note=Extracellular; /evidence=ECO:0000305; TOPO_DOM 858..910; /note=Cytoplasmic; /evidence=ECO:0000305","TRANSMEM 301..321; /note=Helical; /evidence=ECO:0000250|UniProtKB:Q6P9J9; TRANSMEM 376..396; /note=Helical; /evidence=ECO:0000250|UniProtKB:Q6P9J9; TRANSMEM 456..476; /note=Helical; /evidence=ECO:0000250|UniProtKB:Q6P9J9; TRANSMEM 510..530; /note=Helical; /evidence=ECO:0000250|UniProtKB:Q6P9J9; TRANSMEM 552..572; /note=Helical; /evidence=ECO:0000250|UniProtKB:Q6P9J9; TRANSMEM 602..621; /note=Helical; /evidence=ECO:0000250|UniProtKB:Q6P9J9; TRANSMEM 664..684; /note=Helical; /evidence=ECO:0000250|UniProtKB:Q6P9J9; TRANSMEM 685..705; /note=Helical; /evidence=ECO:0000250|UniProtKB:Q6P9J9; TRANSMEM 723..743; /note=Helical; /evidence=ECO:0000250|UniProtKB:Q6P9J9; TRANSMEM 837..857; /note=Helical; /evidence=ECO:0000250|UniProtKB:Q6P9J9"
"P04083","SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:10772777, ECO:0000269|PubMed:19625660}. Cytoplasm {ECO:0000269|PubMed:10772777, ECO:0000269|PubMed:17008549, ECO:0000269|PubMed:19625660}. Cell projection, cilium {ECO:0000250|UniProtKB:P46193}. Cell membrane {ECO:0000269|PubMed:10772777}. Membrane {ECO:0000269|PubMed:17008549, ECO:0000269|PubMed:2532504, ECO:0000269|PubMed:8557678}; Peripheral membrane protein {ECO:0000269|PubMed:2532504, ECO:0000269|PubMed:8557678}. Endosome membrane {ECO:0000250|UniProtKB:P07150}; Peripheral membrane protein {ECO:0000250|UniProtKB:P07150}. Basolateral cell membrane {ECO:0000250|UniProtKB:P51662}. Apical cell membrane {ECO:0000250|UniProtKB:P10107}. Lateral cell membrane {ECO:0000250|UniProtKB:P10107}. Secreted {ECO:0000269|PubMed:17008549, ECO:0000269|PubMed:19625660, ECO:0000269|PubMed:25664854}. Secreted, extracellular space {ECO:0000269|PubMed:25664854}. Cell membrane {ECO:0000269|PubMed:10772777, ECO:0000269|PubMed:19625660, ECO:0000269|PubMed:25664854}; Peripheral membrane protein {ECO:0000269|PubMed:10772777, ECO:0000269|PubMed:19625660, ECO:0000269|PubMed:25664854}; Extracellular side {ECO:0000269|PubMed:10772777, ECO:0000269|PubMed:19625660, ECO:0000269|PubMed:25664854}. Secreted, extracellular exosome {ECO:0000269|PubMed:25664854}. Cytoplasmic vesicle, secretory vesicle lumen {ECO:0000269|PubMed:10772777}. Cell projection, phagocytic cup {ECO:0000250|UniProtKB:P10107}. Early endosome {ECO:0000250|UniProtKB:P19619}. Cytoplasmic vesicle membrane {ECO:0000250|UniProtKB:P19619}; Peripheral membrane protein {ECO:0000250|UniProtKB:P19619}. Note=Secreted, at least in part via exosomes and other secretory vesicles. Detected in exosomes and other extracellular vesicles (PubMed:25664854). Alternatively, the secretion is dependent on protein unfolding and facilitated by the cargo receptor TMED10; it results in the protein translocation from the cytoplasm into ERGIC (endoplasmic reticulum-Golgi intermediate compartment) followed by vesicle entry and secretion (PubMed:32272059). Detected in gelatinase granules in resting neutrophils (PubMed:10772777). Secretion is increased in response to wounding and inflammation (PubMed:25664854). Secretion is increased upon T-cell activation (PubMed:17008549). Neutrophil adhesion to endothelial cells stimulates secretion via gelatinase granules, but foreign particle phagocytosis has no effect (PubMed:10772777). Colocalizes with actin fibers at phagocytic cups (By similarity). Displays calcium-dependent binding to phospholipid membranes (PubMed:2532504, PubMed:8557678). {ECO:0000250|UniProtKB:P10107, ECO:0000269|PubMed:10772777, ECO:0000269|PubMed:17008549, ECO:0000269|PubMed:2532504, ECO:0000269|PubMed:25664854, ECO:0000269|PubMed:32272059, ECO:0000269|PubMed:8557678}.",NA,NA,NA
"P07355","SUBCELLULAR LOCATION: Secreted, extracellular space, extracellular matrix, basement membrane {ECO:0000269|PubMed:17081065}. Melanosome {ECO:0000269|PubMed:17081065}. Note=In the lamina beneath the plasma membrane. Identified by mass spectrometry in melanosome fractions from stage I to stage IV. Translocated from the cytoplasm to the cell surface through a Golgi-independent mechanism.",NA,NA,NA
"P12429",NA,NA,NA,NA
"Q8N6M6","SUBCELLULAR LOCATION: Nucleus, nucleolus {ECO:0000250|UniProtKB:Q8BXQ6}.; SUBCELLULAR LOCATION: [Isoform 3]: Cytoplasm {ECO:0000250|UniProtKB:Q8BXQ6}.",NA,NA,NA
