"X"	"Subcellular.location..CC."	"Intramembrane"	"Topological.domain"	"Transmembrane"
"147"	"P15529"	"SUBCELLULAR LOCATION: Cytoplasmic vesicle, secretory vesicle, acrosome inner membrane {ECO:0000269|PubMed:12112588, ECO:0000269|PubMed:14597734, ECO:0000269|PubMed:15307194}; Single-pass type I membrane protein {ECO:0000269|PubMed:12112588, ECO:0000269|PubMed:14597734, ECO:0000269|PubMed:15307194}. Note=Inner acrosomal membrane of spermatozoa. Internalized upon binding of Measles virus, Herpesvirus 6 or Neisseria gonorrhoeae, which results in an increased susceptibility of infected cells to complement-mediated injury. In cancer cells or cells infected by Neisseria, shedding leads to a soluble peptide."	NA	"TOPO_DOM 35..343; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 367..392; /note=Cytoplasmic; /evidence=ECO:0000255"	"TRANSMEM 344..366; /note=Helical; /evidence=ECO:0000255"
"151"	"Q9NPY3"	"SUBCELLULAR LOCATION: Membrane; Single-pass type I membrane protein."	NA	"TOPO_DOM 24..580; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 602..652; /note=Cytoplasmic; /evidence=ECO:0000255"	"TRANSMEM 581..601; /note=Helical; /evidence=ECO:0000255"
"152"	"Q8TCZ2"	"SUBCELLULAR LOCATION: Cell membrane {ECO:0000250}; Single-pass type I membrane protein {ECO:0000250}; Extracellular side {ECO:0000250}. Cell junction {ECO:0000250}. Secreted {ECO:0000269|PubMed:25326458}."	NA	"TOPO_DOM 26..185; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 207..262; /note=Cytoplasmic; /evidence=ECO:0000255"	"TRANSMEM 186..206; /note=Helical; /evidence=ECO:0000255"
"204"	"P07333"	"SUBCELLULAR LOCATION: Cell membrane; Single-pass type I membrane protein."	NA	"TOPO_DOM 20..517; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 539..972; /note=Cytoplasmic; /evidence=ECO:0000255"	"TRANSMEM 518..538; /note=Helical; /evidence=ECO:0000255"
"218"	"Q14118"	"SUBCELLULAR LOCATION: [Alpha-dystroglycan]: Secreted, extracellular space.; SUBCELLULAR LOCATION: [Beta-dystroglycan]: Cell membrane {ECO:0000269|PubMed:18764929}; Single-pass type I membrane protein. Cytoplasm, cytoskeleton. Nucleus, nucleoplasm {ECO:0000269|PubMed:18764929}. Cell membrane, sarcolemma {ECO:0000250}. Postsynaptic cell membrane {ECO:0000250}. Note=The monomeric form translocates to the nucleus via the action of importins and depends on RAN. Nuclear transport is inhibited by Tyr-892 phosphorylation. In skeletal muscle, this phosphorylated form locates to a vesicular internal membrane compartment. In muscle cells, sarcolemma localization requires the presence of ANK2, while localization to costameres requires the presence of ANK3. Localizes to neuromuscular junctions (NMJs) in the presence of ANK2 (By similarity). In peripheral nerves, localizes to the Schwann cell membrane. Colocalizes with ERM proteins in Schwann-cell microvilli. {ECO:0000250}."	NA	"TOPO_DOM 654..749; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 776..895; /note=Cytoplasmic; /evidence=ECO:0000255"	"TRANSMEM 750..775; /note=Helical; /evidence=ECO:0000255"
"224"	"Q96PD2"	"SUBCELLULAR LOCATION: Membrane {ECO:0000269|PubMed:11973641}; Single-pass type I membrane protein {ECO:0000269|PubMed:11973641}."	NA	"TOPO_DOM 67..528; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 550..775; /note=Cytoplasmic; /evidence=ECO:0000255"	"TRANSMEM 529..549; /note=Helical; /evidence=ECO:0000255"
"253"	"P98172"	"SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:10197531, ECO:0000269|PubMed:7973638}; Single-pass type I membrane protein {ECO:0000255}. Membrane raft {ECO:0000269|PubMed:10197531}. Note=May recruit GRIP1 and GRIP2 to membrane raft domains. {ECO:0000269|PubMed:10197531}.; SUBCELLULAR LOCATION: [Ephrin-B1 C-terminal fragment]: Cell membrane {ECO:0000269|PubMed:16930449}; Single-pass type I membrane protein {ECO:0000305}.; SUBCELLULAR LOCATION: [Ephrin-B1 intracellular domain]: Nucleus {ECO:0000269|PubMed:16930449}. Note=Colocalizes with ZHX2 in the nucleus. {ECO:0000250|UniProtKB:P52795}."	NA	"TOPO_DOM 28..237; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 259..346; /note=Cytoplasmic; /evidence=ECO:0000255"	"TRANSMEM 238..258; /note=Helical; /evidence=ECO:0000255"
"264"	"P17813"	"SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:10545596, ECO:0000269|PubMed:1326540, ECO:0000269|PubMed:1692830, ECO:0000269|PubMed:17540773, ECO:0000269|PubMed:8370410}; Single-pass type I membrane protein {ECO:0000305|PubMed:1692830, ECO:0000305|PubMed:8370410}."	NA	"TOPO_DOM 26..586; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 612..658; /note=Cytoplasmic; /evidence=ECO:0000255"	"TRANSMEM 587..611; /note=Helical; /evidence=ECO:0000255"
"274"	"P19235"	"SUBCELLULAR LOCATION: Cell membrane; Single-pass type I membrane protein.; SUBCELLULAR LOCATION: [Isoform EPOR-S]: Secreted {ECO:0000269|PubMed:11722595}. Note=Secreted and located to the cell surface."	NA	"TOPO_DOM 25..250; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 274..508; /note=Cytoplasmic; /evidence=ECO:0000255"	"TRANSMEM 251..273; /note=Helical; /evidence=ECO:0000255"
"276"	"P04626"	"SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:32381043}; Single-pass type I membrane protein {ECO:0000255}. Cell projection, ruffle membrane {ECO:0000269|PubMed:34380438}; Single-pass type I membrane protein {ECO:0000255}. Note=Internalized from the cell membrane in response to EGF stimulation. {ECO:0000269|PubMed:32381043}.; SUBCELLULAR LOCATION: [Isoform 1]: Cell membrane {ECO:0000269|PubMed:31138794, ECO:0000269|PubMed:33497358}; Single-pass type I membrane protein {ECO:0000255}. Early endosome {ECO:0000269|PubMed:31138794}. Cytoplasm, perinuclear region. Nucleus. Note=Translocation to the nucleus requires endocytosis, probably endosomal sorting and is mediated by importin beta-1/KPNB1. Also detected in VPS35-positive endosome-to-TGN retrograde vesicles (PubMed:31138794). {ECO:0000269|PubMed:31138794}.; SUBCELLULAR LOCATION: [Isoform 2]: Cytoplasm. Nucleus.; SUBCELLULAR LOCATION: [Isoform 3]: Cytoplasm. Nucleus."	NA	"TOPO_DOM 23..652; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 676..1255; /note=Cytoplasmic; /evidence=ECO:0000255"	"TRANSMEM 653..675; /note=Helical; /evidence=ECO:0000255"
"280"	"Q96AP7"	"SUBCELLULAR LOCATION: Cell junction, adherens junction {ECO:0000250}. Cell junction, tight junction {ECO:0000250}. Cell membrane {ECO:0000250}; Single-pass type I membrane protein {ECO:0000250}."	NA	"TOPO_DOM 30..248; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 270..390; /note=Cytoplasmic; /evidence=ECO:0000255"	"TRANSMEM 249..269; /note=Helical; /evidence=ECO:0000255"
"284"	"P34910"	"SUBCELLULAR LOCATION: Membrane; Single-pass type I membrane protein."	NA	"TOPO_DOM 22..202; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 227..448; /note=Cytoplasmic; /evidence=ECO:0000255"	"TRANSMEM 203..226; /note=Helical; /evidence=ECO:0000255"
"288"	"Q9Y624"	"SUBCELLULAR LOCATION: Cell junction, tight junction {ECO:0000269|PubMed:11171323}. Cell membrane {ECO:0000269|PubMed:11171323}; Single-pass type I membrane protein {ECO:0000269|PubMed:11171323}. Note=Localized at tight junctions of both epithelial and endothelial cells. {ECO:0000269|PubMed:11171323}."	NA	"TOPO_DOM 28..238; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 260..299; /note=Cytoplasmic; /evidence=ECO:0000255"	"TRANSMEM 239..259; /note=Helical; /evidence=ECO:0000255"
"300"	"P25445"	"SUBCELLULAR LOCATION: [Isoform 1]: Cell membrane {ECO:0000269|PubMed:1713127, ECO:0000269|PubMed:25301068}; Single-pass type I membrane protein {ECO:0000305}. Membrane raft {ECO:0000269|PubMed:25301068}.; SUBCELLULAR LOCATION: [Isoform 2]: Secreted.; SUBCELLULAR LOCATION: [Isoform 3]: Secreted.; SUBCELLULAR LOCATION: [Isoform 4]: Secreted.; SUBCELLULAR LOCATION: [Isoform 5]: Secreted.; SUBCELLULAR LOCATION: [Isoform 6]: Secreted."	NA	"TOPO_DOM 26..173; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 191..335; /note=Cytoplasmic; /evidence=ECO:0000255"	"TRANSMEM 174..190; /note=Helical; /evidence=ECO:0000255"
"305"	"P12318"	"SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:19011614}; Single-pass type I membrane protein {ECO:0000269|PubMed:19011614}."	NA	"TOPO_DOM 34..217; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 241..317; /note=Cytoplasmic; /evidence=ECO:0000255"	"TRANSMEM 218..240; /note=Helical; /evidence=ECO:0000255"
"316"	"P17948"	"SUBCELLULAR LOCATION: [Isoform 1]: Cell membrane; Single-pass type I membrane protein. Endosome. Note=Autophosphorylation promotes ubiquitination and endocytosis.; SUBCELLULAR LOCATION: [Isoform 2]: Secreted {ECO:0000269|PubMed:8248162}.; SUBCELLULAR LOCATION: [Isoform 3]: Secreted.; SUBCELLULAR LOCATION: [Isoform 4]: Secreted.; SUBCELLULAR LOCATION: [Isoform 5]: Cytoplasm {ECO:0000305}.; SUBCELLULAR LOCATION: [Isoform 6]: Cytoplasm {ECO:0000305}.; SUBCELLULAR LOCATION: [Isoform 7]: Cytoplasm {ECO:0000305}."	NA	"TOPO_DOM 27..758; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 781..1338; /note=Cytoplasmic; /evidence=ECO:0000255"	"TRANSMEM 759..780; /note=Helical; /evidence=ECO:0000255"
"341"	"Q9NU53"	"SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Single-pass type I membrane protein {ECO:0000305}."	NA	"TOPO_DOM 24..268; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 290..330; /note=Cytoplasmic; /evidence=ECO:0000255"	"TRANSMEM 269..289; /note=Helical; /evidence=ECO:0000255"
"358"	"P04921"	"SUBCELLULAR LOCATION: Cell membrane; Single-pass type III membrane protein. Note=Linked to the membrane via band 4.1."	NA	"TOPO_DOM 1..57; /note=Extracellular; TOPO_DOM 82..128; /note=Cytoplasmic"	"TRANSMEM 58..81; /note=Helical; Signal-anchor for type III membrane protein"
"363"	"Q9UBK5"	"SUBCELLULAR LOCATION: Membrane {ECO:0000269|PubMed:10426994}; Single-pass type I membrane protein {ECO:0000269|PubMed:10426994}."	NA	"TOPO_DOM 19..48; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 70..93; /note=Cytoplasmic; /evidence=ECO:0000255"	"TRANSMEM 49..69; /note=Helical; /evidence=ECO:0000255"
"364"	"Q9ULI3"	"SUBCELLULAR LOCATION: [Isoform 1]: Cell membrane {ECO:0000305}; Single-pass type I membrane protein {ECO:0000305}. Cell junction {ECO:0000250}.; SUBCELLULAR LOCATION: [Isoform 2]: Secreted {ECO:0000305}."	NA	"TOPO_DOM 30..1248; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 1270..1381; /note=Cytoplasmic; /evidence=ECO:0000255"	"TRANSMEM 1249..1269; /note=Helical; /evidence=ECO:0000255"
"370"	"P04439"	"SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:21263072, ECO:0000269|PubMed:25880248, ECO:0000269|PubMed:8805302}; Single-pass type I membrane protein {ECO:0000255}. Endoplasmic reticulum membrane {ECO:0000305|PubMed:8805302}; Single-pass type I membrane protein {ECO:0000255}."	NA	"TOPO_DOM 25..308; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 333..365; /note=Cytoplasmic; /evidence=ECO:0000255"	"TRANSMEM 309..332; /note=Helical; /evidence=ECO:0000255"
"378"	"P05362"	"SUBCELLULAR LOCATION: Membrane; Single-pass type I membrane protein."	NA	"TOPO_DOM 28..480; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 504..532; /note=Cytoplasmic; /evidence=ECO:0000255"	"TRANSMEM 481..503; /note=Helical; /evidence=ECO:0000255"
"379"	"P13598"	"SUBCELLULAR LOCATION: Membrane {ECO:0000255}; Single-pass type I membrane protein {ECO:0000255}. Cell projection, microvillus {ECO:0000250|UniProtKB:P35330}. Note=Co-localizes with RDX, EZR and MSN in microvilli. {ECO:0000250|UniProtKB:P35330}."	NA	"TOPO_DOM 25..223; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 249..275; /note=Cytoplasmic; /evidence=ECO:0000255"	"TRANSMEM 224..248; /note=Helical; /evidence=ECO:0000255"
"383"	"P15260"	"SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:10811850, ECO:0000269|PubMed:28883123}; Single-pass type I membrane protein {ECO:0000255}."	NA	"TOPO_DOM 18..245; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 267..489; /note=Cytoplasmic; /evidence=ECO:0000255"	"TRANSMEM 246..266; /note=Helical; /evidence=ECO:0000255"
"385"	"Q9H665"	"SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:21454693}; Single-pass type I membrane protein {ECO:0000269|PubMed:21454693}."	NA	"TOPO_DOM 23..163; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 185..355; /note=Cytoplasmic; /evidence=ECO:0000255"	"TRANSMEM 164..184; /note=Helical; /evidence=ECO:0000255"
"387"	"P14778"	"SUBCELLULAR LOCATION: Membrane {ECO:0000269|PubMed:8142597}; Single-pass type I membrane protein {ECO:0000269|PubMed:8142597}. Cell membrane {ECO:0000305|PubMed:8142597}. Secreted {ECO:0000269|PubMed:8142597}."	NA	"TOPO_DOM 18..336; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 357..569; /note=Cytoplasmic; /evidence=ECO:0000255"	"TRANSMEM 337..356; /note=Helical; /evidence=ECO:0000255"
"388"	"P24394"	"SUBCELLULAR LOCATION: Cell membrane; Single-pass type I membrane protein.; SUBCELLULAR LOCATION: [Isoform 2]: Secreted."	NA	"TOPO_DOM 26..232; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 257..825; /note=Cytoplasmic; /evidence=ECO:0000255"	"TRANSMEM 233..256; /note=Helical; /evidence=ECO:0000255"
"389"	"P40189"	"SUBCELLULAR LOCATION: [Isoform 1]: Cell membrane {ECO:0000269|PubMed:19915009}; Single-pass type I membrane protein {ECO:0000255}.; SUBCELLULAR LOCATION: [Isoform 2]: Secreted {ECO:0000269|PubMed:24629561}."	NA	"TOPO_DOM 23..619; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 642..918; /note=Cytoplasmic; /evidence=ECO:0000255"	"TRANSMEM 620..641; /note=Helical; /evidence=ECO:0000255"
"391"	"P06213"	"SUBCELLULAR LOCATION: Cell membrane {ECO:0000250|UniProtKB:P15208}; Single-pass type I membrane protein {ECO:0000305}. Late endosome {ECO:0000250|UniProtKB:P15208}. Lysosome {ECO:0000250|UniProtKB:P15208}. Note=Binding of insulin to INSR induces internalization and lysosomal degradation of the receptor, a means for down-regulating this signaling pathway after stimulation. In the presence of SORL1, internalized INSR molecules are redirected back to the cell surface, thereby preventing their lysosomal catabolism and strengthening insulin signal reception. {ECO:0000250|UniProtKB:P15208}."	NA	"TOPO_DOM 28..758; /note=Extracellular; /evidence=ECO:0000305; TOPO_DOM 763..956; /note=Extracellular; /evidence=ECO:0000305; TOPO_DOM 980..1382; /note=Cytoplasmic; /evidence=ECO:0000305"	"TRANSMEM 957..979; /note=Helical; /evidence=ECO:0000255"
"399"	"Q13683"	"SUBCELLULAR LOCATION: Membrane; Single-pass type I membrane protein."	NA	"TOPO_DOM 34..1082; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 1104..1181; /note=Cytoplasmic; /evidence=ECO:0000255"	"TRANSMEM 1083..1103; /note=Helical; /evidence=ECO:0000255"
"400"	"P05556"	"SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:32487760, ECO:0000303|PubMed:10455171}; Single-pass type I membrane protein {ECO:0000255}. Cell projection, invadopodium membrane {ECO:0000269|PubMed:10455171}; Single-pass type I membrane protein {ECO:0000255}. Cell projection, ruffle membrane {ECO:0000303|PubMed:10455171}; Single-pass type I membrane protein {ECO:0000255}. Recycling endosome {ECO:0000269|PubMed:16256741}. Melanosome {ECO:0000269|PubMed:17081065}. Cleavage furrow {ECO:0000269|PubMed:17956333}. Cell projection, lamellipodium {ECO:0000269|PubMed:11919189}. Cell projection, ruffle {ECO:0000269|PubMed:11919189}. Cell junction, focal adhesion {ECO:0000269|PubMed:17158881, ECO:0000269|PubMed:35687021}. Cell surface {ECO:0000269|PubMed:17158881, ECO:0000269|PubMed:35687021}. Note=Isoform 2 does not localize to focal adhesions. Highly enriched in stage I melanosomes. Located on plasma membrane of neuroblastoma NMB7 cells. In a lung cancer cell line, in prometaphase and metaphase, localizes diffusely at the membrane and in a few intracellular vesicles. In early telophase, detected mainly on the matrix-facing side of the cells. By mid-telophase, concentrated to the ingressing cleavage furrow, mainly to the basal side of the furrow. In late telophase, concentrated to the extending protrusions formed at the opposite ends of the spreading daughter cells, in vesicles at the base of the lamellipodia formed by the separating daughter cells. Colocalizes with ITGB1BP1 and metastatic suppressor protein NME2 at the edge or peripheral ruffles and lamellipodia during the early stages of cell spreading on fibronectin or collagen. Translocates from peripheral focal adhesions sites to fibrillar adhesions in a ITGB1BP1-dependent manner. Enriched preferentially at invadopodia, cell membrane protrusions that correspond to sites of cell invasion, in a collagen-dependent manner. Localized at plasma and ruffle membranes in a collagen-independent manner. {ECO:0000269|PubMed:10455171, ECO:0000303|PubMed:10455171}.; SUBCELLULAR LOCATION: [Isoform 5]: Cell membrane, sarcolemma {ECO:0000250|UniProtKB:P09055}. Cell junction {ECO:0000250|UniProtKB:P09055}. Note=In cardiac muscle, isoform 5 is found in costameres and intercalated disks. {ECO:0000250|UniProtKB:P09055}."	NA	"TOPO_DOM 21..728; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 752..798; /note=Cytoplasmic; /evidence=ECO:0000255"	"TRANSMEM 729..751; /note=Helical; /evidence=ECO:0000255"
"401"	"P05107"	"SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:21193407, ECO:0000269|PubMed:28807980}; Single-pass type I membrane protein {ECO:0000305}. Membrane raft {ECO:0000269|PubMed:21193407}; Single-pass type I membrane protein {ECO:0000305}."	NA	"TOPO_DOM 23..700; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 724..769; /note=Cytoplasmic; /evidence=ECO:0000255"	"TRANSMEM 701..723; /note=Helical; /evidence=ECO:0000255"
"402"	"P16144"	"SUBCELLULAR LOCATION: Cell membrane; Single-pass type I membrane protein. Cell membrane; Lipid-anchor. Cell junction, hemidesmosome. Note=Colocalizes with DST at the leading edge of migrating keratinocytes."	NA	"TOPO_DOM 28..710; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 734..1822; /note=Cytoplasmic; /evidence=ECO:0000255"	"TRANSMEM 711..733; /note=Helical; /evidence=ECO:0000255"
