Gene	Gene synonym	Ensembl	Gene description	Uniprot	Chromosome	Position	Protein class	Biological process	Molecular function	Disease involvement	Evidence	HPA evidence	UniProt evidence	NeXtProt evidence	RNA tissue specificity	RNA tissue distribution	RNA tissue specificity score	RNA tissue specific nTPM	RNA single cell type specificity	RNA single cell type distribution	RNA single cell type specificity score	RNA single cell type specific nTPM	RNA cancer specificity	RNA cancer distribution	RNA cancer specificity score	RNA cancer specific FPKM	RNA brain regional specificity	RNA brain regional distribution	RNA brain regional specificity score	RNA brain regional specific nTPM	RNA blood cell specificity	RNA blood cell distribution	RNA blood cell specificity score	RNA blood cell specific nTPM	RNA blood lineage specificity	RNA blood lineage distribution	RNA blood lineage specificity score	RNA blood lineage specific nTPM	RNA cell line specificity	RNA cell line distribution	RNA cell line specificity score	RNA cell line specific nTPM	RNA tissue cell type enrichment	RNA mouse brain regional specificity	RNA mouse brain regional distribution	RNA mouse brain regional specificity score	RNA mouse brain regional specific nTPM	RNA pig brain regional specificity	RNA pig brain regional distribution	RNA pig brain regional specificity score	RNA pig brain regional specific nTPM	Antibody	Reliability (IH)	Reliability (Mouse Brain)	Reliability (IF)	Subcellular location	Secretome location	CCD Protein	CCD Transcript	Blood concentration - Conc. blood IM [pg/L]	Blood concentration - Conc. blood MS [pg/L]	Blood expression cluster	Tissue expression cluster	Cell line expression cluster	Single cell expression cluster	Subcellular main location	Subcellular additional location	Antibody RRID	Pathology prognostics - Breast cancer	Pathology prognostics - Cervical cancer	Pathology prognostics - Colorectal cancer	Pathology prognostics - Endometrial cancer	Pathology prognostics - Glioma	Pathology prognostics - Head and neck cancer	Pathology prognostics - Liver cancer	Pathology prognostics - Lung cancer	Pathology prognostics - Melanoma	Pathology prognostics - Ovarian cancer	Pathology prognostics - Pancreatic cancer	Pathology prognostics - Prostate cancer	Pathology prognostics - Renal cancer	Pathology prognostics - Stomach cancer	Pathology prognostics - Testis cancer	Pathology prognostics - Thyroid cancer	Pathology prognostics - Urothelial cancer
ENOX2	"APK1, COVA1, tNOX"	ENSG00000165675	Ecto-NOX disulfide-thiol exchanger 2	Q16206	X	130622325-130903317	Predicted intracellular proteins	"Biological rhythms, Electron transport, Growth regulation, Transport"	Oxidoreductase		Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	Low tissue specificity	Detected in all			Cell type enhanced	Detected in all		Oligodendrocyte precursor cells: 49.1;Oligodendrocytes: 124.8	Low cancer specificity	Detected in all			Low region specificity	Detected in all			Low immune cell specificity	Detected in all			Low lineage specificity	Detected in all			Low cancer specificity	Detected in all				Low region specificity	Detected in all			Low region specificity	Detected in all			"HPA000514, HPA003027"	Uncertain		Approved	"Plasma membrane,Cytosol"	Intracellular and membrane	NA	NA			Cluster 12: Non-specific - Basic cellular processes	Cluster 80: Striated muscle - Unknown function	Cluster 48: Non-specific - RNA binding	Cluster 8: Oligodendrocytes - Myelin sheath organization	Cytosol	Plasma membrane	"HPA000514: AB_1078558, HPA003027: "	unprognostic (1.34e-2)	unprognostic (7.02e-2)	unprognostic (9.75e-2)	unprognostic (1.08e-1)	unprognostic (1.94e-1)	unprognostic (2.60e-1)	unprognostic (4.07e-2)	unprognostic (6.07e-2)	unprognostic (6.27e-3)	unprognostic (5.22e-2)	unprognostic (1.79e-1)	unprognostic (1.44e-1)	prognostic favorable (1.09e-5)	unprognostic (6.42e-2)	unprognostic (4.60e-2)	unprognostic (3.02e-1)	unprognostic (1.38e-1)
EPB41	"4.1R, EL1"	ENSG00000159023	Erythrocyte membrane protein band 4.1	P11171	1	28887091-29120046	"Disease related genes, Human disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters"	"Cell cycle, Cell division, Mitosis, Transport"	"Actin-binding, Calmodulin-binding"	"Elliptocytosis, Hereditary hemolytic anemia, Pyropoikilocytosis"	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Tissue enhanced	Detected in all		retina: 80.0	Cell type enhanced	Detected in all		Bipolar cells: 243.3;Cone photoreceptor cells: 229.2;Rod photoreceptor cells: 370.4	Low cancer specificity	Detected in all			Region enhanced	Detected in all		cerebellum: 42.2	Low immune cell specificity	Detected in all			Low lineage specificity	Detected in all			Cancer enhanced	Detected in all		Bone cancer: 104.3	"Skin - Keratinocyte (other), Testis - Spermatocytes, Testis - Spermatogonia"	Low region specificity	Detected in all			Region enriched	Detected in all	8	cerebellum: 105.6	"HPA028076, HPA028096, HPA028412, HPA028414"	Supported		Supported	"Nuclear bodies,Plasma membrane,Cell Junctions,Cytokinetic bridge,Mitotic spindle,Cytosol"		Yes	No		1100000	Cluster 1: Neutrophils - Mixed function	Cluster 34: Non-specific - Transcription	Cluster 14: Bone cancer - Transcription	Cluster 64: Non-specific - Transcription	"Plasma membrane, Cell Junctions"	"Nuclear bodies, Cytokinetic bridge, Mitotic spindle, Cytosol"	"HPA028076: AB_2672476, HPA028096: , HPA028412: AB_2672592, HPA028414: AB_10601366"	unprognostic (2.16e-1)	unprognostic (1.96e-1)	unprognostic (8.92e-3)	prognostic unfavorable (4.58e-4)	unprognostic (5.00e-2)	prognostic favorable (5.87e-4)	unprognostic (5.01e-3)	unprognostic (5.40e-3)	unprognostic (2.52e-2)	unprognostic (6.65e-2)	unprognostic (7.81e-2)	unprognostic (1.42e-2)	prognostic unfavorable (1.75e-6)	unprognostic (2.66e-2)	unprognostic (2.42e-1)	unprognostic (1.22e-1)	unprognostic (6.67e-2)
EPB41L2	"4.1-G, 4.1G"	ENSG00000079819	Erythrocyte membrane protein band 4.1 like 2	O43491	6	130839347-131063322	"Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins"	"Cell cycle, Cell division, Mitosis, Transport"	Actin-binding		Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Tissue enhanced	Detected in all		retina: 368.5	Cell type enhanced	Detected in many		Late spermatids: 349.9;Microglial cells: 422.3;Muller glia cells: 397.8;Rod photoreceptor cells: 1231.2	Low cancer specificity	Detected in all			Low region specificity	Detected in all			Low immune cell specificity	Detected in many			Low lineage specificity	Detected in many			Low cancer specificity	Detected in all			"Colon - Enteric glia cells, Kidney - Fibroblasts, Prostate - Fibroblasts, Skeletal muscle - Fibroblasts, Thyroid - Fibroblasts"	Low region specificity	Detected in all			Low region specificity	Detected in all			"HPA005730, HPA006642"	Supported		Enhanced	"Nucleoplasm,Plasma membrane,Cell Junctions"		NA	NA		54000	Cluster 7: Monocytes - Unknown function	Cluster 77: Retina - Visual perception	Cluster 20: Connective tissue cells - ECM organization	Cluster 44: Photoreceptor cells - Visual perception	Plasma membrane	"Nucleoplasm, Cell Junctions"	"HPA005730: AB_1848195, HPA006642: AB_1848194"	unprognostic (3.18e-2)	unprognostic (1.04e-1)	unprognostic (8.34e-3)	unprognostic (3.40e-3)	unprognostic (1.41e-1)	unprognostic (5.17e-2)	prognostic unfavorable (2.41e-5)	unprognostic (1.25e-1)	unprognostic (1.23e-1)	prognostic unfavorable (2.16e-4)	unprognostic (3.24e-1)	unprognostic (1.63e-1)	unprognostic (5.63e-2)	unprognostic (3.64e-2)	unprognostic (3.82e-1)	unprognostic (3.48e-2)	unprognostic (9.19e-2)
EPB41L5	"BE37, FLJ12957, KIAA1548, LULU, LULU1, YMO1, YRT"	ENSG00000115109	Erythrocyte membrane protein band 4.1 like 5	Q9HCM4	2	120013077-120179119	Predicted intracellular proteins				Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Low tissue specificity	Detected in all			Cell type enhanced	Detected in many		Oligodendrocyte precursor cells: 85.7	Low cancer specificity	Detected in all			Low region specificity	Detected in all			Low immune cell specificity	Detected in some			Low lineage specificity	Detected in many			Low cancer specificity	Detected in all			"Liver - Hepatocytes, Lung - Alveolar cells type 1, Testis - Spermatocytes, Testis - Spermatogonia"	Low region specificity	Detected in all			Low region specificity	Detected in all			"HPA037563, HPA037564"	Uncertain		Enhanced	Plasma membrane		NA	NA			Cluster 21: B-cells - Adaptive immune response	Cluster 1: Thyroid gland - Transcription	Cluster 46: Non-specific - Unknown function	Cluster 14: Endometrium - Transcription regulation	Plasma membrane		"HPA037563: AB_2675546, HPA037564: AB_2675547"	unprognostic (1.27e-2)	unprognostic (2.15e-1)	unprognostic (2.56e-2)	unprognostic (2.31e-1)	unprognostic (3.33e-2)	unprognostic (1.47e-2)	unprognostic (1.53e-1)	unprognostic (9.06e-3)	unprognostic (5.93e-2)	unprognostic (8.76e-2)	unprognostic (2.20e-2)	unprognostic (9.51e-2)	prognostic favorable (2.28e-6)	unprognostic (1.99e-1)	unprognostic (3.88e-1)	unprognostic (9.59e-2)	unprognostic (2.61e-1)
EPN1		ENSG00000063245	Epsin 1	Q9Y6I3	19	55675226-55709858	"Plasma proteins, Predicted intracellular proteins"	Endocytosis			Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Low tissue specificity	Detected in all			Cell type enhanced	Detected in all		Proximal enterocytes: 387.0	Low cancer specificity	Detected in all			Low region specificity	Detected in all			Low immune cell specificity	Detected in many			Low lineage specificity	Detected in many			Low cancer specificity	Detected in all			Prostate - Prostate glandular cells	Low region specificity	Detected in all			Low region specificity	Detected in all			"CAB009729, HPA061136, HPA071503"	Approved		Supported	"Nucleoplasm,Vesicles,Plasma membrane,Cytosol"		No	No			Cluster 8: Neutrophils - Inflammatory response	Cluster 18: Non-specific - Mitochondria	Cluster 4: Non-specific - Transcription	Cluster 59: Proximal enterocytes - Transmembrane transport	"Plasma membrane, Cytosol"	"Nucleoplasm, Vesicles"	"CAB009729: AB_2277865, HPA061136: AB_2684436, HPA071503: "	unprognostic (6.93e-2)	unprognostic (2.47e-1)	unprognostic (5.30e-2)	unprognostic (1.32e-1)	unprognostic (7.94e-2)	unprognostic (8.76e-2)	unprognostic (1.23e-2)	unprognostic (7.23e-3)	unprognostic (1.18e-1)	unprognostic (1.28e-1)	unprognostic (6.16e-2)	unprognostic (4.63e-2)	unprognostic (1.05e-2)	unprognostic (3.86e-3)	unprognostic (1.57e-1)	unprognostic (2.78e-3)	unprognostic (7.92e-3)
EPOR		ENSG00000187266	Erythropoietin receptor	P19235	19	11377207-11384342	"Cancer-related genes, Disease related genes, FDA approved drug targets, Human disease related genes, Predicted membrane proteins"		Receptor	"Cancer-related genes, Congenital erythrocytosis, Disease variant, FDA approved drug targets"	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Low tissue specificity	Detected in all			Cell type enhanced	Detected in many		Erythroid cells: 85.7;granulocytes: 33.1;Hofbauer cells: 37.4	Cancer enhanced	Detected in all		thyroid cancer: 20.5	Low region specificity	Detected in all			Low immune cell specificity	Detected in many			Low lineage specificity	Detected in many			Low cancer specificity	Detected in all			"Colon - Endothelial cells, Skin - Endothelial cells"	Low region specificity	Detected in all			Low region specificity	Detected in many			HPA077654			Supported	"Nuclear speckles,Plasma membrane"	Intracellular and membrane	NA	Yes			Cluster 14: Monocytes - Unknown function	Cluster 1: Thyroid gland - Transcription	Cluster 32: Myeloid leukemia - Oxygen transport	Cluster 71: Erythroid cells - Oxygen transport	Plasma membrane	Nuclear speckles	HPA077654: 	unprognostic (9.13e-2)	unprognostic (7.14e-2)	unprognostic (1.45e-2)	unprognostic (1.04e-1)	unprognostic (1.88e-1)	unprognostic (1.11e-1)	unprognostic (3.70e-1)	unprognostic (1.50e-2)	unprognostic (5.60e-2)	unprognostic (9.00e-2)	prognostic favorable (3.17e-5)	unprognostic (6.37e-3)	unprognostic (1.59e-2)	unprognostic (2.08e-1)	unprognostic (2.00e-1)	unprognostic (7.48e-2)	unprognostic (1.01e-3)
ERAP1	"A-LAP, ARTS-1, ERAAP1, KIAA0525, PILS-AP"	ENSG00000164307	Endoplasmic reticulum aminopeptidase 1	Q9NZ08	5	96760810-96808100	"Enzymes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins"	"Adaptive immunity, Immunity"	"Aminopeptidase, Hydrolase, Metalloprotease, Protease"		Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Low tissue specificity	Detected in all			Cell type enhanced	Detected in many		Excitatory neurons: 71.7;Inhibitory neurons: 77.6	Low cancer specificity	Detected in all			Low region specificity	Detected in all			Low immune cell specificity	Detected in all			Low lineage specificity	Detected in all			Low cancer specificity	Detected in all				Low region specificity	Detected in all			Low region specificity	Detected in all			"CAB025095, HPA042317"	Approved		Approved	"Nucleoplasm,Plasma membrane,Cytosol"	Secreted to blood	NA	NA		30000000	Cluster 34: Basophils - Unknown function	Cluster 86: Liver & Placenta - Transport via ER	Cluster 30: Non-specific - Antiviral immune response	Cluster 18: Non-specific - Mixed function	"Nucleoplasm, Cytosol"	Plasma membrane	"CAB025095: , HPA042317: AB_2677946"	unprognostic (2.33e-3)	unprognostic (3.45e-1)	unprognostic (1.84e-3)	unprognostic (1.34e-1)	unprognostic (1.86e-1)	unprognostic (4.38e-1)	unprognostic (1.88e-3)	unprognostic (5.37e-2)	unprognostic (1.45e-1)	unprognostic (7.94e-2)	unprognostic (4.52e-2)	unprognostic (3.23e-1)	unprognostic (7.09e-2)	unprognostic (1.36e-1)	unprognostic (3.93e-2)	unprognostic (1.19e-1)	unprognostic (5.14e-2)
ERBB2	"CD340, HER-2, HER2, NEU, NGL"	ENSG00000141736	Erb-b2 receptor tyrosine kinase 2	P04626	17	39687914-39730426	"Cancer-related genes, CD markers, Disease related genes, Enzymes, FDA approved drug targets, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins"	"Transcription, Transcription regulation"	"Activator, Kinase, Receptor, Transferase, Tyrosine-protein kinase"	"Cancer-related genes, Disease variant, FDA approved drug targets"	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Low tissue specificity	Detected in all			Cell type enhanced	Detected in many		Collecting duct cells: 122.1	Low cancer specificity	Detected in all			Low region specificity	Detected in all			Immune cell enhanced	Detected in some		gdT-cell: 5.0	Lineage enriched	Detected in many	4	T-cells: 5.0	Group enriched	Detected in all	5	breast cancer: 837.2;Esophageal cancer: 442.3;Gastric cancer: 212.0	Lung - Alveolar cells type 1	Low region specificity	Detected in many			Low region specificity	Detected in all			"CAB000043, HPA001060, HPA001338, HPA001383, CAB020416, CAB062555"	Enhanced		Supported	"Nucleoplasm,Plasma membrane,Cytosol"		NA	NA		980000	Cluster 36: GdT-cells - Adaptive immune response	Cluster 7: Kidney - Transmembrane transport	Cluster 65: Breast cancer - Unknown function	Cluster 5: Bronchus - Unknown function	Plasma membrane	"Nucleoplasm, Cytosol"	"CAB000043: AB_2335701, CAB020416: AB_442047, CAB062555: AB_2665610, HPA001060: AB_2666185, HPA001338: AB_2666279, HPA001383: AB_1078500"	unprognostic (1.97e-1)	unprognostic (6.60e-3)	unprognostic (6.21e-2)	prognostic unfavorable (8.99e-8)	unprognostic (2.96e-2)	unprognostic (1.40e-2)	unprognostic (1.97e-2)	unprognostic (9.04e-2)	unprognostic (1.79e-2)	unprognostic (1.20e-3)	prognostic unfavorable (9.17e-4)	unprognostic (3.92e-1)	prognostic favorable (2.41e-14)	unprognostic (9.29e-2)	unprognostic (1.40e-1)	unprognostic (3.75e-2)	unprognostic (1.96e-1)
ERBIN	"ERBB2IP, LAP2"	ENSG00000112851	Erbb2 interacting protein	Q96RT1	5	65926556-66082546	Predicted intracellular proteins				Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Tissue enhanced	Detected in all		brain: 119.1	Cell type enhanced	Detected in all		Astrocytes: 234.7;Oligodendrocytes: 844.2	Low cancer specificity	Detected in all			Low region specificity	Detected in all			Low immune cell specificity	Detected in all			Low lineage specificity	Detected in all			Low cancer specificity	Detected in all			"Testis - Spermatocytes, Thyroid - Thyroid glandular cells"	Low region specificity	Detected in all			Low region specificity	Detected in all			"HPA048606, HPA059863"	Approved		Supported	"Nuclear speckles,Plasma membrane"		NA	NA		39000	Cluster 38: Basophils - Unknown function	Cluster 70: Brain - Nervous system development	Cluster 3: HUVEC & TIME - Signal transduction	Cluster 8: Oligodendrocytes - Myelin sheath organization	"Nuclear speckles, Plasma membrane"		"HPA048606: AB_2680461, HPA059863: AB_2684146"	unprognostic (4.34e-1)	unprognostic (5.56e-2)	unprognostic (9.88e-2)	unprognostic (2.15e-2)	unprognostic (2.04e-1)	unprognostic (4.23e-3)	unprognostic (1.74e-1)	unprognostic (1.01e-1)	unprognostic (1.46e-2)	unprognostic (6.52e-2)	unprognostic (5.45e-3)	unprognostic (7.98e-2)	unprognostic (5.62e-3)	unprognostic (7.21e-3)	unprognostic (3.08e-1)	unprognostic (6.86e-2)	unprognostic (7.81e-2)
ERC1	"CAST2, ELKS, KIAA1081, MGC12974, RAB6IP2"	ENSG00000082805	ELKS/RAB6-interacting/CAST family member 1	Q8IUD2	12	990509-1495933	"Cancer-related genes, Disease related genes, Predicted intracellular proteins"	"Protein transport, Transport"		Cancer-related genes	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Low tissue specificity	Detected in all			Cell type enhanced	Detected in many		Excitatory neurons: 287.6;Inhibitory neurons: 475.5;Microglial cells: 208.0;Oligodendrocyte precursor cells: 220.9	Low cancer specificity	Detected in all			Low region specificity	Detected in all			Low immune cell specificity	Detected in all			Low lineage specificity	Detected in all			Low cancer specificity	Detected in all			"Prostate - Smooth muscle cells, Testis - Spermatogonia, Thyroid - Thyroid glandular cells"	Low region specificity	Detected in all			Low region specificity	Detected in all			"HPA019513, HPA019523, HPA024130"	Approved		Supported	"Vesicles,Plasma membrane,Cytosol"		NA	NA			Cluster 37: B-cells - Transcription	Cluster 21: Non-specific - Transcription	Cluster 45: Non-specific - Cell proliferation	Cluster 37: Neurons - Neuronal signaling	Cytosol	"Vesicles, Plasma membrane"	"HPA019513: AB_1856012, HPA019523: AB_1856013, HPA024130: AB_1856014"	unprognostic (2.41e-1)	unprognostic (4.00e-2)	unprognostic (2.14e-1)	unprognostic (5.70e-2)	unprognostic (2.81e-1)	unprognostic (1.32e-1)	unprognostic (5.50e-2)	unprognostic (8.49e-2)	unprognostic (2.53e-1)	unprognostic (3.26e-2)	unprognostic (1.04e-1)	unprognostic (6.79e-2)	unprognostic (3.75e-3)	unprognostic (4.19e-2)	unprognostic (3.01e-1)	unprognostic (7.37e-2)	prognostic unfavorable (7.01e-4)
ERCC4	"FANCQ, RAD1, XPF"	ENSG00000175595	"ERCC excision repair 4, endonuclease catalytic subunit"	Q92889	16	13920154-13952348	"Cancer-related genes, Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins"	"DNA damage, DNA repair"	"DNA-binding, Endonuclease, Hydrolase, Nuclease"	"Cancer-related genes, Cockayne syndrome, Disease variant, Dwarfism, Fanconi anemia, Xeroderma pigmentosum"	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Tissue enhanced	Detected in all		skeletal muscle: 18.5	Cell type enhanced	Detected in all		Early spermatids: 119.5;Late spermatids: 131.3	Low cancer specificity	Detected in all			Low region specificity	Detected in all			Low immune cell specificity	Detected in all			Low lineage specificity	Detected in all			Low cancer specificity	Detected in all			"Testis - Early spermatids, Testis - Late spermatids"	Low region specificity	Detected in all			Low region specificity	Detected in all			"CAB000156, HPA045828"	Approved		Supported	"Nucleoplasm,Nuclear bodies,Plasma membrane"		NA	NA			Cluster 6: Non-specific - Transcription	Cluster 80: Striated muscle - Unknown function	Cluster 8: Non-specific - Transcription	Cluster 36: Spermatids - Spermatogenesis	"Nucleoplasm, Nuclear bodies"	Plasma membrane	"CAB000156: , HPA045828: AB_2679463"	unprognostic (2.05e-1)	unprognostic (1.52e-1)	unprognostic (2.12e-3)	unprognostic (9.41e-2)	unprognostic (3.35e-1)	unprognostic (1.40e-2)	unprognostic (1.64e-2)	unprognostic (2.26e-1)	unprognostic (3.59e-1)	unprognostic (1.56e-1)	unprognostic (1.18e-1)	unprognostic (8.49e-2)	unprognostic (5.26e-2)	unprognostic (1.67e-1)	unprognostic (1.15e-1)	unprognostic (6.30e-2)	unprognostic (5.88e-4)
ESAM	W117m	ENSG00000149564	Endothelial cell adhesion molecule	Q96AP7	11	124752583-124762290	"Plasma proteins, Predicted membrane proteins"	Cell adhesion			Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	Low tissue specificity	Detected in all			Cell type enhanced	Detected in many		Adipocytes: 385.2;Endothelial cells: 271.5;Sertoli cells: 63.6;Smooth muscle cells: 101.8	Low cancer specificity	Detected in all			Low region specificity	Detected in all			Immune cell enhanced	Detected in many		basophil: 8.2;naive B-cell: 7.5	Group enriched	Detected in many	9	B-cells: 7.5;granulocytes: 8.2;T-cells: 2.2	Cancer enhanced	Detected in many		Leukemia: 15.7	"Adipose subcutaneous - Endothelial cells, Adipose visceral - Endothelial cells, Breast - Endothelial cells, Colon - Endothelial cells, Heart muscle - Endothelial cells, Kidney - Endothelial cells, Liver - Vascular Endothelial cells, Lung - Endothelial cells, Pancreas - Endothelial cells, Prostate - Endothelial cells, Skeletal muscle - Endothelial cells, Skin - Endothelial cells, Stomach - Endothelial cells, Testis - Endothelial cells"	Low region specificity	Detected in all			Low region specificity	Detected in all			"HPA056293, HPA072563"	Uncertain		Approved	"Cell Junctions,Cytosol"		NA	NA		82000000	Cluster 34: Basophils - Unknown function	Cluster 82: Adipose tissue - ECM organization	Cluster 32: Myeloid leukemia - Oxygen transport	Cluster 66: Endothelial cells - Angiogenesis	Cell Junctions	Cytosol	"HPA056293: AB_2683089, HPA072563: "	unprognostic (1.52e-1)	unprognostic (2.03e-1)	unprognostic (1.05e-2)	unprognostic (3.56e-1)	unprognostic (1.41e-2)	unprognostic (4.49e-3)	unprognostic (2.61e-1)	unprognostic (1.10e-1)	unprognostic (9.05e-2)	unprognostic (2.99e-2)	unprognostic (3.08e-1)	unprognostic (3.60e-1)	unprognostic (1.54e-1)	unprognostic (1.24e-2)	unprognostic (5.10e-2)	unprognostic (2.29e-1)	unprognostic (5.06e-2)
ESYT2	"CHR2SYT, FAM62B, KIAA1228"	ENSG00000117868	Extended synaptotagmin 2	A0FGR8	7	158730995-158830253	"Plasma proteins, Predicted membrane proteins, Transporters"	"Endocytosis, Lipid transport, Transport"			Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	Low tissue specificity	Detected in all			Cell type enhanced	Detected in all		Microglial cells: 180.6	Low cancer specificity	Detected in all			Low region specificity	Detected in all			Low immune cell specificity	Detected in many			Low lineage specificity	Detected in all			Low cancer specificity	Detected in all				Low region specificity	Detected in all			Low region specificity	Detected in all			"HPA002132, HPA070823"	Approved		Approved	"Plasma membrane,Cytosol"		NA	NA		24000	Cluster 48: NK-cells - Unknown function	Cluster 52: Non-specific - Ribosome	Cluster 54: Lymphoma - Cytokine signaling	Cluster 75: Myeloid cells - Innate immune response	"Plasma membrane, Cytosol"		"HPA002132: AB_1078807, HPA070823: "	unprognostic (2.30e-1)	unprognostic (1.06e-2)	unprognostic (2.72e-2)	unprognostic (2.84e-2)	unprognostic (5.72e-2)	unprognostic (5.43e-2)	unprognostic (9.01e-2)	unprognostic (9.94e-2)	unprognostic (1.72e-1)	unprognostic (8.71e-3)	prognostic unfavorable (5.73e-4)	unprognostic (2.13e-1)	unprognostic (7.54e-2)	unprognostic (6.70e-2)	unprognostic (4.58e-2)	unprognostic (3.70e-3)	prognostic unfavorable (2.81e-5)
ETNK1	"EKI, EKI1"	ENSG00000139163	Ethanolamine kinase 1	Q9HBU6	12	22625075-22690665	"Cancer-related genes, Enzymes, Human disease related genes, Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins"	"Lipid biosynthesis, Lipid metabolism, Phospholipid biosynthesis, Phospholipid metabolism"	"Kinase, Transferase"	Cancer-related genes	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Low tissue specificity	Detected in all			Cell type enhanced	Detected in all		Early spermatids: 396.5	Low cancer specificity	Detected in all			Low region specificity	Detected in all			Low immune cell specificity	Detected in all			Low lineage specificity	Detected in all			Low cancer specificity	Detected in all			Stomach - Gastric mucous cells	Low region specificity	Detected in all			Low region specificity	Detected in all			"HPA010712, HPA029407"	Approved		Approved	"Nucleoplasm,Plasma membrane,Cytosol"		NA	NA			Cluster 38: Basophils - Unknown function	Cluster 45: Intestine - Brush border	Cluster 45: Non-specific - Cell proliferation	Cluster 57: Early spermatids - Flagellum & Golgi organization	"Nucleoplasm, Plasma membrane, Cytosol"		"HPA010712: AB_2668349, HPA029407: AB_2673026"	unprognostic (2.06e-1)	unprognostic (7.48e-2)	unprognostic (1.23e-3)	unprognostic (2.19e-1)	unprognostic (8.79e-3)	unprognostic (1.31e-2)	prognostic unfavorable (5.85e-4)	unprognostic (3.98e-3)	unprognostic (8.30e-2)	unprognostic (7.97e-3)	unprognostic (2.01e-1)	unprognostic (1.64e-2)	unprognostic (4.53e-3)	unprognostic (2.77e-1)	unprognostic (2.91e-1)	unprognostic (3.01e-1)	prognostic favorable (1.75e-4)
ETS2		ENSG00000157557	"ETS proto-oncogene 2, transcription factor"	P15036	21	38805183-38824955	"Predicted intracellular proteins, RAS pathway related proteins, Transcription factors"	"Transcription, Transcription regulation"	DNA-binding	Proto-oncogene	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Low tissue specificity	Detected in all			Cell type enhanced	Detected in many		Basal squamous epithelial cells: 712.9;Glandular and luminal cells: 526.8;monocytes: 507.4	Low cancer specificity	Detected in all			Low region specificity	Detected in all			Low immune cell specificity	Detected in many			Group enriched	Detected in many	7	dendritic cells: 33.6;granulocytes: 37.0;monocytes: 32.4	Low cancer specificity	Detected in all			"Colon - Neutrophils, Heart muscle - Endothelial cells, Kidney - Endothelial cells, Testis - Endothelial cells"	Low region specificity	Detected in all			Low region specificity	Detected in all			HPA003176			Enhanced	"Nucleoplasm,Plasma membrane,Cytosol"		NA	NA			Cluster 8: Neutrophils - Inflammatory response	Cluster 41: Intestine & Liver - Lipid metabolism	Cluster 19: Stomach & Colon cancer - Absorption	Cluster 75: Myeloid cells - Innate immune response	Nucleoplasm	"Plasma membrane, Cytosol"	HPA003176: AB_2666824	unprognostic (2.06e-1)	unprognostic (5.91e-2)	unprognostic (9.16e-3)	unprognostic (5.33e-3)	unprognostic (1.38e-1)	unprognostic (1.58e-1)	unprognostic (1.88e-3)	unprognostic (7.36e-2)	unprognostic (8.99e-3)	unprognostic (3.66e-2)	unprognostic (1.02e-1)	unprognostic (1.77e-1)	unprognostic (1.95e-2)	unprognostic (2.12e-1)	unprognostic (1.89e-1)	unprognostic (8.10e-2)	unprognostic (7.10e-2)
