Gene	"Gene synonym"	Ensembl	"Gene description"	Uniprot	Chromosome	Position	"Protein class"	"Biological process"	"Molecular function"	"Disease involvement"	Evidence	"HPA evidence"	"UniProt evidence"	"NeXtProt evidence"	"RNA tissue specificity"	"RNA tissue distribution"	"RNA tissue specificity score"	"RNA tissue specific nTPM"	"RNA single cell type specificity"	"RNA single cell type distribution"	"RNA single cell type specificity score"	"RNA single cell type specific nTPM"	"RNA cancer specificity"	"RNA cancer distribution"	"RNA cancer specificity score"	"RNA cancer specific FPKM"	"RNA brain regional specificity"	"RNA brain regional distribution"	"RNA brain regional specificity score"	"RNA brain regional specific nTPM"	"RNA blood cell specificity"	"RNA blood cell distribution"	"RNA blood cell specificity score"	"RNA blood cell specific nTPM"	"RNA blood lineage specificity"	"RNA blood lineage distribution"	"RNA blood lineage specificity score"	"RNA blood lineage specific nTPM"	"RNA cell line specificity"	"RNA cell line distribution"	"RNA cell line specificity score"	"RNA cell line specific nTPM"	"RNA tissue cell type enrichment"	"RNA mouse brain regional specificity"	"RNA mouse brain regional distribution"	"RNA mouse brain regional specificity score"	"RNA mouse brain regional specific nTPM"	"RNA pig brain regional specificity"	"RNA pig brain regional distribution"	"RNA pig brain regional specificity score"	"RNA pig brain regional specific nTPM"	Antibody	"Reliability (IH)"	"Reliability (Mouse Brain)"	"Reliability (IF)"	"Subcellular location"	"Secretome location"	"CCD Protein"	"CCD Transcript"	"Blood concentration - Conc. blood IM [pg/L]"	"Blood concentration - Conc. blood MS [pg/L]"	"Blood expression cluster"	"Tissue expression cluster"	"Cell line expression cluster"	"Single cell expression cluster"	"Subcellular main location"	"Subcellular additional location"	"Antibody RRID"	"Pathology prognostics - Breast cancer"	"Pathology prognostics - Cervical cancer"	"Pathology prognostics - Colorectal cancer"	"Pathology prognostics - Endometrial cancer"	"Pathology prognostics - Glioma"	"Pathology prognostics - Head and neck cancer"	"Pathology prognostics - Liver cancer"	"Pathology prognostics - Lung cancer"	"Pathology prognostics - Melanoma"	"Pathology prognostics - Ovarian cancer"	"Pathology prognostics - Pancreatic cancer"	"Pathology prognostics - Prostate cancer"	"Pathology prognostics - Renal cancer"	"Pathology prognostics - Stomach cancer"	"Pathology prognostics - Testis cancer"	"Pathology prognostics - Thyroid cancer"	"Pathology prognostics - Urothelial cancer"
DNAJC6	"KIAA0473, PARK19"	ENSG00000116675	"DnaJ heat shock protein family (Hsp40) member C6"	O75061	1	65248219-65415871	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"		"Chaperone, Hydrolase, Protein phosphatase"	"Disease variant, Neurodegeneration, Parkinson disease, Parkinsonism"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in many"	5	"brain: 81.5;retina: 52.8"	"Cell type enriched"	"Detected in many"	4	"Oligodendrocytes: 979.9"	"Cancer enriched"	"Detected in many"	4	"glioma: 5.9"	"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in many"		"testis cancer: 37.4"		"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA031182, HPA054917"	Enhanced		Approved	"Nucleoplasm,Plasma membrane,Cytosol"		NA	NA				"Cluster 77: Retina - Visual perception"	"Cluster 32: Myeloid leukemia - Oxygen transport"	"Cluster 8: Oligodendrocytes - Myelin sheath organization"	Cytosol	"Nucleoplasm, Plasma membrane"	"HPA031182: AB_10611957, HPA054917: AB_2682641"	"unprognostic (6.99e-2)"	"unprognostic (2.00e-3)"	"unprognostic (3.19e-1)"	"unprognostic (7.94e-7)"	"unprognostic (1.59e-1)"	"unprognostic (7.61e-3)"	"unprognostic (1.87e-4)"	"unprognostic (2.98e-1)"	"unprognostic (1.89e-1)"	"unprognostic (4.14e-1)"	"unprognostic (4.22e-3)"	"unprognostic (1.53e-1)"	"prognostic favorable (2.81e-4)"	"unprognostic (1.43e-2)"	"unprognostic (1.12e-1)"	"unprognostic (1.36e-1)"	"unprognostic (8.67e-3)"
DOC2A		ENSG00000149927	"Double C2 domain alpha"	Q14183	16	30005514-30023270	"Predicted intracellular proteins"	Exocytosis			"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"brain: 72.2;choroid plexus: 26.5;testis: 37.8"	"Group enriched"	"Detected in many"	5	"Early spermatids: 277.9;Late spermatids: 210.7"	"Cancer enhanced"	"Detected in many"		"renal cancer: 5.0"	"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Low cancer specificity"	"Detected in many"			"Lung - Respiratory ciliated cells, Testis - Early spermatids, Testis - Late spermatids"	"Low region specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			HPA065676			Uncertain	"Nucleoplasm,Nucleoli,Cell Junctions"		NA	NA				"Cluster 65: Brain - Ion transport"	"Cluster 7: Neuronal cell lines - Stereocilium"	"Cluster 56: Ciliated cells - Cilium assembly"	"Cell Junctions"	"Nucleoplasm, Nucleoli"	"HPA065676: AB_2685528"	"unprognostic (1.46e-3)"	"unprognostic (3.39e-1)"	"unprognostic (2.30e-2)"	"unprognostic (1.31e-1)"	"unprognostic (4.26e-2)"	"unprognostic (1.40e-1)"	"unprognostic (3.66e-2)"	"unprognostic (9.14e-2)"	"unprognostic (3.90e-2)"	"unprognostic (2.89e-2)"	"unprognostic (1.28e-3)"	"unprognostic (5.13e-2)"	"unprognostic (8.29e-3)"	"unprognostic (1.71e-1)"	"unprognostic (2.74e-1)"	"unprognostic (2.68e-1)"	"unprognostic (2.61e-1)"
DOCK4	"FLJ34238, KIAA0716"	ENSG00000128512	"Dedicator of cytokinesis 4"	Q8N1I0	7	111726110-112206407	"Plasma proteins, Predicted intracellular proteins"		"Guanine-nucleotide releasing factor"	Proto-oncogene	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"brain: 41.6"	"Group enriched"	"Detected in many"	4	"Astrocytes: 766.4;Excitatory neurons: 415.9;Microglial cells: 1526.9;Oligodendrocyte precursor cells: 415.9;Oligodendrocytes: 769.6"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Immune cell enriched"	"Detected in single"	4	"neutrophil: 2.7"	"Lineage enriched"	"Detected in single"	4	"granulocytes: 2.7"	"Low cancer specificity"	"Detected in many"			"Adipose subcutaneous - Endothelial cells, Heart muscle - Endothelial cells, Kidney - Endothelial cells, Thyroid - Endothelial cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA071516			Approved	"Nucleoli,Golgi apparatus,Plasma membrane,Cytosol"		NA	NA			"Cluster 1: Neutrophils - Mixed function"	"Cluster 65: Brain - Ion transport"	"Cluster 3: HUVEC & TIME - Signal transduction"	"Cluster 10: Neurons & Oligodendrocytes - Nervous system development"	"Nucleoli, Plasma membrane"	"Golgi apparatus, Cytosol"	"HPA071516: AB_2686407"	"unprognostic (1.37e-1)"	"unprognostic (4.18e-1)"	"unprognostic (1.53e-1)"	"unprognostic (2.48e-2)"	"unprognostic (7.10e-2)"	"unprognostic (2.03e-2)"	"unprognostic (9.10e-2)"	"unprognostic (2.18e-2)"	"unprognostic (3.03e-2)"	"unprognostic (5.78e-2)"	"unprognostic (7.06e-2)"	"unprognostic (3.66e-1)"	"unprognostic (5.71e-2)"	"unprognostic (1.89e-2)"	"unprognostic (9.48e-2)"	"unprognostic (4.39e-2)"	"unprognostic (2.39e-2)"
DOK3	FLJ22570	ENSG00000146094	"Docking protein 3"	Q7L591	5	177501904-177511274	"Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"bone marrow: 93.6;lymphoid tissue: 118.4"	"Group enriched"	"Detected in many"	6	"B-cells: 31.5;granulocytes: 20.6;Hofbauer cells: 58.7;Kupffer cells: 55.3;Macrophages: 38.7;monocytes: 44.6;Plasma cells: 42.6"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Immune cell enhanced"	"Detected in many"		"neutrophil: 133.6"	"Group enriched"	"Detected in many"	6	"B-cells: 37.2;granulocytes: 133.6;monocytes: 77.6"	"Cancer enhanced"	"Detected in all"		"Leukemia: 72.7;lymphoma: 107.9"	"Adipose subcutaneous - Macrophages, Breast - Macrophages, Kidney - Macrophages, Lung - Neutrophil_2, Stomach - Macrophages, Thyroid - Macrophages"	"Low region specificity"	"Detected in many"							HPA077312	Enhanced		Supported	"Nucleoplasm,Plasma membrane,Cytokinetic bridge,Cytosol"		Yes	NA		240000	"Cluster 8: Neutrophils - Inflammatory response"	"Cluster 2: Immune cells - Immune response"	"Cluster 23: B-cell cancers - Adaptive immune response"	"Cluster 33: Macrophages - Degranulation"	"Plasma membrane"	"Nucleoplasm, Cytokinetic bridge, Cytosol"	"HPA077312: AB_2732339"	"unprognostic (2.21e-2)"	"unprognostic (1.14e-2)"	"unprognostic (2.05e-2)"	"unprognostic (5.74e-3)"	"unprognostic (2.32e-2)"	"unprognostic (1.34e-3)"	"unprognostic (4.17e-2)"	"unprognostic (2.20e-1)"	"unprognostic (8.00e-2)"	"unprognostic (1.32e-1)"	"unprognostic (1.21e-2)"	"unprognostic (1.60e-1)"	"prognostic unfavorable (3.82e-11)"	"unprognostic (1.34e-1)"	"unprognostic (7.25e-2)"	"unprognostic (1.55e-1)"	"unprognostic (3.78e-2)"
DPEP1		ENSG00000015413	"Dipeptidase 1"	P16444	16	89613308-89638456	"Enzymes, FDA approved drug targets, Metabolic proteins, Predicted intracellular proteins"	"Lipid metabolism"	"Dipeptidase, Hydrolase, Metalloprotease, Protease"	"FDA approved drug targets"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in many"	8	"intestine: 377.4;kidney: 255.9;pancreas: 440.7"	"Group enriched"	"Detected in many"	6	"Peritubular cells: 1223.5;Proximal enterocytes: 4664.5"	"Cancer enriched"	"Detected in many"	8	"colorectal cancer: 107.4"	"Low region specificity"	"Detected in single"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enriched"	"Detected in many"	6	"colorectal cancer: 138.0"	"Kidney - Proximal tubular cells, Kidney - Proximal tubular cells, Stomach - Gastric enteroendocrine cells"	"Not detected"	"Not detected"			"Not detected"	"Not detected"			"HPA009426, HPA012783"	Enhanced		Approved	"Nucleoplasm,Cell Junctions"	"Intracellular and membrane"	NA	NA		370000		"Cluster 29: Non-specific - Vesicular transport"	"Cluster 19: Stomach & Colon cancer - Absorption"	"Cluster 59: Proximal enterocytes - Transmembrane transport"	"Nucleoplasm, Cell Junctions"		"HPA009426: AB_1847842, HPA012783: AB_1847843"	"unprognostic (3.31e-2)"	"unprognostic (3.86e-1)"	"unprognostic (1.37e-1)"	"unprognostic (1.95e-2)"	"unprognostic (1.91e-2)"	"unprognostic (4.93e-2)"	"unprognostic (1.04e-1)"	"unprognostic (1.89e-1)"	"unprognostic (3.45e-2)"	"unprognostic (5.18e-1)"	"unprognostic (8.68e-2)"	"unprognostic (1.27e-1)"	"prognostic favorable (6.84e-4)"	"unprognostic (6.12e-3)"	"unprognostic (1.92e-1)"	"unprognostic (5.23e-2)"	"unprognostic (3.93e-2)"
DPYSL2	"CRMP2, DHPRP2, DRP-2, DRP2"	ENSG00000092964	"Dihydropyrimidinase like 2"	Q16555	8	26514031-26658178	"Metabolic proteins, Plasma proteins, Predicted intracellular proteins"	"Differentiation, Neurogenesis"	"Developmental protein"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in many"	7	"brain: 549.9"	"Cell type enhanced"	"Detected in many"		"Adipocytes: 383.0;Oligodendrocytes: 346.6"	"Cancer enhanced"	"Detected in all"		"glioma: 89.3"	"Low region specificity"	"Detected in all"			"Group enriched"	"Detected in many"	5	"classical monocyte: 65.8;intermediate monocyte: 74.5;myeloid DC: 71.2;non-classical monocyte: 48.8;plasmacytoid DC: 42.2"	"Group enriched"	"Detected in all"	5	"dendritic cells: 71.2;monocytes: 74.5"	"Low cancer specificity"	"Detected in all"			"Adipose visceral - Adipose progenitor cells, Prostate - Fibroblasts"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA002381, CAB018719"	Supported		Supported	"Plasma membrane,Cytosol"		NA	NA		3200000	"Cluster 25: Monocytes - Inflammatory response"	"Cluster 70: Brain - Nervous system development"	"Cluster 59: Fibroblasts - Metabolism"	"Cluster 66: Endothelial cells - Angiogenesis"	Cytosol	"Plasma membrane"	"CAB018719: AB_2085366, HPA002381: AB_1847244"	"unprognostic (2.88e-2)"	"unprognostic (1.01e-2)"	"unprognostic (9.51e-2)"	"unprognostic (3.16e-3)"	"unprognostic (8.23e-2)"	"unprognostic (1.68e-2)"	"unprognostic (1.51e-1)"	"unprognostic (9.95e-3)"	"unprognostic (5.48e-2)"	"unprognostic (1.39e-1)"	"unprognostic (1.79e-2)"	"unprognostic (4.13e-2)"	"unprognostic (5.58e-2)"	"unprognostic (9.32e-3)"	"unprognostic (1.23e-1)"	"unprognostic (3.27e-2)"	"prognostic unfavorable (5.41e-5)"
DRD4		ENSG00000069696	"Dopamine receptor D4"	P21917	11	637269-640706	"FDA approved drug targets, G-protein coupled receptors, Human disease related genes, Predicted membrane proteins"	"Biological rhythms"	"G-protein coupled receptor, Receptor, Transducer"	"FDA approved drug targets"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in many"			"Cell type enhanced"	"Detected in some"		"Bipolar cells: 152.5;Cone photoreceptor cells: 174.1;dendritic cells: 41.8;Rod photoreceptor cells: 172.1"	"Cancer enhanced"	"Detected in many"		"ovarian cancer: 3.9"	"Low region specificity"	"Detected in single"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"				"Not detected"	"Not detected"			"Not detected"	"Not detected"			HPA062682			Uncertain	"Plasma membrane,Centrosome"		NA	NA			"Cluster 3: Plasmacytoid DCs - Unknown function"	"Cluster 71: Testis - DNA repair"	"Cluster 21: Neuroblastoma - Neuronal signaling"	"Cluster 35: Bipolar cells - Visual perception"	"Plasma membrane"	Centrosome	"HPA062682: "	"unprognostic (8.83e-2)"	"unprognostic (2.99e-2)"	"unprognostic (4.98e-4)"	"unprognostic (3.81e-2)"	"unprognostic (7.52e-2)"	"unprognostic (7.89e-3)"	"unprognostic (3.14e-2)"	"unprognostic (2.96e-1)"	"unprognostic (8.45e-2)"	"unprognostic (5.07e-2)"	"unprognostic (3.28e-1)"	"unprognostic (8.59e-2)"	"unprognostic (1.05e-4)"	"unprognostic (1.26e-2)"	"unprognostic (8.21e-2)"	"unprognostic (2.36e-2)"	"unprognostic (1.85e-1)"
DSC2	"CDHF2, DSC3"	ENSG00000134755	"Desmocollin 2"	Q02487	18	31058840-31102522	"Disease related genes, Human disease related genes, Plasma proteins, Predicted membrane proteins"	"Cell adhesion"		"Cardiomyopathy, Disease variant"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"esophagus: 164.0;vagina: 97.4"	"Cell type enhanced"	"Detected in many"		"Basal keratinocytes: 472.3;Squamous epithelial cells: 829.7;Suprabasal keratinocytes: 1514.9"	"Cancer enhanced"	"Detected in many"		"head and neck cancer: 48.7"	"Low region specificity"	"Detected in all"			"Group enriched"	"Detected in some"	9	"eosinophil: 28.9;neutrophil: 8.1"	"Lineage enriched"	"Detected in many"	14	"granulocytes: 28.9"	"Cancer enhanced"	"Detected in many"		"testis cancer: 43.4"	"Prostate - Prostate glandular cells, Skin - Outer root sheath cells, Stomach - Gastric mucous cells"	"Not detected"	"Not detected"			"Low region specificity"	"Detected in all"			"HPA011911, HPA012615"	Enhanced		Supported	"Endoplasmic reticulum,Plasma membrane"		NA	NA		24000000	"Cluster 45: Eosinophils - Innate immune response"	"Cluster 84: Esophagus - Epithelial cell function"	"Cluster 60: Keratinocytes - Epithelial cell function"	"Cluster 3: Suprabasal keratinocytes - Cornification"	"Plasma membrane"	"Endoplasmic reticulum"	"HPA011911: AB_1847618, HPA012615: AB_1847619"	"unprognostic (3.28e-2)"	"unprognostic (3.20e-1)"	"unprognostic (2.23e-3)"	"unprognostic (2.56e-2)"	"unprognostic (1.90e-1)"	"unprognostic (3.04e-2)"	"unprognostic (1.30e-2)"	"prognostic unfavorable (5.80e-4)"	"unprognostic (7.66e-2)"	"unprognostic (4.07e-2)"	"unprognostic (1.22e-3)"	"unprognostic (2.10e-1)"	"unprognostic (1.43e-3)"	"unprognostic (1.60e-1)"	"unprognostic (1.75e-1)"	"unprognostic (2.49e-1)"	"prognostic unfavorable (3.01e-4)"
DSC3	"CDHF3, DSC, DSC1, DSC2, DSC4"	ENSG00000134762	"Desmocollin 3"	Q14574	18	30989365-31042815	"Disease related genes, Human disease related genes, Plasma proteins, Predicted membrane proteins"	"Cell adhesion"		Hypotrichosis	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in many"	5	"esophagus: 99.2;skin 1: 372.6"	"Group enriched"	"Detected in many"	5	"Basal keratinocytes: 528.1;Basal squamous epithelial cells: 320.1;Squamous epithelial cells: 413.8;Suprabasal keratinocytes: 609.7"	"Cancer enhanced"	"Detected in many"		"cervical cancer: 78.6;head and neck cancer: 107.7"	"Not detected"	"Not detected"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Group enriched"	"Detected in many"	6	"Bladder cancer: 20.3;cervical cancer: 32.0;Esophageal cancer: 41.6;Gallbladder cancer: 15.2;head and neck cancer: 59.1"	"Adipose visceral - Mesothelial cells, Skin - Keratinocyte (other)"	"Region enhanced"	"Detected in some"		"hippocampal formation: 3.3"					"CAB037328, HPA049265, HPA073937"	Enhanced		Enhanced	"Plasma membrane,Cell Junctions"		NA	NA		6000000		"Cluster 31: Skin - Epidermis development"	"Cluster 60: Keratinocytes - Epithelial cell function"	"Cluster 22: Squamous epithelial cells - Keratinization"	"Plasma membrane, Cell Junctions"		"CAB037328: , HPA049265: AB_2680695, HPA073937: AB_2686645"	"unprognostic (4.44e-3)"	"unprognostic (6.28e-2)"	"unprognostic (1.46e-1)"	"unprognostic (3.02e-3)"	"unprognostic (2.38e-1)"	"unprognostic (1.32e-2)"	"unprognostic (6.38e-2)"	"unprognostic (1.84e-2)"	"unprognostic (2.41e-1)"	"unprognostic (3.48e-2)"	"unprognostic (3.92e-3)"	"unprognostic (3.13e-1)"	"unprognostic (4.13e-4)"	"unprognostic (1.22e-2)"	"unprognostic (7.85e-2)"	"unprognostic (3.47e-1)"	"prognostic unfavorable (1.04e-5)"
DSEL	"C18orf4, DE-epi2, FLJ11477, NCAG1"	ENSG00000171451	"Dermatan sulfate epimerase like"	Q8IZU8	18	67506587-67516720	"Predicted membrane proteins"		Isomerase		"Evidence at protein level"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"brain: 11.7"	"Cell type enhanced"	"Detected in many"		"Endometrial stromal cells: 83.2;Extravillous trophoblasts: 87.3;Oligodendrocyte precursor cells: 107.8;Oligodendrocytes: 98.3;Theca cells: 74.3"	"Cancer enhanced"	"Detected in many"		"glioma: 6.1"	"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Low cancer specificity"	"Detected in many"			"Heart muscle - Fibroblasts, Prostate - Fibroblasts"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA060942			Approved	"Nucleoplasm,Plasma membrane"		NA	NA				"Cluster 70: Brain - Nervous system development"	"Cluster 20: Connective tissue cells - ECM organization"	"Cluster 52: Endometrial stromal cells - ECM organization"	"Plasma membrane"	Nucleoplasm	"HPA060942: AB_2684392"	"unprognostic (2.49e-1)"	"unprognostic (5.00e-1)"	"unprognostic (1.67e-1)"	"unprognostic (1.19e-5)"	"unprognostic (1.56e-1)"	"unprognostic (2.71e-1)"	"unprognostic (2.40e-3)"	"unprognostic (7.11e-2)"	"unprognostic (4.91e-1)"	"unprognostic (2.83e-1)"	"unprognostic (2.19e-2)"	"unprognostic (2.47e-1)"	"unprognostic (7.95e-3)"	"unprognostic (3.25e-2)"	"unprognostic (1.24e-1)"	"unprognostic (9.70e-3)"	"unprognostic (1.16e-4)"
DSG2	CDHF5	ENSG00000046604	"Desmoglein 2"	Q14126	18	31498177-31549008	"Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins"	"Cell adhesion"		"Cardiomyopathy, Disease variant"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"intestine: 105.3;parathyroid gland: 157.8"	"Cell type enhanced"	"Detected in many"		"Distal enterocytes: 254.7"	"Low cancer specificity"	"Detected in all"			"Not detected"	"Not detected"			"Immune cell enriched"	"Detected in single"	13	"basophil: 8.4"	"Lineage enriched"	"Detected in single"	13	"granulocytes: 8.4"	"Low cancer specificity"	"Detected in all"			"Lung - Alveolar cells type 2, Skeletal muscle - Endothelial cells, Testis - Spermatocytes, Testis - Spermatogonia, Thyroid - Thyroid glandular cells"	"Low region specificity"	"Detected in many"			"Low region specificity"	"Detected in many"			"HPA004896, CAB025122"	Enhanced		Supported	"Cell Junctions"		NA	NA		140000000	"Cluster 41: Basophils - Cellular respiration"	"Cluster 87: Intestine & Kidney - Transmembrane transport"	"Cluster 60: Keratinocytes - Epithelial cell function"	"Cluster 74: Pancreatic cells - Mixed function"	"Cell Junctions"		"CAB025122: , HPA004896: AB_1078643"	"unprognostic (1.56e-3)"	"prognostic unfavorable (8.22e-4)"	"prognostic favorable (7.81e-4)"	"unprognostic (8.77e-3)"	"unprognostic (3.53e-4)"	"prognostic unfavorable (5.63e-4)"	"unprognostic (2.86e-3)"	"prognostic unfavorable (2.43e-4)"	"unprognostic (5.21e-2)"	"unprognostic (1.49e-1)"	"prognostic unfavorable (4.94e-5)"	"unprognostic (3.40e-1)"	"prognostic favorable (3.14e-10)"	"unprognostic (1.76e-1)"	"unprognostic (1.51e-1)"	"unprognostic (3.72e-1)"	"unprognostic (8.57e-3)"
DSP	"DPI, DPII, KPPS2, PPKS2"	ENSG00000096696	Desmoplakin	P15924	6	7541617-7586714	"Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins"			"Cardiomyopathy, Disease variant, Epidermolysis bullosa, Palmoplantar keratoderma"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"esophagus: 460.7;skin 1: 854.8"	"Cell type enhanced"	"Detected in many"		"Basal keratinocytes: 2048.3;Cardiomyocytes: 1098.0;Squamous epithelial cells: 1850.5;Suprabasal keratinocytes: 4808.6"	"Cancer enhanced"	"Detected in many"		"head and neck cancer: 314.1"	"Low region specificity"	"Detected in many"			"Immune cell enriched"	"Detected in single"	13	"naive B-cell: 2.0"	"Lineage enriched"	"Detected in single"	20	"B-cells: 2.0"	"Low cancer specificity"	"Detected in many"			"Adipose visceral - Mesothelial cells, Prostate - Prostate basal glandular cells, Skin - Keratinocyte (other), Testis - Spermatocytes, Thyroid - Thyroid glandular cells"	"Region enriched"	"Detected in single"	23	"hippocampal formation: 11.6"	"Region enhanced"	"Detected in many"		"spinal cord: 9.5"	"CAB037324, HPA045840, HPA054950"	Enhanced		Supported	"Cell Junctions"		NA	NA		100000000	"Cluster 21: B-cells - Adaptive immune response"	"Cluster 31: Skin - Epidermis development"	"Cluster 60: Keratinocytes - Epithelial cell function"	"Cluster 22: Squamous epithelial cells - Keratinization"	"Cell Junctions"		"CAB037324: , HPA045840: AB_2679468, HPA054950: AB_2682645"	"unprognostic (1.65e-1)"	"unprognostic (3.09e-1)"	"unprognostic (6.13e-2)"	"unprognostic (1.05e-2)"	"unprognostic (1.09e-1)"	"unprognostic (2.05e-2)"	"unprognostic (3.82e-2)"	"unprognostic (7.03e-3)"	"unprognostic (1.28e-1)"	"unprognostic (2.64e-2)"	"unprognostic (5.02e-2)"	"unprognostic (2.94e-2)"	"prognostic favorable (1.53e-9)"	"unprognostic (2.45e-1)"	"unprognostic (2.88e-1)"	"unprognostic (8.38e-2)"	"prognostic unfavorable (1.82e-4)"
DTNA	"D18S892E, DRP3, DTN, DTN-1, DTN-2, DTN-3"	ENSG00000134769	"Dystrobrevin alpha"	Q9Y4J8	18	34493290-34891844	"Disease related genes, Human disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters"			"Cardiomyopathy, Disease variant"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in many"	7	"brain: 461.9;choroid plexus: 120.6;heart muscle: 150.0;skeletal muscle: 166.9;tongue: 209.9"	"Cell type enhanced"	"Detected in many"		"Astrocytes: 1701.5;Excitatory neurons: 498.6;Inhibitory neurons: 637.7;Oligodendrocyte precursor cells: 470.8;Oligodendrocytes: 346.8"	"Cancer enriched"	"Detected in many"	9	"glioma: 28.2"	"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in many"			"Low lineage specificity"	"Detected in many"			"Low cancer specificity"	"Detected in many"			"Adipose subcutaneous - Smooth muscle cells, Colon - Smooth muscle cells, Prostate - Smooth muscle cells, Skeletal muscle - Skeletal myocytes, Testis - Sertoli cells, Thyroid - Thyroid glandular cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"CAB015196, HPA071177"	Enhanced		Approved	"Nucleoplasm,Cell Junctions,Intermediate filaments"		NA	NA			"Cluster 35: T-regs - Unknown function"	"Cluster 70: Brain - Nervous system development"	"Cluster 29: TT & NCI-H1385 - Synaptic signal transduction"	"Cluster 63: Astrocytes - Nervous system maintenance"	"Cell Junctions, Intermediate filaments"	Nucleoplasm	"CAB015196: AB_2261797, HPA071177: "	"unprognostic (1.57e-1)"	"unprognostic (4.57e-2)"	"unprognostic (3.13e-3)"	"unprognostic (7.82e-6)"	"unprognostic (5.03e-1)"	"unprognostic (2.43e-3)"	"unprognostic (2.73e-1)"	"unprognostic (7.42e-2)"	"unprognostic (1.23e-1)"	"unprognostic (6.27e-2)"	"unprognostic (1.35e-4)"	"unprognostic (6.89e-2)"	"prognostic favorable (2.64e-7)"	"unprognostic (6.08e-3)"	"unprognostic (3.93e-2)"	"unprognostic (1.12e-1)"	"unprognostic (7.27e-5)"
