Gene	"Gene synonym"	Ensembl	"Gene description"	Uniprot	Chromosome	Position	"Protein class"	"Biological process"	"Molecular function"	"Disease involvement"	Evidence	"HPA evidence"	"UniProt evidence"	"NeXtProt evidence"	"RNA tissue specificity"	"RNA tissue distribution"	"RNA tissue specificity score"	"RNA tissue specific nTPM"	"RNA single cell type specificity"	"RNA single cell type distribution"	"RNA single cell type specificity score"	"RNA single cell type specific nTPM"	"RNA cancer specificity"	"RNA cancer distribution"	"RNA cancer specificity score"	"RNA cancer specific FPKM"	"RNA brain regional specificity"	"RNA brain regional distribution"	"RNA brain regional specificity score"	"RNA brain regional specific nTPM"	"RNA blood cell specificity"	"RNA blood cell distribution"	"RNA blood cell specificity score"	"RNA blood cell specific nTPM"	"RNA blood lineage specificity"	"RNA blood lineage distribution"	"RNA blood lineage specificity score"	"RNA blood lineage specific nTPM"	"RNA cell line specificity"	"RNA cell line distribution"	"RNA cell line specificity score"	"RNA cell line specific nTPM"	"RNA tissue cell type enrichment"	"RNA mouse brain regional specificity"	"RNA mouse brain regional distribution"	"RNA mouse brain regional specificity score"	"RNA mouse brain regional specific nTPM"	"RNA pig brain regional specificity"	"RNA pig brain regional distribution"	"RNA pig brain regional specificity score"	"RNA pig brain regional specific nTPM"	Antibody	"Reliability (IH)"	"Reliability (Mouse Brain)"	"Reliability (IF)"	"Subcellular location"	"Secretome location"	"CCD Protein"	"CCD Transcript"	"Blood concentration - Conc. blood IM [pg/L]"	"Blood concentration - Conc. blood MS [pg/L]"	"Blood expression cluster"	"Tissue expression cluster"	"Cell line expression cluster"	"Single cell expression cluster"	"Subcellular main location"	"Subcellular additional location"	"Antibody RRID"	"Pathology prognostics - Breast cancer"	"Pathology prognostics - Cervical cancer"	"Pathology prognostics - Colorectal cancer"	"Pathology prognostics - Endometrial cancer"	"Pathology prognostics - Glioma"	"Pathology prognostics - Head and neck cancer"	"Pathology prognostics - Liver cancer"	"Pathology prognostics - Lung cancer"	"Pathology prognostics - Melanoma"	"Pathology prognostics - Ovarian cancer"	"Pathology prognostics - Pancreatic cancer"	"Pathology prognostics - Prostate cancer"	"Pathology prognostics - Renal cancer"	"Pathology prognostics - Stomach cancer"	"Pathology prognostics - Testis cancer"	"Pathology prognostics - Thyroid cancer"	"Pathology prognostics - Urothelial cancer"
FAM205A	C9orf144B	ENSG00000205108	"Family with sequence similarity 205 member A"	Q6ZU69	9	34723053-34729488	"Predicted membrane proteins"				"Evidence at protein level"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Tissue enriched"	"Detected in single"	96	"testis: 24.8"	"Cell type enriched"	"Detected in some"	5	"Early spermatids: 151.8"	"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Testis - Early spermatids, Testis - Late spermatids"					"Low region specificity"	"Detected in all"			HPA071267	Enhanced		Uncertain	"Nucleoli fibrillar center,Plasma membrane"		NA	NA				"Cluster 74: Testis - Spermatogenesis"		"Cluster 57: Early spermatids - Flagellum & Golgi organization"	"Plasma membrane"	"Nucleoli fibrillar center"	"HPA071267: AB_2686376"	"unprognostic (2.25e-1)"					"unprognostic (3.66e-3)"		"unprognostic (6.29e-3)"	"unprognostic (1.90e-1)"	"unprognostic (2.73e-3)"	"unprognostic (7.82e-2)"	"unprognostic (9.61e-2)"	"unprognostic (6.41e-2)"	"unprognostic (4.78e-1)"		"unprognostic (7.34e-2)"	
GAGE1	CT4.1	ENSG00000205777	"G antigen 1"	P0DTW1	X	49599025-49608536	"Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in single"	49	"testis: 9.1"	"Cell type enriched"	"Detected in some"	4	"Spermatogonia: 101.3"	"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in many"		"Gallbladder cancer: 72.5;skin cancer: 39.0"	"Testis - Spermatogonia"									HPA043232	Supported		Approved	"Golgi apparatus,Plasma membrane,Cytosol"		NA	NA				"Cluster 36: Testis - Spermatogenesis"	"Cluster 44: Myeloma - Humoral immune response"	"Cluster 47: Spermatogonia - Spermatogenesis"	"Plasma membrane"	"Golgi apparatus, Cytosol"	"HPA043232: AB_2678376"																	
GAGE12C		ENSG00000237671	"G antigen 12C"	A1L429	X	49532211-49539538	"Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in single"	271	"testis: 27.0"	"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Group enriched"	"Detected in some"	5	"liver cancer: 32.5;Myeloma: 99.7"										HPA043232	Supported		Approved	"Golgi apparatus,Plasma membrane,Cytosol"		NA	NA				"Cluster 36: Testis - Spermatogenesis"	"Cluster 44: Myeloma - Humoral immune response"		"Plasma membrane"	"Golgi apparatus, Cytosol"	"HPA043232: AB_2678376"																	
GAGE12D		ENSG00000227488	"G antigen 12D"	A1L429	X	49541767-49549094	"Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in single"	271	"testis: 27.0"	"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Group enriched"	"Detected in some"	5	"liver cancer: 32.5;Myeloma: 99.7"										HPA043232	Supported		Approved	"Golgi apparatus,Plasma membrane,Cytosol"		NA	NA				"Cluster 36: Testis - Spermatogenesis"	"Cluster 44: Myeloma - Humoral immune response"	"Cluster 47: Spermatogonia - Spermatogenesis"	"Plasma membrane"	"Golgi apparatus, Cytosol"	"HPA043232: AB_2678376"																	
GAGE12E		ENSG00000216649	"G antigen 12E"	A1L429	X	49551333-49558649	"Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in single"	6	"testis: 1.8"	"Group enriched"	"Detected in some"	8	"Spermatocytes: 2.6;Spermatogonia: 9.3"	"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in single"		"skin cancer: 2.0"										HPA043232	Supported		Uncertain	"Golgi apparatus,Plasma membrane,Cytosol"		NA	NA				"Cluster 78: Testis - Spermatogenesis"	"Cluster 16: Skin cancer - Melanocyte processes"	"Cluster 47: Spermatogonia - Spermatogenesis"	"Plasma membrane"	"Golgi apparatus, Cytosol"	"HPA043232: AB_2678376"																	
GAGE12H		ENSG00000224902	"G antigen 12H"	A6NDE8	X	49579983-49587301	"Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at protein level"	"No human protein/transcript evidence"	"Evidence at protein level"	"Tissue enriched"	"Detected in single"	230	"testis: 22.9"	"Group enriched"	"Detected in some"	24	"Spermatocytes: 1.2;Spermatogonia: 3.7"	"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Group enriched"	"Detected in some"	10	"liver cancer: 29.1;Myeloma: 97.4"										HPA043232	Supported		Approved	"Golgi apparatus,Plasma membrane,Cytosol"		NA	NA				"Cluster 36: Testis - Spermatogenesis"	"Cluster 44: Myeloma - Humoral immune response"	"Cluster 47: Spermatogonia - Spermatogenesis"	"Plasma membrane"	"Golgi apparatus, Cytosol"	"HPA043232: AB_2678376"																	
GAGE12J	GAGE11	ENSG00000224659	"G antigen 12J"	A6NER3	X	49322057-49329384	"Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at protein level"	"No human protein/transcript evidence"	"Evidence at protein level"	"Tissue enriched"	"Detected in single"	45	"testis: 35.6"	"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Group enriched"	"Detected in many"	5	"Gallbladder cancer: 26.9;Gastric cancer: 31.5;liver cancer: 94.0;lung cancer: 23.5;Myeloma: 92.2;Sarcoma: 38.7;skin cancer: 33.6;Uterine cancer: 31.8"										HPA043232	Supported		Approved	"Golgi apparatus,Plasma membrane,Cytosol"		NA	NA			"Cluster 49: Eosinophils - Unknown function"	"Cluster 74: Testis - Spermatogenesis"	"Cluster 44: Myeloma - Humoral immune response"		"Plasma membrane"	"Golgi apparatus, Cytosol"	"HPA043232: AB_2678376"																	
GAGE2A	"CT4.2, GAGE2"	ENSG00000189064	"G antigen 2A"	Q6NT46	X	49589529-49596827	"Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in single"	108	"testis: 92.5"	"Group enriched"	"Detected in some"	52	"Spermatocytes: 97.1;Spermatogonia: 264.0"	"Low cancer specificity"	"Detected in many"			"Not detected"	"Not detected"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in many"		"Gallbladder cancer: 700.5"										HPA043232	Supported		Approved	"Golgi apparatus,Plasma membrane,Cytosol"		NA	NA				"Cluster 74: Testis - Spermatogenesis"	"Cluster 44: Myeloma - Humoral immune response"	"Cluster 47: Spermatogonia - Spermatogenesis"	"Plasma membrane"	"Golgi apparatus, Cytosol"	"HPA043232: AB_2678376"															"unprognostic (1.29e-1)"		
GRID2IP		ENSG00000215045	"Grid2 interacting protein"	A4D2P6	7	6497462-6551436	"Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at transcript level"	"No human protein/transcript evidence"	"Evidence at protein level"	"Tissue enriched"	"Detected in single"	34	"brain: 31.9"	"Cell type enhanced"	"Detected in some"		"Cholangiocytes: 1.9;Collecting duct cells: 2.0;Excitatory neurons: 2.7;Inhibitory neurons: 2.8;Oligodendrocyte precursor cells: 4.3;Rod photoreceptor cells: 1.9"	"Low cancer specificity"	"Detected in some"			"Region enhanced"	"Detected in many"		"thalamus: 31.9"	"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in single"		"Leukemia: 2.6"	"Skin - Keratinocyte (other)"	"Group enriched"	"Detected in many"	5	"cerebellum: 22.4;thalamus: 7.2"	"Low region specificity"	"Detected in all"			HPA045381			Approved	"Plasma membrane"		NA	NA				"Cluster 73: Brain - Neuropeptide signaling"	"Cluster 23: B-cell cancers - Adaptive immune response"	"Cluster 37: Neurons - Neuronal signaling"	"Plasma membrane"		"HPA045381: AB_10962495"	"unprognostic (1.77e-1)"	"unprognostic (2.64e-1)"	"unprognostic (3.39e-4)"	"unprognostic (1.19e-3)"	"unprognostic (5.52e-2)"	"unprognostic (2.50e-2)"	"unprognostic (2.82e-1)"	"unprognostic (2.37e-2)"	"unprognostic (1.92e-3)"	"unprognostic (2.06e-3)"	"unprognostic (1.64e-1)"	"unprognostic (3.40e-2)"	"unprognostic (3.38e-2)"	"unprognostic (5.54e-2)"	"unprognostic (8.08e-2)"	"unprognostic (1.87e-1)"	"unprognostic (3.17e-1)"
KCNU1	"KCa5.1, Kcnma3, KCNMC1, Slo3"	ENSG00000215262	"Potassium calcium-activated channel subfamily U member 1"	A8MYU2	8	36784324-36936125	"Predicted intracellular proteins, Predicted membrane proteins"	"Ion transport, Potassium transport, Transport"	"Ion channel, Potassium channel, Voltage-gated channel"		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in single"	13	"testis: 7.5"	"Group enriched"	"Detected in some"	18	"Early spermatids: 62.1;Late spermatids: 25.7"	"Cancer enhanced"	"Detected in single"		"liver cancer: 0.8"	"Not detected"	"Not detected"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Testis - Early spermatids, Testis - Late spermatids"	"Low region specificity"	"Detected in all"			"Not detected"	"Not detected"			HPA063317			Uncertain	"Plasma membrane"		NA	NA				"Cluster 78: Testis - Spermatogenesis"	"Cluster 40: Non-specific - Enzymes"	"Cluster 57: Early spermatids - Flagellum & Golgi organization"	"Plasma membrane"		"HPA063317: "	"unprognostic (2.42e-3)"	"unprognostic (4.26e-2)"		"unprognostic (2.07e-1)"	"unprognostic (4.76e-3)"		"unprognostic (7.57e-2)"	"unprognostic (1.12e-1)"	"unprognostic (1.11e-1)"	"unprognostic (2.71e-1)"	"unprognostic (1.98e-1)"	"unprognostic (7.73e-2)"		"unprognostic (1.24e-2)"			
