Gene	"Gene synonym"	Ensembl	"Gene description"	Uniprot	Chromosome	Position	"Protein class"	"Biological process"	"Molecular function"	"Disease involvement"	Evidence	"HPA evidence"	"UniProt evidence"	"NeXtProt evidence"	"RNA tissue specificity"	"RNA tissue distribution"	"RNA tissue specificity score"	"RNA tissue specific nTPM"	"RNA single cell type specificity"	"RNA single cell type distribution"	"RNA single cell type specificity score"	"RNA single cell type specific nTPM"	"RNA cancer specificity"	"RNA cancer distribution"	"RNA cancer specificity score"	"RNA cancer specific FPKM"	"RNA brain regional specificity"	"RNA brain regional distribution"	"RNA brain regional specificity score"	"RNA brain regional specific nTPM"	"RNA blood cell specificity"	"RNA blood cell distribution"	"RNA blood cell specificity score"	"RNA blood cell specific nTPM"	"RNA blood lineage specificity"	"RNA blood lineage distribution"	"RNA blood lineage specificity score"	"RNA blood lineage specific nTPM"	"RNA cell line specificity"	"RNA cell line distribution"	"RNA cell line specificity score"	"RNA cell line specific nTPM"	"RNA tissue cell type enrichment"	"RNA mouse brain regional specificity"	"RNA mouse brain regional distribution"	"RNA mouse brain regional specificity score"	"RNA mouse brain regional specific nTPM"	"RNA pig brain regional specificity"	"RNA pig brain regional distribution"	"RNA pig brain regional specificity score"	"RNA pig brain regional specific nTPM"	Antibody	"Reliability (IH)"	"Reliability (Mouse Brain)"	"Reliability (IF)"	"Subcellular location"	"Secretome location"	"CCD Protein"	"CCD Transcript"	"Blood concentration - Conc. blood IM [pg/L]"	"Blood concentration - Conc. blood MS [pg/L]"	"Blood expression cluster"	"Tissue expression cluster"	"Cell line expression cluster"	"Single cell expression cluster"	"Subcellular main location"	"Subcellular additional location"	"Antibody RRID"	"Pathology prognostics - Breast cancer"	"Pathology prognostics - Cervical cancer"	"Pathology prognostics - Colorectal cancer"	"Pathology prognostics - Endometrial cancer"	"Pathology prognostics - Glioma"	"Pathology prognostics - Head and neck cancer"	"Pathology prognostics - Liver cancer"	"Pathology prognostics - Lung cancer"	"Pathology prognostics - Melanoma"	"Pathology prognostics - Ovarian cancer"	"Pathology prognostics - Pancreatic cancer"	"Pathology prognostics - Prostate cancer"	"Pathology prognostics - Renal cancer"	"Pathology prognostics - Stomach cancer"	"Pathology prognostics - Testis cancer"	"Pathology prognostics - Thyroid cancer"	"Pathology prognostics - Urothelial cancer"
EQTN	"AFAF, C9orf11, equatorin, SPACA8"	ENSG00000120160	Equatorin	Q9NQ60	9	27284654-27297150	"Predicted membrane proteins, Predicted secreted proteins"				"Evidence at protein level"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Tissue enriched"	"Detected in some"	19	"testis: 37.8"	"Cell type enriched"	"Detected in some"	16	"Early spermatids: 914.9"	"Not detected"	"Not detected"			"Low region specificity"	"Detected in many"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Testis - Early spermatids, Testis - Late spermatids"	"Not detected"	"Not detected"							"HPA015089, HPA015504"	Enhanced		Approved	"Plasma membrane,Actin filaments"	"Secreted in male reproductive system"	NA	NA				"Cluster 78: Testis - Spermatogenesis"	"Cluster 60: Keratinocytes - Epithelial cell function"	"Cluster 57: Early spermatids - Flagellum & Golgi organization"	"Plasma membrane, Actin filaments"		"HPA015089: AB_1845795, HPA015504: AB_2067598"	"unprognostic (7.83e-2)"	"unprognostic (1.55e-1)"	"unprognostic (5.64e-2)"	"unprognostic (8.12e-3)"	"unprognostic (1.34e-3)"	"unprognostic (4.41e-2)"	"unprognostic (3.21e-1)"	"unprognostic (1.06e-1)"	"unprognostic (4.32e-1)"	"unprognostic (1.89e-1)"	"unprognostic (5.67e-2)"		"unprognostic (1.14e-1)"	"unprognostic (4.59e-2)"	"unprognostic (8.46e-2)"	"unprognostic (3.90e-2)"	"unprognostic (1.42e-1)"
ERMN	"ERMIN, JN, KIAA1189"	ENSG00000136541	Ermin	Q8TAM6	2	157318631-157327713	"Predicted intracellular proteins"		Actin-binding		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in some"	17	"brain: 498.6;choroid plexus: 136.2"	"Cell type enriched"	"Detected in some"	30	"Oligodendrocytes: 274.6"	"Cancer enriched"	"Detected in some"	4	"glioma: 9.9"	"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Group enriched"	"Detected in some"	4	"Leukemia: 2.0;lymphoma: 4.0;Myeloma: 6.8"		"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA038295, HPA038296"	Enhanced		Approved	"Plasma membrane,Cytosol"		NA	NA			"Cluster 33: Neutrophils - Chromatin organization"	"Cluster 70: Brain - Nervous system development"	"Cluster 44: Myeloma - Humoral immune response"	"Cluster 8: Oligodendrocytes - Myelin sheath organization"	"Plasma membrane"	Cytosol	"HPA038295: AB_10805353, HPA038296: AB_10796217"	"unprognostic (7.89e-2)"	"unprognostic (9.06e-3)"	"unprognostic (2.71e-2)"	"prognostic favorable (6.93e-6)"	"unprognostic (1.06e-1)"	"unprognostic (2.02e-2)"	"unprognostic (9.14e-2)"	"unprognostic (1.79e-1)"	"unprognostic (4.57e-2)"	"unprognostic (4.40e-2)"	"unprognostic (1.07e-1)"	"unprognostic (5.49e-2)"	"unprognostic (1.46e-3)"	"unprognostic (2.84e-2)"	"unprognostic (7.96e-2)"	"unprognostic (9.97e-3)"	"unprognostic (5.76e-2)"
ERVFRD-1	"envFRD, ERVFRDE1, HERV-FRD, HERV-W/FRD, syncytin-2"	ENSG00000244476	"Endogenous retrovirus group FRD member 1, envelope"	P60508	6	11102489-11111725	"Predicted membrane proteins, Transporters"				"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in some"	5	"placenta: 37.0"	"Cell type enriched"	"Detected in some"	50	"Syncytiotrophoblasts: 676.0"	"Not detected"	"Not detected"			"Low region specificity"	"Detected in single"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enriched"	"Detected in single"	60	"testis cancer: 38.8"	"Adipose subcutaneous - Mast cells, Adipose visceral - Mast cells, Colon - Mast cells"									HPA011812			Uncertain	"Nucleoplasm,Plasma membrane,Actin filaments,Cytosol"		NA	NA			"Cluster 40: NK-cells - Unknown function"	"Cluster 28: Placenta - Pregnancy"	"Cluster 6: BEWO - Unknown function"	"Cluster 67: Syncytiotrophoblasts - Pregnancy"	"Plasma membrane, Actin filaments"	"Nucleoplasm, Cytosol"	"HPA011812: AB_1857702"	"unprognostic (1.99e-1)"	"unprognostic (3.29e-4)"	"unprognostic (4.75e-2)"	"unprognostic (1.80e-1)"	"unprognostic (1.34e-1)"	"unprognostic (2.19e-3)"	"unprognostic (3.35e-1)"	"unprognostic (6.44e-2)"	"unprognostic (1.24e-1)"	"unprognostic (1.99e-1)"	"unprognostic (1.30e-2)"	"unprognostic (2.78e-3)"	"unprognostic (5.80e-4)"	"unprognostic (3.40e-2)"	"unprognostic (1.82e-1)"	"unprognostic (1.95e-2)"	"unprognostic (1.37e-2)"
ESCO2	"EFO2, RBS"	ENSG00000171320	"Establishment of sister chromatid cohesion N-acetyltransferase 2"	Q56NI9	8	27771949-27812640	"Disease related genes, Human disease related genes, Metabolic proteins, Predicted intracellular proteins"	"Cell cycle"	"Acyltransferase, Transferase"	"Disease variant, Dwarfism, Intellectual disability"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in some"		"bone marrow: 6.0;intestine: 11.0;lymphoid tissue: 8.5;testis: 5.7"	"Cell type enhanced"	"Detected in many"		"Erythroid cells: 28.0;Spermatocytes: 82.2;Spermatogonia: 63.1"	"Low cancer specificity"	"Detected in many"			"Not detected"	"Not detected"			"Immune cell enhanced"	"Detected in single"		"T-reg: 1.3"	"Low lineage specificity"	"Detected in single"			"Low cancer specificity"	"Detected in all"			"Colon - Mitotic cells (Colon), Lung - Mitotic cells (Lung), Skin - Mitotic cells (Skin), Testis - Spermatocytes, Thyroid - Mitotic cells (Thyroid)"	"Low region specificity"	"Detected in single"			"Not detected"	"Not detected"			"HPA027243, HPA053679"			Supported	"Nucleoplasm,Golgi apparatus,Cell Junctions"		Yes	Yes			"Cluster 4: T-regs - Cell cycle regulation"	"Cluster 53: Non-specific - Cell cycle regulation"	"Cluster 45: Non-specific - Cell proliferation"	"Cluster 43: Non-specific - Cell proliferation"	"Nucleoplasm, Golgi apparatus"	"Cell Junctions"	"HPA027243: AB_2672175, HPA053679: AB_2682227"	"unprognostic (7.86e-2)"	"unprognostic (1.50e-2)"	"prognostic favorable (1.04e-4)"	"unprognostic (5.13e-3)"	"unprognostic (9.50e-2)"	"unprognostic (8.67e-3)"	"unprognostic (7.30e-4)"	"unprognostic (5.24e-3)"	"unprognostic (2.24e-2)"	"unprognostic (2.54e-2)"	"unprognostic (7.51e-4)"	"unprognostic (2.23e-1)"	"unprognostic (1.65e-14)"	"unprognostic (6.65e-3)"	"unprognostic (5.32e-1)"	"unprognostic (5.85e-2)"	"unprognostic (4.06e-1)"
FABP2	I-FABP	ENSG00000145384	"Fatty acid binding protein 2"	P12104	4	119317250-119322138	"Cancer-related genes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins"	Transport		"Cancer-related genes"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in some"	173	"intestine: 550.0"	"Cell type enriched"	"Detected in some"	13	"Proximal enterocytes: 6853.4"	"Group enriched"	"Detected in some"	9	"colorectal cancer: 3.2;pancreatic cancer: 1.6;stomach cancer: 2.7"	"Not detected"	"Not detected"			"Group enriched"	"Detected in some"	6	"basophil: 1.6;neutrophil: 4.2"	"Lineage enriched"	"Detected in single"	9	"granulocytes: 4.2"	"Cancer enhanced"	"Detected in some"		"Bile duct cancer: 1.9;colorectal cancer: 1.5"	"Colon - Colon enterocytes"	"Not detected"	"Not detected"			"Low region specificity"	"Detected in many"			"HPA034607, CAB047325, CAB047326"	Enhanced		Approved	"Plasma membrane,Actin filaments,Cytosol"		NA	NA		61000	"Cluster 1: Neutrophils - Mixed function"	"Cluster 56: Intestine - Transmembrane transport"	"Cluster 19: Stomach & Colon cancer - Absorption"	"Cluster 59: Proximal enterocytes - Transmembrane transport"	"Actin filaments, Cytosol"	"Plasma membrane"	"CAB047325: , CAB047326: , HPA034607: AB_10601317"		"unprognostic (3.94e-2)"	"unprognostic (1.10e-1)"	"unprognostic (1.05e-1)"				"unprognostic (4.58e-1)"		"unprognostic (1.51e-2)"	"unprognostic (2.61e-2)"		"unprognostic (1.69e-4)"	"unprognostic (1.93e-1)"	"unprognostic (1.02e-1)"		
FAM163B	C9orf166	ENSG00000196990	"Family with sequence similarity 163 member B"	P0C2L3	9	133577081-133609389	"Predicted membrane proteins"				"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in some"	6	"brain: 60.1"	"Group enriched"	"Detected in some"	4	"Excitatory neurons: 24.5;Inhibitory neurons: 17.4;Late spermatids: 27.6"	"Cancer enriched"	"Detected in some"	6	"glioma: 3.2"	"Group enriched"	"Detected in many"	6	"amygdala: 26.5;basal ganglia: 44.4;cerebral cortex: 60.1;hippocampal formation: 38.2;white matter: 32.5"	"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enriched"	"Detected in some"	9	"Neuroblastoma: 14.9"	"Testis - Late spermatids"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA067336	Enhanced		Approved	"Nuclear bodies,Plasma membrane,Cytosol"		NA	NA				"Cluster 10: Brain - Neuronal signaling"	"Cluster 21: Neuroblastoma - Neuronal signaling"	"Cluster 32: Neurons - Synaptic function"	"Nuclear bodies, Plasma membrane, Cytosol"		"HPA067336: AB_2685825"	"unprognostic (2.94e-2)"	"unprognostic (6.87e-3)"	"unprognostic (2.65e-2)"	"unprognostic (2.70e-1)"	"unprognostic (1.23e-2)"	"unprognostic (9.05e-2)"	"unprognostic (1.02e-2)"	"unprognostic (3.48e-2)"	"unprognostic (1.43e-1)"	"unprognostic (1.16e-1)"	"unprognostic (3.31e-3)"	"unprognostic (7.61e-2)"	"unprognostic (5.75e-4)"	"unprognostic (1.07e-1)"	"unprognostic (9.54e-2)"	"unprognostic (1.65e-1)"	"unprognostic (4.73e-4)"
FAM186A	LOC121006	ENSG00000185958	"Family with sequence similarity 186 member A"	A6NE01	12	50326230-50396622	"Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at transcript level"	"Evidence at transcript level"	"Evidence at protein level"	"Tissue enriched"	"Detected in some"	12	"testis: 14.2"	"Cell type enriched"	"Detected in some"	5	"Early spermatids: 596.3"	"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Testis - Early spermatids, Testis - Late spermatids"	"Not detected"	"Not detected"			"Not detected"	"Not detected"			"HPA047128, HPA064735"	Uncertain		Approved	"Nucleoplasm,Vesicles,Plasma membrane"		NA	NA			"Cluster 33: Neutrophils - Chromatin organization"	"Cluster 78: Testis - Spermatogenesis"	"Cluster 17: RS4;11 - Unknown function"	"Cluster 49: Early spermatids - Spermatogenesis"	"Nucleoplasm, Vesicles"	"Plasma membrane"	"HPA047128: AB_10967726, HPA064735: "	"unprognostic (1.01e-1)"	"unprognostic (1.29e-1)"	"unprognostic (1.25e-1)"	"unprognostic (2.31e-1)"	"unprognostic (1.88e-1)"	"unprognostic (3.69e-2)"	"unprognostic (3.48e-3)"	"unprognostic (1.43e-2)"	"unprognostic (1.30e-2)"	"unprognostic (6.96e-2)"	"unprognostic (4.65e-5)"	"unprognostic (1.93e-1)"	"unprognostic (2.42e-5)"	"unprognostic (1.65e-1)"	"unprognostic (1.32e-1)"	"unprognostic (7.51e-2)"	"unprognostic (3.22e-3)"
FAM209A	"C20orf106, dJ1153D9.3"	ENSG00000124103	"Family with sequence similarity 209 member A"	Q5JX71	20	56517187-56526152	"Predicted membrane proteins"	"Differentiation, Spermatogenesis"			"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in some"	6	"testis: 104.2"	"Group enriched"	"Detected in some"	170	"Early spermatids: 1883.3;Late spermatids: 751.3"	"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in single"		"Myeloma: 1.7"	"Testis - Early spermatids, Testis - Late spermatids"									HPA079442			Uncertain	"Plasma membrane,Cell Junctions"		NA	NA			"Cluster 37: B-cells - Transcription"	"Cluster 83: Testis - Spermatogenesis"	"Cluster 44: Myeloma - Humoral immune response"	"Cluster 49: Early spermatids - Spermatogenesis"	"Plasma membrane, Cell Junctions"		"HPA079442: "	"unprognostic (1.03e-1)"	"unprognostic (1.01e-2)"	"unprognostic (2.19e-2)"	"unprognostic (1.58e-1)"	"unprognostic (1.75e-1)"	"unprognostic (8.58e-3)"	"unprognostic (1.06e-2)"	"unprognostic (2.12e-1)"	"unprognostic (2.10e-1)"	"unprognostic (9.83e-2)"	"unprognostic (5.56e-3)"	"unprognostic (7.68e-2)"	"unprognostic (1.86e-9)"	"unprognostic (2.98e-2)"	"unprognostic (2.07e-1)"	"unprognostic (1.34e-1)"	"unprognostic (3.22e-2)"
FAM72B	RP11-439A17.6	ENSG00000188610	"Family with sequence similarity 72 member B"	Q86X60	1	121167646-121185539	"Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in some"		"bone marrow: 6.2;lymphoid tissue: 10.3"	"Cell type enhanced"	"Detected in some"		"Early spermatids: 16.0;Erythroid cells: 6.1;Spermatocytes: 13.7;Undifferentiated cells: 9.2"	"Low cancer specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Low cancer specificity"	"Detected in all"			"Stomach - Mitotic cells (Stomach)"									"HPA043271, HPA067321"	Uncertain		Approved	"Vesicles,Plasma membrane,Cytosol"		NA	Yes			"Cluster 28: Myeloid DCs - Unknown function"	"Cluster 53: Non-specific - Cell cycle regulation"	"Cluster 45: Non-specific - Cell proliferation"	"Cluster 42: Spermatocytes & Spermatids - Spermatogenesis"	Vesicles	"Plasma membrane, Cytosol"	"HPA043271: AB_2678402, HPA067321: "	"unprognostic (8.53e-2)"	"unprognostic (1.97e-2)"	"unprognostic (1.63e-3)"	"unprognostic (1.25e-3)"	"unprognostic (4.36e-1)"	"unprognostic (1.05e-1)"	"unprognostic (1.26e-4)"	"unprognostic (8.22e-5)"	"unprognostic (1.30e-2)"	"unprognostic (1.79e-2)"	"unprognostic (1.36e-4)"	"unprognostic (2.46e-2)"	"unprognostic (0.00e+0)"	"unprognostic (2.39e-2)"	"unprognostic (1.71e-1)"	"unprognostic (1.17e-2)"	"unprognostic (5.30e-2)"
FAM72C	RP5-998N21.9	ENSG00000263513	"Family with sequence similarity 72 member C"	H0Y354	1	143955364-143971965	"Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at transcript level"	"No human protein/transcript evidence"	"Evidence at protein level"	"Tissue enhanced"	"Detected in some"		"bone marrow: 2.9;lymphoid tissue: 5.4"	"Cell type enhanced"	"Detected in some"		"Cytotrophoblasts: 1.9;Early spermatids: 2.8;Erythroid cells: 2.7;Extravillous trophoblasts: 4.3;Spermatocytes: 7.6;Spermatogonia: 2.8"	"Low cancer specificity"	"Detected in single"			"Not detected"	"Not detected"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Low cancer specificity"	"Detected in all"			"Stomach - Mitotic cells (Stomach)"									"HPA043271, HPA067321"	Uncertain		Approved	"Vesicles,Plasma membrane,Cytosol"		NA	Yes			"Cluster 48: NK-cells - Unknown function"	"Cluster 53: Non-specific - Cell cycle regulation"	"Cluster 18: Non-specific - RNA binding"	"Cluster 43: Non-specific - Cell proliferation"	Vesicles	"Plasma membrane, Cytosol"	"HPA043271: AB_2678402, HPA067321: "	"unprognostic (2.18e-1)"	"unprognostic (1.50e-1)"	"unprognostic (6.45e-3)"	"unprognostic (2.69e-2)"	"unprognostic (2.21e-1)"	"unprognostic (3.98e-3)"	"unprognostic (9.46e-5)"	"unprognostic (1.23e-3)"	"unprognostic (4.36e-1)"	"unprognostic (7.26e-2)"	"unprognostic (1.04e-2)"	"unprognostic (1.95e-1)"	"unprognostic (0.00e+0)"	"unprognostic (2.95e-1)"	"unprognostic (4.70e-2)"	"unprognostic (5.82e-2)"	"unprognostic (1.47e-2)"
FAM72D		ENSG00000215784	"Family with sequence similarity 72 member D"	Q6L9T8	1	145095974-145112696	"Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in some"		"bone marrow: 4.0;lymphoid tissue: 6.7"	"Cell type enhanced"	"Detected in some"		"Early spermatids: 8.2;Erythroid cells: 8.9;Extravillous trophoblasts: 5.1;Spermatocytes: 12.1;Spermatogonia: 3.8"	"Low cancer specificity"	"Detected in some"			"Not detected"	"Not detected"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Low cancer specificity"	"Detected in all"			"Stomach - Mitotic cells (Stomach)"									"HPA043271, HPA067321"	Uncertain		Approved	"Vesicles,Plasma membrane,Cytosol"		NA	NA				"Cluster 53: Non-specific - Cell cycle regulation"	"Cluster 18: Non-specific - RNA binding"	"Cluster 43: Non-specific - Cell proliferation"	Vesicles	"Plasma membrane, Cytosol"	"HPA043271: AB_2678402, HPA067321: "	"unprognostic (2.70e-2)"	"unprognostic (1.64e-1)"	"unprognostic (1.73e-1)"	"unprognostic (4.03e-3)"	"unprognostic (1.26e-1)"	"unprognostic (7.10e-3)"	"unprognostic (5.88e-5)"	"unprognostic (7.65e-4)"	"unprognostic (6.72e-2)"	"unprognostic (2.36e-2)"	"unprognostic (1.22e-2)"	"unprognostic (1.46e-1)"	"unprognostic (0.00e+0)"	"unprognostic (6.63e-2)"	"unprognostic (1.72e-1)"	"unprognostic (9.74e-2)"	"unprognostic (6.50e-2)"
FAT3	"CDHF15, CDHR10, KIAA1989"	ENSG00000165323	"FAT atypical cadherin 3"	Q8TDW7	11	92224818-92896473	"Predicted membrane proteins"	"Cell adhesion"	"Developmental protein"		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at transcript level"	"Evidence at protein level"	"Tissue enriched"	"Detected in some"	5	"brain: 19.3"	"Cell type enhanced"	"Detected in some"		"Astrocytes: 257.5;Excitatory neurons: 506.5;Inhibitory neurons: 145.0;Oligodendrocyte precursor cells: 84.7"	"Cancer enriched"	"Detected in single"	6	"glioma: 1.7"	"Low region specificity"	"Detected in many"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Low cancer specificity"	"Detected in many"			"Adipose subcutaneous - Smooth muscle cells, Heart muscle - Smooth muscle cells, Kidney - Fibroblasts, Liver - Hepatic stellate cells, Prostate - Smooth muscle cells, Thyroid - Smooth muscle cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA026878, HPA074824"	Uncertain		Approved	"Cell Junctions"		NA	NA		4700		"Cluster 65: Brain - Ion transport"	"Cluster 56: Neurons - Neuronal signaling"	"Cluster 38: Neurons - Neuronal signaling"	"Cell Junctions"		"HPA026878: AB_1848430, HPA074824: "	"unprognostic (5.00e-2)"	"unprognostic (1.37e-1)"	"unprognostic (8.61e-2)"	"unprognostic (4.76e-6)"	"unprognostic (1.27e-1)"	"unprognostic (1.79e-1)"	"unprognostic (1.56e-1)"	"unprognostic (9.32e-2)"	"unprognostic (1.08e-1)"	"unprognostic (3.04e-2)"	"unprognostic (1.46e-1)"	"unprognostic (1.09e-1)"	"unprognostic (5.79e-2)"	"unprognostic (3.66e-4)"	"unprognostic (8.83e-2)"	"unprognostic (7.72e-2)"	"unprognostic (2.25e-1)"
FCAR	CD89	ENSG00000186431	"Fc fragment of IgA receptor"	P24071	19	54874235-54891420	"CD markers, Predicted intracellular proteins, Predicted membrane proteins"		"IgA-binding protein, Receptor"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in some"		"bone marrow: 26.1;lung: 10.5;lymphoid tissue: 13.5"	"Group enriched"	"Detected in some"	4	"Kupffer cells: 25.6;Macrophages: 17.5;monocytes: 25.1"	"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Group enriched"	"Detected in some"	8	"classical monocyte: 1.2;neutrophil: 4.0"	"Group enriched"	"Detected in many"	27	"granulocytes: 4.0;monocytes: 1.2"	"Not detected"	"Not detected"			"Adipose visceral - Neutrophils, Colon - Neutrophils, Heart muscle - Neutrophils, Liver - Neutrophils, Lung - Neutrophil_2, Skeletal muscle - Neutrophils, Thyroid - Neutrophils"					"Not detected"	"Not detected"			HPA014050	Approved		Supported	"Plasma membrane"	"Intracellular and membrane"	NA	NA			"Cluster 9: Neutrophils - Innate immune response"	"Cluster 40: Neutrophils - Inflammatory response"	"Cluster 66: Myeloid cells - Innate immune response"	"Cluster 33: Macrophages - Degranulation"	"Plasma membrane"		"HPA014050: AB_1846338"	"unprognostic (1.46e-1)"	"unprognostic (5.74e-2)"	"unprognostic (1.30e-1)"	"unprognostic (4.71e-3)"	"unprognostic (3.46e-1)"	"unprognostic (2.02e-1)"	"unprognostic (7.99e-2)"	"unprognostic (1.54e-2)"	"unprognostic (1.59e-2)"	"unprognostic (4.70e-2)"	"unprognostic (1.41e-2)"	"unprognostic (7.05e-2)"	"unprognostic (4.19e-6)"	"unprognostic (9.23e-2)"	"unprognostic (8.10e-3)"	"unprognostic (8.04e-3)"	"unprognostic (9.81e-2)"
FFAR1	"FFA1R, GPR40"	ENSG00000126266	"Free fatty acid receptor 1"	O14842	19	35351552-35353862	"FDA approved drug targets, G-protein coupled receptors, Predicted membrane proteins, Transporters"		"G-protein coupled receptor, Receptor, Transducer"	"FDA approved drug targets"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in some"	4	"bone marrow: 2.8;brain: 4.8;ovary: 2.5;pancreas: 4.4"	"Group enriched"	"Detected in some"	4	"Enteroendocrine cells: 5.9;Pancreatic endocrine cells: 6.9"	"Cancer enriched"	"Detected in single"	13	"pancreatic cancer: 2.2"	"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in single"		"lymphoma: 1.3"	"Pancreas - Alpha cells, Pancreas - Beta cells"	"Not detected"	"Not detected"							HPA048933			Supported	"Plasma membrane"		NA	NA				"Cluster 76: Brain & Bone marrow - Chromatin organization"	"Cluster 9: Lymphoid cancers - Immune response"	"Cluster 55: Endocrine cells - Hormone signaling"	"Plasma membrane"		"HPA048933: "	"unprognostic (9.49e-2)"				"unprognostic (2.08e-1)"			"unprognostic (1.59e-1)"	"unprognostic (1.50e-1)"	"unprognostic (1.03e-1)"	"unprognostic (4.51e-2)"		"unprognostic (1.03e-2)"	"unprognostic (4.46e-2)"	"unprognostic (6.19e-2)"	"unprognostic (9.56e-3)"	
FFAR4	"GPR120, GPR129, O3FAR1, PGR4"	ENSG00000186188	"Free fatty acid receptor 4"	Q5NUL3	10	93566665-93604480	"FDA approved drug targets, G-protein coupled receptors, Human disease related genes, Predicted membrane proteins, Transporters"	"Differentiation, Inflammatory response"	"G-protein coupled receptor, Receptor, Transducer"	"FDA approved drug targets"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in some"		"intestine: 11.4;pituitary gland: 11.0"	"Cell type enhanced"	"Detected in some"		"Early spermatids: 27.7;Intestinal goblet cells: 65.6;Late spermatids: 19.4;Pancreatic endocrine cells: 22.3;Paneth cells: 13.1"	"Cancer enhanced"	"Detected in some"		"colorectal cancer: 4.6"	"Low region specificity"	"Detected in many"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in some"		"colorectal cancer: 3.9;pancreatic cancer: 2.2"	"Adipose subcutaneous - Adipocytes (Subcutaneous), Adipose visceral - Adipocytes (Visceral), Breast - Adipocytes (Breast), Colon - Colon enterocytes, Testis - Late spermatids, Thyroid - Macrophages"	"Not detected"	"Not detected"			"Low region specificity"	"Detected in all"			HPA042563			Supported	"Plasma membrane"		NA	NA			"Cluster 25: Monocytes - Inflammatory response"	"Cluster 37: Intestine - Unknown function"	"Cluster 19: Stomach & Colon cancer - Absorption"	"Cluster 26: Intestinal epithelial cells - Absorption"	"Plasma membrane"		"HPA042563: AB_10794762"	"unprognostic (1.96e-1)"	"unprognostic (1.06e-2)"	"unprognostic (1.14e-2)"	"unprognostic (4.21e-2)"	"unprognostic (2.12e-1)"	"unprognostic (4.98e-4)"	"unprognostic (1.41e-3)"	"unprognostic (1.20e-2)"	"unprognostic (2.34e-2)"	"unprognostic (7.87e-2)"	"unprognostic (9.51e-2)"	"unprognostic (1.49e-1)"	"unprognostic (3.85e-2)"	"unprognostic (5.32e-2)"	"unprognostic (2.71e-1)"	"unprognostic (1.02e-1)"	"unprognostic (1.49e-1)"
