"","Subcellular.location..CC.","Intramembrane","Topological.domain","Transmembrane"
"Q8IY63","SUBCELLULAR LOCATION: Cell junction, tight junction {ECO:0000250}.",NA,NA,NA
"Q9Y2J4","SUBCELLULAR LOCATION: Recycling endosome {ECO:0000250|UniProtKB:A1YB07}. Cytoplasm {ECO:0000269|PubMed:23911299}. Cell projection, podosome {ECO:0000250|UniProtKB:Q8K371}. Cell junction {ECO:0000269|PubMed:28842668}.",NA,NA,NA
"Q9H9E1","SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton {ECO:0000250|UniProtKB:Q99PE2}. Membrane {ECO:0000250|UniProtKB:Q99PE2}; Peripheral membrane protein {ECO:0000250|UniProtKB:Q99PE2}.",NA,NA,NA
"Q8N6M6","SUBCELLULAR LOCATION: Nucleus, nucleolus {ECO:0000250|UniProtKB:Q8BXQ6}.; SUBCELLULAR LOCATION: [Isoform 3]: Cytoplasm {ECO:0000250|UniProtKB:Q8BXQ6}.",NA,NA,NA
"P02656","SUBCELLULAR LOCATION: Secreted {ECO:0000303|PubMed:18201179, ECO:0000303|PubMed:22510806}.",NA,NA,NA
"P55087","SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:37143309, ECO:0000269|PubMed:7559426, ECO:0000269|PubMed:8601457}; Multi-pass membrane protein {ECO:0000269|PubMed:19383790}. Basolateral cell membrane {ECO:0000250|UniProtKB:P55088}; Multi-pass membrane protein {ECO:0000269|PubMed:19383790}. Endosome membrane {ECO:0000250|UniProtKB:P47863}. Cell membrane, sarcolemma {ECO:0000269|PubMed:29055082}; Multi-pass membrane protein {ECO:0000269|PubMed:19383790}. Cell projection {ECO:0000250|UniProtKB:P47863}. Note=Activation of the vasopressin receptor AVPR1A triggers AQP4 phosphorylation at Ser-180 and promotes its internalization from the cell membrane. Detected on brain astrocyte processes and astrocyte endfeet close to capillaries. {ECO:0000250|UniProtKB:P47863}.","INTRAMEM 94..101; /note=Discontinuously helical; /evidence=ECO:0000269|PubMed:19383790; INTRAMEM 209..222; /note=Discontinuously helical; /evidence=ECO:0000269|PubMed:19383790","TOPO_DOM 1..36; /note=Cytoplasmic; /evidence=ECO:0000269|PubMed:19383790; TOPO_DOM 58..69; /note=Extracellular; /evidence=ECO:0000269|PubMed:19383790; TOPO_DOM 90..93; /note=Cytoplasmic; /evidence=ECO:0000269|PubMed:19383790; TOPO_DOM 102..115; /note=Cytoplasmic; /evidence=ECO:0000269|PubMed:19383790; TOPO_DOM 137..155; /note=Extracellular; /evidence=ECO:0000269|PubMed:19383790; TOPO_DOM 177..184; /note=Cytoplasmic; /evidence=ECO:0000269|PubMed:19383790; TOPO_DOM 206..208; /note=Extracellular; /evidence=ECO:0000269|PubMed:19383790; TOPO_DOM 223..231; /note=Extracellular; /evidence=ECO:0000269|PubMed:19383790; TOPO_DOM 253..323; /note=Cytoplasmic; /evidence=ECO:0000269|PubMed:19383790","TRANSMEM 37..57; /note=Helical; /evidence=ECO:0000269|PubMed:19383790; TRANSMEM 70..89; /note=Helical; /evidence=ECO:0000269|PubMed:19383790; TRANSMEM 116..136; /note=Helical; /evidence=ECO:0000269|PubMed:19383790; TRANSMEM 156..176; /note=Helical; /evidence=ECO:0000269|PubMed:19383790; TRANSMEM 185..205; /note=Helical; /evidence=ECO:0000269|PubMed:19383790; TRANSMEM 232..252; /note=Helical; /evidence=ECO:0000269|PubMed:19383790"
"Q5T5U3","SUBCELLULAR LOCATION: Golgi apparatus membrane; Peripheral membrane protein. Cell junction. Cytoplasmic vesicle membrane; Peripheral membrane protein. Cytoplasm, cytoskeleton. Note=Localization to the Golgi is dependent on interaction with GTP-bound ARF1.",NA,NA,NA
"Q9P2N2",NA,NA,NA,NA
"Q9BRR9",NA,NA,NA,NA
"Q9NXU5",NA,NA,NA,NA
"Q92747","SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton {ECO:0000269|PubMed:8978670}. Nucleus {ECO:0000250|UniProtKB:Q8AVT9}.",NA,NA,NA
"O15511","SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton {ECO:0000269|PubMed:9230079}. Cell projection {ECO:0000269|PubMed:9230079}. Nucleus {ECO:0000269|PubMed:29925947, ECO:0000269|PubMed:37349293}.",NA,NA,NA
"O00192","SUBCELLULAR LOCATION: Cell junction, adherens junction {ECO:0000269|PubMed:10725230, ECO:0000269|PubMed:24644279, ECO:0000305|PubMed:30479852}. Nucleus {ECO:0000269|PubMed:10725230, ECO:0000269|PubMed:24644279}. Cytoplasm {ECO:0000269|PubMed:24644279}. Note=In heart, localizes at area composita, the mixed-type junctional structure composed of both desmosomal and adherens junctional proteins. {ECO:0000250|UniProtKB:B4F7F3}.",NA,NA,NA
"P07306","SUBCELLULAR LOCATION: [Isoform H1a]: Membrane; Single-pass type II membrane protein.; SUBCELLULAR LOCATION: [Isoform H1b]: Secreted {ECO:0000269|PubMed:20886072}.",NA,"TOPO_DOM 1..40; /note=Cytoplasmic; /evidence=ECO:0000305; TOPO_DOM 62..291; /note=Extracellular; /evidence=ECO:0000305","TRANSMEM 41..61; /note=Helical; Signal-anchor for type II membrane protein; /evidence=ECO:0000305"
"Q9Y6H3",NA,NA,NA,NA
"Q8WUW1","SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton {ECO:0000250}.",NA,NA,NA
"Q8TDC3","SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:15150265}. Nucleus {ECO:0000269|PubMed:15150265}. Cytoplasm, cytoskeleton, microtubule organizing center, centrosome {ECO:0000250}. Synapse {ECO:0000250|UniProtKB:B2DD29}. Presynaptic active zone {ECO:0000250|UniProtKB:B2DD29}. Cytoplasmic vesicle, secretory vesicle, synaptic vesicle {ECO:0000250|UniProtKB:B2DD29}. Note=Nuclear in the absence of DNA damage. Translocated to the nucleus in response to UV- or MMS-induced DNA damage (By similarity). {ECO:0000250}.",NA,NA,NA
"Q8NE79","SUBCELLULAR LOCATION: Lateral cell membrane {ECO:0000269|PubMed:16188940}. Cell junction, tight junction {ECO:0000269|PubMed:16188940}. Membrane {ECO:0000269|PubMed:26642364}; Multi-pass membrane protein {ECO:0000305}. Cell membrane, sarcolemma {ECO:0000269|PubMed:26642364}. Membrane, caveola {ECO:0000250|UniProtKB:Q9ES83}. Note=Colocalizes with VAMP3 at the cell-cell contact in cardiac and skeletal muscle (By similarity). Its movement from the cytoplasm to membrane is an early event occurring concurrently with cell-cell contact. Colocalizes in epithelial cells with OCLN and TJP1 in an apical-lateral position within the z axis. Detected at cell-cell contact but never observed at the free surface of epithelial cells. {ECO:0000250|UniProtKB:Q9ES83}.",NA,"TOPO_DOM 1..48; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 70; /note=Cytoplasmic; /evidence=ECO:0000255; TOPO_DOM 92; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 114..360; /note=Cytoplasmic; /evidence=ECO:0000255","TRANSMEM 49..69; /note=Helical; /evidence=ECO:0000255; TRANSMEM 71..91; /note=Helical; /evidence=ECO:0000255; TRANSMEM 93..113; /note=Helical; /evidence=ECO:0000255"
"Q96A22",NA,NA,NA,NA
"Q8IY42","SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:38517886}; Peripheral membrane protein {ECO:0000269|PubMed:38517886}.",NA,NA,NA
"Q96NL8","SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250|UniProtKB:Q3UJP5}. Photoreceptor inner segment {ECO:0000250|UniProtKB:Q3UJP5}. Note=In the retina, located at the base of the primary cilium (PubMed:22177090). Expressed throughout photoreceptors cell body including the basal body, inner segment and synaptic terminus, but not in the outer segment. {ECO:0000250|UniProtKB:Q3UJP5, ECO:0000269|PubMed:22177090}.",NA,NA,NA
"Q9P0X4","SUBCELLULAR LOCATION: Membrane {ECO:0000255}; Multi-pass membrane protein {ECO:0000255}.",NA,"TOPO_DOM 1..78; /note=Cytoplasmic; /evidence=ECO:0000255; TOPO_DOM 100..120; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 142..148; /note=Cytoplasmic; /evidence=ECO:0000255; TOPO_DOM 169..173; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 192..211; /note=Cytoplasmic; /evidence=ECO:0000255; TOPO_DOM 233..377; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 399..640; /note=Cytoplasmic; /evidence=ECO:0000255; TOPO_DOM 662..676; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 698..702; /note=Cytoplasmic; /evidence=ECO:0000255; TOPO_DOM 722..729; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 754..764; /note=Cytoplasmic; /evidence=ECO:0000255; TOPO_DOM 786..841; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 863..1166; /note=Cytoplasmic; /evidence=ECO:0000255; TOPO_DOM 1188..1209; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 1231..1244; /note=Cytoplasmic; /evidence=ECO:0000255; TOPO_DOM 1266..1272; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 1295..1304; /note=Cytoplasmic; /evidence=ECO:0000255; TOPO_DOM 1326..1410; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 1432..1485; /note=Cytoplasmic; /evidence=ECO:0000255; TOPO_DOM 1507..1522; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 1544..1556; /note=Cytoplasmic; /evidence=ECO:0000255; TOPO_DOM 1578..1583; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 1608..1621; /note=Cytoplasmic; /evidence=ECO:0000255; TOPO_DOM 1643..1709; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 1731..2223; /note=Cytoplasmic; /evidence=ECO:0000255","TRANSMEM 79..99; /note=Helical; Name=S1 of repeat I; /evidence=ECO:0000255; TRANSMEM 121..141; /note=Helical; Name=S2 of repeat I; /evidence=ECO:0000255; TRANSMEM 149..168; /note=Helical; Name=S3 of repeat I; /evidence=ECO:0000255; TRANSMEM 174..191; /note=Helical; Name=S4 of repeat I; /evidence=ECO:0000255; TRANSMEM 212..232; /note=Helical; Name=S5 of repeat I; /evidence=ECO:0000255; TRANSMEM 378..398; /note=Helical; Name=S6 of repeat I; /evidence=ECO:0000255; TRANSMEM 641..661; /note=Helical; Name=S1 of repeat II; /evidence=ECO:0000255; TRANSMEM 677..697; /note=Helical; Name=S2 of repeat II; /evidence=ECO:0000255; TRANSMEM 703..721; /note=Helical; Name=S3 of repeat II; /evidence=ECO:0000255; TRANSMEM 730..753; /note=Helical; Name=S4 of repeat II; /evidence=ECO:0000255; TRANSMEM 765..785; /note=Helical; Name=S5 of repeat II; /evidence=ECO:0000255; TRANSMEM 842..862; /note=Helical; Name=S6 of repeat II; /evidence=ECO:0000255; TRANSMEM 1167..1187; /note=Helical; Name=S1 of repeat III; /evidence=ECO:0000255; TRANSMEM 1210..1230; /note=Helical; Name=S2 of repeat III; /evidence=ECO:0000255; TRANSMEM 1245..1265; /note=Helical; Name=S3 of repeat III; /evidence=ECO:0000255; TRANSMEM 1273..1294; /note=Helical; Name=S4 of repeat III; /evidence=ECO:0000255; TRANSMEM 1305..1325; /note=Helical; Name=S5 of repeat III; /evidence=ECO:0000255; TRANSMEM 1411..1431; /note=Helical; Name=S6 of repeat III; /evidence=ECO:0000255; TRANSMEM 1486..1506; /note=Helical; Name=S1 of repeat IV; /evidence=ECO:0000255; TRANSMEM 1523..1543; /note=Helical; Name=S2 of repeat IV; /evidence=ECO:0000255; TRANSMEM 1557..1577; /note=Helical; Name=S3 of repeat IV; /evidence=ECO:0000255; TRANSMEM 1584..1607; /note=Helical; Name=S4 of repeat IV; /evidence=ECO:0000255; TRANSMEM 1622..1642; /note=Helical; Name=S5 of repeat IV; /evidence=ECO:0000255; TRANSMEM 1710..1730; /note=Helical; Name=S6 of repeat IV; /evidence=ECO:0000255"
"Q9BY67","SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:11279526, ECO:0000269|PubMed:22438059}; Single-pass type I membrane protein {ECO:0000269|PubMed:11279526}. Synapse {ECO:0000250|UniProtKB:Q8R5M8}. Note=Localized to the basolateral plasma membrane of epithelial cells in gall bladder. {ECO:0000250|UniProtKB:Q8R5M8}.",NA,"TOPO_DOM 45..374; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 396..442; /note=Cytoplasmic; /evidence=ECO:0000255","TRANSMEM 375..395; /note=Helical; /evidence=ECO:0000255"
"Q9UQM7","SUBCELLULAR LOCATION: Synapse {ECO:0000250|UniProtKB:P11275}. Postsynaptic density {ECO:0000250|UniProtKB:P11275}. Cell projection, dendritic spine {ECO:0000269|PubMed:28130356}. Cell projection, dendrite {ECO:0000269|PubMed:28130356}. Note=Postsynaptic lipid rafts. {ECO:0000250|UniProtKB:P11275}.",NA,NA,NA
"Q13554","SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton {ECO:0000269|PubMed:21529938}. Cytoplasm, cytoskeleton, microtubule organizing center, centrosome {ECO:0000250}. Sarcoplasmic reticulum membrane {ECO:0000269|PubMed:21529938}; Peripheral membrane protein {ECO:0000269|PubMed:21529938}; Cytoplasmic side {ECO:0000269|PubMed:21529938}. Synapse {ECO:0000250|UniProtKB:P08413}. Note=In slow-twitch muscle, evenly distributed between longitudinal SR and junctional SR.",NA,NA,NA
"Q13557","SUBCELLULAR LOCATION: Cell membrane, sarcolemma {ECO:0000305}; Peripheral membrane protein {ECO:0000305}; Cytoplasmic side {ECO:0000305}. Sarcoplasmic reticulum membrane {ECO:0000305}; Peripheral membrane protein {ECO:0000305}; Cytoplasmic side {ECO:0000305}.",NA,NA,NA
"Q13555","SUBCELLULAR LOCATION: Sarcoplasmic reticulum membrane {ECO:0000305}; Peripheral membrane protein {ECO:0000305}; Cytoplasmic side {ECO:0000305}.",NA,NA,NA
"Q8NA61",NA,NA,NA,NA
"Q8WV48","SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Single-pass membrane protein {ECO:0000305}.",NA,NA,"TRANSMEM 65..85; /note=Helical; /evidence=ECO:0000255"
"Q8IYT3","SUBCELLULAR LOCATION: Golgi apparatus {ECO:0000269|PubMed:28687497}.",NA,NA,NA
"A2RUB6","SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton, microtubule organizing center, centrosome {ECO:0000269|PubMed:28235840, ECO:0000269|PubMed:35849559, ECO:0000269|PubMed:36606424}. Cytoplasm, cytoskeleton, microtubule organizing center, centrosome, centriolar satellite {ECO:0000269|PubMed:28235840, ECO:0000269|PubMed:35849559, ECO:0000269|PubMed:36606424}. Cell projection, cilium {ECO:0000269|PubMed:28235840, ECO:0000269|PubMed:36606424}. Cytoplasm, cytoskeleton, cilium basal body {ECO:0000269|PubMed:28235840, ECO:0000269|PubMed:36606424}. Cytoplasm, cytoskeleton, cilium axoneme {ECO:0000269|PubMed:36606424}. Photoreceptor inner segment {ECO:0000269|PubMed:19777273}. Cell projection, cilium, photoreceptor outer segment {ECO:0000269|PubMed:19777273}. Cytoplasm, cytoskeleton, spindle {ECO:0000269|PubMed:35849559}. Midbody {ECO:0000269|PubMed:35849559}. Note=Restricted to the centrosomes and the spindle microtubules during mitosis (PubMed:28235840). Enriched in the inner segment of the photoreceptor (PubMed:19777273). {ECO:0000269|PubMed:19777273, ECO:0000269|PubMed:28235840}.",NA,NA,NA
"A6NKD9","SUBCELLULAR LOCATION: Cell junction, tight junction {ECO:0000250|UniProtKB:E9Q6B2}. Cell junction, adherens junction {ECO:0000269|PubMed:25009281}. Note=Localizes to the apical junction of radial glia in the wall of lateral ventricles of the developing brain. Colocalizes with TJP1 on the meshwork-like structure of adherens junctions on the lateral ventricles wall. {ECO:0000250|UniProtKB:E9Q6B2}.",NA,NA,NA
"P28906","SUBCELLULAR LOCATION: Membrane; Single-pass type I membrane protein.",NA,"TOPO_DOM 32..290; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 312..385; /note=Cytoplasmic; /evidence=ECO:0000255","TRANSMEM 291..311; /note=Helical; /evidence=ECO:0000255"
"Q9NRR8","SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton. Cell membrane; Lipid-anchor. Note=Recruited to the activated TCR prior actin polymerization.",NA,NA,NA
"P12830","SUBCELLULAR LOCATION: Cell junction, adherens junction {ECO:0000269|PubMed:18343367, ECO:0000269|PubMed:22294297, ECO:0000269|PubMed:27760340, ECO:0000269|PubMed:28169360}. Cell membrane {ECO:0000269|PubMed:19403558, ECO:0000269|PubMed:20859650, ECO:0000269|PubMed:28301459}; Single-pass type I membrane protein. Endosome {ECO:0000269|PubMed:15689490}. Golgi apparatus, trans-Golgi network {ECO:0000269|PubMed:15689490}. Cytoplasm {ECO:0000269|PubMed:22294297}. Cell junction, desmosome {ECO:0000269|PubMed:25208567, ECO:0000269|PubMed:29999492, ECO:0000269|PubMed:33596089}. Note=Colocalizes with DLGAP5 at sites of cell-cell contact in intestinal epithelial cells. Anchored to actin microfilaments through association with alpha-, beta- and gamma-catenin. Sequential proteolysis induced by apoptosis or calcium influx, results in translocation from sites of cell-cell contact to the cytoplasm. Colocalizes with RAB11A endosomes during its transport from the Golgi apparatus to the plasma membrane. Recruited to desmosomes at the initial assembly phase and also accumulates progressively at mature desmosome cell-cell junctions (PubMed:25208567, PubMed:29999492). Localizes to cell-cell contacts as keratinocyte differentiation progresses (By similarity). {ECO:0000250|UniProtKB:P09803, ECO:0000269|PubMed:25208567, ECO:0000269|PubMed:29999492}.",NA,"TOPO_DOM 155..709; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 731..882; /note=Cytoplasmic; /evidence=ECO:0000255","TRANSMEM 710..730; /note=Helical; /evidence=ECO:0000255"
"Q9Y6N8","SUBCELLULAR LOCATION: Cell membrane {ECO:0000305}; Single-pass type I membrane protein {ECO:0000305}.",NA,"TOPO_DOM 55..613; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 635..788; /note=Cytoplasmic; /evidence=ECO:0000255","TRANSMEM 614..634; /note=Helical; /evidence=ECO:0000255"
