Gene	"Gene synonym"	Ensembl	"Gene description"	Uniprot	Chromosome	Position	"Protein class"	"Biological process"	"Molecular function"	"Disease involvement"	Evidence	"HPA evidence"	"UniProt evidence"	"NeXtProt evidence"	"RNA tissue specificity"	"RNA tissue distribution"	"RNA tissue specificity score"	"RNA tissue specific nTPM"	"RNA single cell type specificity"	"RNA single cell type distribution"	"RNA single cell type specificity score"	"RNA single cell type specific nTPM"	"RNA cancer specificity"	"RNA cancer distribution"	"RNA cancer specificity score"	"RNA cancer specific FPKM"	"RNA brain regional specificity"	"RNA brain regional distribution"	"RNA brain regional specificity score"	"RNA brain regional specific nTPM"	"RNA blood cell specificity"	"RNA blood cell distribution"	"RNA blood cell specificity score"	"RNA blood cell specific nTPM"	"RNA blood lineage specificity"	"RNA blood lineage distribution"	"RNA blood lineage specificity score"	"RNA blood lineage specific nTPM"	"RNA cell line specificity"	"RNA cell line distribution"	"RNA cell line specificity score"	"RNA cell line specific nTPM"	"RNA tissue cell type enrichment"	"RNA mouse brain regional specificity"	"RNA mouse brain regional distribution"	"RNA mouse brain regional specificity score"	"RNA mouse brain regional specific nTPM"	"RNA pig brain regional specificity"	"RNA pig brain regional distribution"	"RNA pig brain regional specificity score"	"RNA pig brain regional specific nTPM"	Antibody	"Reliability (IH)"	"Reliability (Mouse Brain)"	"Reliability (IF)"	"Subcellular location"	"Secretome location"	"CCD Protein"	"CCD Transcript"	"Blood concentration - Conc. blood IM [pg/L]"	"Blood concentration - Conc. blood MS [pg/L]"	"Blood expression cluster"	"Tissue expression cluster"	"Cell line expression cluster"	"Single cell expression cluster"	"Subcellular main location"	"Subcellular additional location"	"Antibody RRID"	"Pathology prognostics - Breast cancer"	"Pathology prognostics - Cervical cancer"	"Pathology prognostics - Colorectal cancer"	"Pathology prognostics - Endometrial cancer"	"Pathology prognostics - Glioma"	"Pathology prognostics - Head and neck cancer"	"Pathology prognostics - Liver cancer"	"Pathology prognostics - Lung cancer"	"Pathology prognostics - Melanoma"	"Pathology prognostics - Ovarian cancer"	"Pathology prognostics - Pancreatic cancer"	"Pathology prognostics - Prostate cancer"	"Pathology prognostics - Renal cancer"	"Pathology prognostics - Stomach cancer"	"Pathology prognostics - Testis cancer"	"Pathology prognostics - Thyroid cancer"	"Pathology prognostics - Urothelial cancer"
DONSON	"B17, C21orf60, C2TA, DKFZP434M035"	ENSG00000159147	"DNA replication fork stabilization factor DONSON"	Q9NYP3	21	33559542-33588706	"Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins"		"Developmental protein"	"Disease variant, Dwarfism"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in many"		"Early spermatids: 46.2;Erythroid cells: 37.7;Spermatocytes: 62.2"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Low cancer specificity"	"Detected in all"			"Testis - Early spermatids"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA039558, HPA049033"	Uncertain		Approved	"Nucleoplasm,Cell Junctions,Cytosol"		NA	NA				"Cluster 23: Testis - Cell cycle regulation"	"Cluster 45: Non-specific - Cell proliferation"	"Cluster 43: Non-specific - Cell proliferation"	"Nucleoplasm, Cell Junctions"	Cytosol	"HPA039558: AB_2676570, HPA049033: AB_2680608"	"unprognostic (9.90e-3)"	"unprognostic (1.01e-3)"	"unprognostic (6.58e-2)"	"unprognostic (1.66e-1)"	"unprognostic (3.13e-1)"	"unprognostic (1.93e-2)"	"prognostic unfavorable (8.22e-4)"	"unprognostic (4.00e-2)"	"unprognostic (5.93e-3)"	"prognostic favorable (2.17e-4)"	"unprognostic (1.25e-1)"	"unprognostic (4.10e-3)"	"prognostic unfavorable (0.00e+0)"	"unprognostic (1.77e-2)"	"unprognostic (1.66e-1)"	"unprognostic (2.07e-1)"	"unprognostic (8.83e-2)"
DPEP1		ENSG00000015413	"Dipeptidase 1"	P16444	16	89613308-89638456	"Enzymes, FDA approved drug targets, Metabolic proteins, Predicted intracellular proteins"	"Lipid metabolism"	"Dipeptidase, Hydrolase, Metalloprotease, Protease"	"FDA approved drug targets"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in many"	8	"intestine: 377.4;kidney: 255.9;pancreas: 440.7"	"Group enriched"	"Detected in many"	6	"Peritubular cells: 1223.5;Proximal enterocytes: 4664.5"	"Cancer enriched"	"Detected in many"	8	"colorectal cancer: 107.4"	"Low region specificity"	"Detected in single"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enriched"	"Detected in many"	6	"colorectal cancer: 138.0"	"Kidney - Proximal tubular cells, Kidney - Proximal tubular cells, Stomach - Gastric enteroendocrine cells"	"Not detected"	"Not detected"			"Not detected"	"Not detected"			"HPA009426, HPA012783"	Enhanced		Approved	"Nucleoplasm,Cell Junctions"	"Intracellular and membrane"	NA	NA		370000		"Cluster 29: Non-specific - Vesicular transport"	"Cluster 19: Stomach & Colon cancer - Absorption"	"Cluster 59: Proximal enterocytes - Transmembrane transport"	"Nucleoplasm, Cell Junctions"		"HPA009426: AB_1847842, HPA012783: AB_1847843"	"unprognostic (3.31e-2)"	"unprognostic (3.86e-1)"	"unprognostic (1.37e-1)"	"unprognostic (1.95e-2)"	"unprognostic (1.91e-2)"	"unprognostic (4.93e-2)"	"unprognostic (1.04e-1)"	"unprognostic (1.89e-1)"	"unprognostic (3.45e-2)"	"unprognostic (5.18e-1)"	"unprognostic (8.68e-2)"	"unprognostic (1.27e-1)"	"prognostic favorable (6.84e-4)"	"unprognostic (6.12e-3)"	"unprognostic (1.92e-1)"	"unprognostic (5.23e-2)"	"unprognostic (3.93e-2)"
DPH1	"DPH2L, DPH2L1, OVCA1"	ENSG00000108963	"Diphthamide biosynthesis 1"	Q9BZG8	17	2030137-2043898	"Disease related genes, Enzymes, Human disease related genes, Potential drug targets, Predicted intracellular proteins"		Transferase	"Disease variant, Dwarfism, Ectodermal dysplasia, Hypotrichosis, Intellectual disability, Tumor suppressor"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in many"		"Basal squamous epithelial cells: 28.7;Gastric mucus-secreting cells: 33.4;Squamous epithelial cells: 32.3"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in many"			"Low lineage specificity"	"Detected in many"			"Low cancer specificity"	"Detected in all"				"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA069750, HPA073864"	Approved		Approved	"Nucleoplasm,Cell Junctions"		NA	NA			"Cluster 39: Non-specific - mRNA processing"	"Cluster 72: Non-specific - Transcription"	"Cluster 49: Non-specific - Unknown function"	"Cluster 61: Non-specific - Transcription"	Nucleoplasm	"Cell Junctions"	"HPA069750: AB_2686188, HPA073864: "	"unprognostic (5.54e-2)"	"unprognostic (1.99e-1)"	"unprognostic (1.62e-1)"	"unprognostic (1.86e-2)"	"unprognostic (1.50e-2)"	"unprognostic (1.46e-1)"	"unprognostic (2.21e-1)"	"unprognostic (1.10e-1)"	"unprognostic (3.93e-2)"	"unprognostic (2.30e-1)"	"prognostic favorable (1.78e-5)"	"unprognostic (2.74e-3)"	"unprognostic (2.10e-2)"	"unprognostic (1.03e-1)"	"unprognostic (3.40e-1)"	"unprognostic (7.30e-2)"	"unprognostic (1.41e-1)"
DPPA5	Esg1	ENSG00000203909	"Developmental pluripotency associated 5"	A6NC42	6	73353063-73354276	"Predicted intracellular proteins"		"Developmental protein, RNA-binding"		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at transcript level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in single"		"testis: 2.1"	"Group enriched"	"Detected in some"	14	"Spermatocytes: 3.1;Spermatogonia: 1.8"	"Cancer enriched"	"Detected in single"	2209	"testis cancer: 347.6"	"Not detected"	"Not detected"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enriched"	"Detected in some"	5	"testis cancer: 6.9"		"Low region specificity"	"Detected in single"			"Not detected"	"Not detected"			"HPA055016, HPA064505"	Uncertain		Uncertain	"Cell Junctions"		NA	NA				"Cluster 83: Testis - Spermatogenesis"	"Cluster 60: Keratinocytes - Epithelial cell function"	"Cluster 47: Spermatogonia - Spermatogenesis"	"Cell Junctions"		"HPA055016: , HPA064505: AB_2685275"															"unprognostic (1.85e-1)"		
DSC3	"CDHF3, DSC, DSC1, DSC2, DSC4"	ENSG00000134762	"Desmocollin 3"	Q14574	18	30989365-31042815	"Disease related genes, Human disease related genes, Plasma proteins, Predicted membrane proteins"	"Cell adhesion"		Hypotrichosis	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in many"	5	"esophagus: 99.2;skin 1: 372.6"	"Group enriched"	"Detected in many"	5	"Basal keratinocytes: 528.1;Basal squamous epithelial cells: 320.1;Squamous epithelial cells: 413.8;Suprabasal keratinocytes: 609.7"	"Cancer enhanced"	"Detected in many"		"cervical cancer: 78.6;head and neck cancer: 107.7"	"Not detected"	"Not detected"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Group enriched"	"Detected in many"	6	"Bladder cancer: 20.3;cervical cancer: 32.0;Esophageal cancer: 41.6;Gallbladder cancer: 15.2;head and neck cancer: 59.1"	"Adipose visceral - Mesothelial cells, Skin - Keratinocyte (other)"	"Region enhanced"	"Detected in some"		"hippocampal formation: 3.3"					"CAB037328, HPA049265, HPA073937"	Enhanced		Enhanced	"Plasma membrane,Cell Junctions"		NA	NA		6000000		"Cluster 31: Skin - Epidermis development"	"Cluster 60: Keratinocytes - Epithelial cell function"	"Cluster 22: Squamous epithelial cells - Keratinization"	"Plasma membrane, Cell Junctions"		"CAB037328: , HPA049265: AB_2680695, HPA073937: AB_2686645"	"unprognostic (4.44e-3)"	"unprognostic (6.28e-2)"	"unprognostic (1.46e-1)"	"unprognostic (3.02e-3)"	"unprognostic (2.38e-1)"	"unprognostic (1.32e-2)"	"unprognostic (6.38e-2)"	"unprognostic (1.84e-2)"	"unprognostic (2.41e-1)"	"unprognostic (3.48e-2)"	"unprognostic (3.92e-3)"	"unprognostic (3.13e-1)"	"unprognostic (4.13e-4)"	"unprognostic (1.22e-2)"	"unprognostic (7.85e-2)"	"unprognostic (3.47e-1)"	"prognostic unfavorable (1.04e-5)"
DSG2	CDHF5	ENSG00000046604	"Desmoglein 2"	Q14126	18	31498177-31549008	"Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins"	"Cell adhesion"		"Cardiomyopathy, Disease variant"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"intestine: 105.3;parathyroid gland: 157.8"	"Cell type enhanced"	"Detected in many"		"Distal enterocytes: 254.7"	"Low cancer specificity"	"Detected in all"			"Not detected"	"Not detected"			"Immune cell enriched"	"Detected in single"	13	"basophil: 8.4"	"Lineage enriched"	"Detected in single"	13	"granulocytes: 8.4"	"Low cancer specificity"	"Detected in all"			"Lung - Alveolar cells type 2, Skeletal muscle - Endothelial cells, Testis - Spermatocytes, Testis - Spermatogonia, Thyroid - Thyroid glandular cells"	"Low region specificity"	"Detected in many"			"Low region specificity"	"Detected in many"			"HPA004896, CAB025122"	Enhanced		Supported	"Cell Junctions"		NA	NA		140000000	"Cluster 41: Basophils - Cellular respiration"	"Cluster 87: Intestine & Kidney - Transmembrane transport"	"Cluster 60: Keratinocytes - Epithelial cell function"	"Cluster 74: Pancreatic cells - Mixed function"	"Cell Junctions"		"CAB025122: , HPA004896: AB_1078643"	"unprognostic (1.56e-3)"	"prognostic unfavorable (8.22e-4)"	"prognostic favorable (7.81e-4)"	"unprognostic (8.77e-3)"	"unprognostic (3.53e-4)"	"prognostic unfavorable (5.63e-4)"	"unprognostic (2.86e-3)"	"prognostic unfavorable (2.43e-4)"	"unprognostic (5.21e-2)"	"unprognostic (1.49e-1)"	"prognostic unfavorable (4.94e-5)"	"unprognostic (3.40e-1)"	"prognostic favorable (3.14e-10)"	"unprognostic (1.76e-1)"	"unprognostic (1.51e-1)"	"unprognostic (3.72e-1)"	"unprognostic (8.57e-3)"
DSP	"DPI, DPII, KPPS2, PPKS2"	ENSG00000096696	Desmoplakin	P15924	6	7541617-7586714	"Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins"			"Cardiomyopathy, Disease variant, Epidermolysis bullosa, Palmoplantar keratoderma"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"esophagus: 460.7;skin 1: 854.8"	"Cell type enhanced"	"Detected in many"		"Basal keratinocytes: 2048.3;Cardiomyocytes: 1098.0;Squamous epithelial cells: 1850.5;Suprabasal keratinocytes: 4808.6"	"Cancer enhanced"	"Detected in many"		"head and neck cancer: 314.1"	"Low region specificity"	"Detected in many"			"Immune cell enriched"	"Detected in single"	13	"naive B-cell: 2.0"	"Lineage enriched"	"Detected in single"	20	"B-cells: 2.0"	"Low cancer specificity"	"Detected in many"			"Adipose visceral - Mesothelial cells, Prostate - Prostate basal glandular cells, Skin - Keratinocyte (other), Testis - Spermatocytes, Thyroid - Thyroid glandular cells"	"Region enriched"	"Detected in single"	23	"hippocampal formation: 11.6"	"Region enhanced"	"Detected in many"		"spinal cord: 9.5"	"CAB037324, HPA045840, HPA054950"	Enhanced		Supported	"Cell Junctions"		NA	NA		100000000	"Cluster 21: B-cells - Adaptive immune response"	"Cluster 31: Skin - Epidermis development"	"Cluster 60: Keratinocytes - Epithelial cell function"	"Cluster 22: Squamous epithelial cells - Keratinization"	"Cell Junctions"		"CAB037324: , HPA045840: AB_2679468, HPA054950: AB_2682645"	"unprognostic (1.65e-1)"	"unprognostic (3.09e-1)"	"unprognostic (6.13e-2)"	"unprognostic (1.05e-2)"	"unprognostic (1.09e-1)"	"unprognostic (2.05e-2)"	"unprognostic (3.82e-2)"	"unprognostic (7.03e-3)"	"unprognostic (1.28e-1)"	"unprognostic (2.64e-2)"	"unprognostic (5.02e-2)"	"unprognostic (2.94e-2)"	"prognostic favorable (1.53e-9)"	"unprognostic (2.45e-1)"	"unprognostic (2.88e-1)"	"unprognostic (8.38e-2)"	"prognostic unfavorable (1.82e-4)"
DTNA	"D18S892E, DRP3, DTN, DTN-1, DTN-2, DTN-3"	ENSG00000134769	"Dystrobrevin alpha"	Q9Y4J8	18	34493290-34891844	"Disease related genes, Human disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters"			"Cardiomyopathy, Disease variant"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in many"	7	"brain: 461.9;choroid plexus: 120.6;heart muscle: 150.0;skeletal muscle: 166.9;tongue: 209.9"	"Cell type enhanced"	"Detected in many"		"Astrocytes: 1701.5;Excitatory neurons: 498.6;Inhibitory neurons: 637.7;Oligodendrocyte precursor cells: 470.8;Oligodendrocytes: 346.8"	"Cancer enriched"	"Detected in many"	9	"glioma: 28.2"	"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in many"			"Low lineage specificity"	"Detected in many"			"Low cancer specificity"	"Detected in many"			"Adipose subcutaneous - Smooth muscle cells, Colon - Smooth muscle cells, Prostate - Smooth muscle cells, Skeletal muscle - Skeletal myocytes, Testis - Sertoli cells, Thyroid - Thyroid glandular cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"CAB015196, HPA071177"	Enhanced		Approved	"Nucleoplasm,Cell Junctions,Intermediate filaments"		NA	NA			"Cluster 35: T-regs - Unknown function"	"Cluster 70: Brain - Nervous system development"	"Cluster 29: TT & NCI-H1385 - Synaptic signal transduction"	"Cluster 63: Astrocytes - Nervous system maintenance"	"Cell Junctions, Intermediate filaments"	Nucleoplasm	"CAB015196: AB_2261797, HPA071177: "	"unprognostic (1.57e-1)"	"unprognostic (4.57e-2)"	"unprognostic (3.13e-3)"	"unprognostic (7.82e-6)"	"unprognostic (5.03e-1)"	"unprognostic (2.43e-3)"	"unprognostic (2.73e-1)"	"unprognostic (7.42e-2)"	"unprognostic (1.23e-1)"	"unprognostic (6.27e-2)"	"unprognostic (1.35e-4)"	"unprognostic (6.89e-2)"	"prognostic favorable (2.64e-7)"	"unprognostic (6.08e-3)"	"unprognostic (3.93e-2)"	"unprognostic (1.12e-1)"	"unprognostic (7.27e-5)"
EDA2R	"EDA-A2R, EDAA2R, TNFRSF27, XEDAR"	ENSG00000131080	"Ectodysplasin A2 receptor"	Q9HAV5	X	66595637-66639298	"Predicted membrane proteins"	Differentiation	"Developmental protein, Receptor"		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in many"			"Cell type enriched"	"Detected in many"	6	"Skeletal myocytes: 48.5"	"Low cancer specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in many"		"testis cancer: 25.2"	"Adipose subcutaneous - Adipose progenitor cells, Skeletal muscle - Fibroblasts"	"Not detected"	"Not detected"							HPA054522			Approved	"Cell Junctions"		NA	NA				"Cluster 89: Fibroblasts - ECM organization"	"Cluster 68: Kidney - Mixed function"	"Cluster 27: Skeletal myocytes - Muscle contraction"	"Cell Junctions"		"HPA054522: AB_2682516"	"unprognostic (1.31e-3)"	"unprognostic (3.17e-3)"	"unprognostic (2.19e-1)"	"unprognostic (8.49e-3)"	"unprognostic (4.15e-3)"	"unprognostic (3.63e-3)"	"unprognostic (2.48e-2)"	"unprognostic (3.37e-2)"	"unprognostic (2.82e-1)"	"unprognostic (7.17e-2)"	"unprognostic (6.04e-2)"	"unprognostic (2.74e-1)"	"unprognostic (1.01e-1)"	"unprognostic (2.12e-2)"	"unprognostic (8.23e-2)"	"unprognostic (4.92e-2)"	"unprognostic (3.08e-1)"
EFCAB11	C14orf143	ENSG00000140025	"EF-hand calcium binding domain 11"	Q9BUY7	14	89794669-89954777	"Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in all"		"testis: 36.8"	"Group enriched"	"Detected in many"	6	"Early spermatids: 430.3;Late spermatids: 435.8;Oligodendrocytes: 132.1"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Immune cell enhanced"	"Detected in many"		"basophil: 14.9"	"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Testis - Early spermatids, Testis - Late spermatids, Thyroid - Thyroid glandular cells"	"Low region specificity"	"Detected in some"			"Low region specificity"	"Detected in all"			HPA051209			Approved	"Cell Junctions,Cytosol"		NA	NA			"Cluster 18: Basophils - Vesicular transport"	"Cluster 49: Ciliated cells - Cilium organization"	"Cluster 46: Non-specific - Unknown function"	"Cluster 36: Spermatids - Spermatogenesis"	"Cell Junctions, Cytosol"		"HPA051209: AB_2681389"	"unprognostic (1.03e-1)"	"unprognostic (6.10e-3)"	"unprognostic (2.36e-2)"	"unprognostic (2.00e-3)"	"unprognostic (2.39e-1)"	"unprognostic (3.74e-3)"	"unprognostic (1.38e-1)"	"unprognostic (2.77e-1)"	"unprognostic (1.00e-2)"	"unprognostic (3.37e-2)"	"unprognostic (1.77e-1)"	"unprognostic (2.24e-1)"	"unprognostic (3.84e-7)"	"unprognostic (4.16e-2)"	"unprognostic (1.95e-1)"	"unprognostic (9.82e-2)"	"unprognostic (8.45e-2)"
EGFR	"ERBB, ERBB1"	ENSG00000146648	"Epidermal growth factor receptor"	P00533	7	55019017-55211628	"Cancer-related genes, Disease related genes, Enzymes, FDA approved drug targets, Human disease related genes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins, RAS pathway related proteins"	"Host-virus interaction"	"Developmental protein, Host cell receptor for virus entry, Kinase, Receptor, Transferase, Tyrosine-protein kinase"	"Cancer-related genes, Disease variant, FDA approved drug targets, Proto-oncogene"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in many"			"Cell type enhanced"	"Detected in many"		"Cytotrophoblasts: 281.0;Salivary duct cells: 238.8;Syncytiotrophoblasts: 433.6"	"Cancer enhanced"	"Detected in all"		"glioma: 136.0"	"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Low cancer specificity"	"Detected in many"			"Heart muscle - Fibroblasts, Prostate - Prostate basal glandular cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"CAB000035, HPA001200, HPA018530, CAB068186, CAB073534"	Enhanced		Enhanced	"Plasma membrane,Cell Junctions"	"Secreted to blood"	NA	NA	4740000	88000000		"Cluster 31: Skin - Epidermis development"	"Cluster 60: Keratinocytes - Epithelial cell function"	"Cluster 65: Fibroblasts - ECM organization"	"Plasma membrane, Cell Junctions"		"CAB000035: , CAB068186: AB_2665679, CAB073534: , HPA001200: AB_1078723, HPA018530: AB_1848044"	"unprognostic (2.62e-2)"	"unprognostic (9.56e-3)"	"unprognostic (1.59e-1)"	"unprognostic (7.51e-2)"	"unprognostic (1.08e-1)"	"unprognostic (1.27e-2)"	"unprognostic (6.11e-2)"	"unprognostic (4.88e-2)"	"unprognostic (2.85e-2)"	"unprognostic (3.30e-3)"	"unprognostic (1.78e-3)"	"unprognostic (1.04e-1)"	"unprognostic (1.93e-3)"	"unprognostic (6.98e-3)"	"unprognostic (1.72e-1)"	"unprognostic (6.62e-2)"	"prognostic unfavorable (2.04e-5)"
ELFN1	PPP1R28	ENSG00000225968	"Extracellular leucine rich repeat and fibronectin type III domain containing 1"	P0C7U0	7	1688119-1747954	"Predicted membrane proteins"		"Protein phosphatase inhibitor"		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"brain: 7.2;liver: 14.5"	"Cell type enhanced"	"Detected in some"		"Cone photoreceptor cells: 17.2;Endothelial cells: 5.8;Hepatocytes: 10.7;Inhibitory neurons: 18.7;Rod photoreceptor cells: 6.6"	"Low cancer specificity"	"Detected in many"			"Low region specificity"	"Detected in many"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in many"		"Rhabdoid: 9.6;Sarcoma: 14.1"	"Colon - Endothelial cells, Liver - Hepatocytes, Testis - Spermatogonia"	"Low region specificity"	"Detected in many"			"Low region specificity"	"Detected in many"			HPA066382			Approved	"Nucleoplasm,Cell Junctions"		NA	NA		43000		"Cluster 15: Liver - Metabolism"	"Cluster 23: B-cell cancers - Adaptive immune response"	"Cluster 37: Neurons - Neuronal signaling"	"Nucleoplasm, Cell Junctions"		"HPA066382: AB_2732744"	"unprognostic (8.45e-2)"	"unprognostic (3.39e-3)"	"unprognostic (6.54e-4)"	"unprognostic (1.64e-1)"	"unprognostic (1.30e-1)"	"unprognostic (1.44e-1)"	"prognostic favorable (9.68e-4)"	"unprognostic (4.60e-3)"	"unprognostic (1.63e-3)"	"unprognostic (6.60e-2)"	"unprognostic (4.14e-3)"	"unprognostic (1.11e-2)"	"unprognostic (2.31e-2)"	"unprognostic (7.47e-3)"	"unprognostic (8.63e-2)"	"unprognostic (2.78e-1)"	"unprognostic (4.07e-1)"
ELMO3	"CED-12, CED12, ELMO-3, FLJ13824"	ENSG00000102890	"Engulfment and cell motility 3"	Q96BJ8	16	67199111-67204029	"Predicted intracellular proteins"	"Apoptosis, Phagocytosis"			"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in many"			"Cell type enhanced"	"Detected in many"		"Distal enterocytes: 69.4;Proximal enterocytes: 96.5"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in many"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Low cancer specificity"	"Detected in all"			"Breast - Breast glandular cells, Skin - Keratinocyte (other), Testis - Early spermatids, Testis - Late spermatids"	"Low region specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			HPA021484	Approved		Approved	"Plasma membrane,Cell Junctions"		NA	NA				"Cluster 29: Non-specific - Vesicular transport"	"Cluster 60: Keratinocytes - Epithelial cell function"	"Cluster 26: Intestinal epithelial cells - Absorption"	"Plasma membrane, Cell Junctions"		"HPA021484: AB_1848129"	"unprognostic (4.49e-3)"	"unprognostic (2.04e-1)"	"unprognostic (1.10e-2)"	"unprognostic (8.08e-2)"	"unprognostic (1.39e-1)"	"unprognostic (6.16e-3)"	"unprognostic (3.14e-1)"	"unprognostic (8.17e-3)"	"unprognostic (1.73e-1)"	"unprognostic (8.06e-2)"	"unprognostic (3.40e-2)"	"unprognostic (6.95e-3)"	"prognostic favorable (2.77e-5)"	"unprognostic (3.47e-1)"	"unprognostic (2.66e-1)"	"unprognostic (1.84e-1)"	"unprognostic (1.97e-2)"
ELOC	"SIII, TCEB1"	ENSG00000154582	"Elongin C"	Q15369	8	73939169-73972287	"Plasma proteins, Predicted intracellular proteins"	"Host-virus interaction, Transcription, Transcription regulation, Ubl conjugation pathway"			"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in all"		"Early spermatids: 674.2"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Testis - Early spermatids"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA078113			Approved	"Nucleoli,Vesicles,Cell Junctions"		NA	NA		140000	"Cluster 31: Non-specific - Inflammatory response"	"Cluster 39: Non-specific - Mitochondria"	"Cluster 25: Non-specific - Basic cellular processes"	"Cluster 18: Non-specific - Mixed function"	Vesicles	"Nucleoli, Cell Junctions"	"HPA078113: AB_2686877"	"prognostic unfavorable (6.48e-4)"	"unprognostic (1.60e-1)"	"unprognostic (3.14e-1)"	"unprognostic (2.83e-2)"	"unprognostic (2.46e-2)"	"unprognostic (8.02e-3)"	"unprognostic (5.84e-3)"	"unprognostic (2.19e-2)"	"unprognostic (1.77e-1)"	"unprognostic (6.99e-3)"	"unprognostic (4.02e-3)"	"unprognostic (3.33e-2)"	"unprognostic (2.77e-3)"	"unprognostic (3.84e-2)"	"unprognostic (5.33e-2)"	"unprognostic (1.67e-1)"	"unprognostic (8.95e-2)"
