Gene	"Gene synonym"	Ensembl	"Gene description"	Uniprot	Chromosome	Position	"Protein class"	"Biological process"	"Molecular function"	"Disease involvement"	Evidence	"HPA evidence"	"UniProt evidence"	"NeXtProt evidence"	"RNA tissue specificity"	"RNA tissue distribution"	"RNA tissue specificity score"	"RNA tissue specific nTPM"	"RNA single cell type specificity"	"RNA single cell type distribution"	"RNA single cell type specificity score"	"RNA single cell type specific nTPM"	"RNA cancer specificity"	"RNA cancer distribution"	"RNA cancer specificity score"	"RNA cancer specific FPKM"	"RNA brain regional specificity"	"RNA brain regional distribution"	"RNA brain regional specificity score"	"RNA brain regional specific nTPM"	"RNA blood cell specificity"	"RNA blood cell distribution"	"RNA blood cell specificity score"	"RNA blood cell specific nTPM"	"RNA blood lineage specificity"	"RNA blood lineage distribution"	"RNA blood lineage specificity score"	"RNA blood lineage specific nTPM"	"RNA cell line specificity"	"RNA cell line distribution"	"RNA cell line specificity score"	"RNA cell line specific nTPM"	"RNA tissue cell type enrichment"	"RNA mouse brain regional specificity"	"RNA mouse brain regional distribution"	"RNA mouse brain regional specificity score"	"RNA mouse brain regional specific nTPM"	"RNA pig brain regional specificity"	"RNA pig brain regional distribution"	"RNA pig brain regional specificity score"	"RNA pig brain regional specific nTPM"	Antibody	"Reliability (IH)"	"Reliability (Mouse Brain)"	"Reliability (IF)"	"Subcellular location"	"Secretome location"	"CCD Protein"	"CCD Transcript"	"Blood concentration - Conc. blood IM [pg/L]"	"Blood concentration - Conc. blood MS [pg/L]"	"Blood expression cluster"	"Tissue expression cluster"	"Cell line expression cluster"	"Single cell expression cluster"	"Subcellular main location"	"Subcellular additional location"	"Antibody RRID"	"Pathology prognostics - Breast cancer"	"Pathology prognostics - Cervical cancer"	"Pathology prognostics - Colorectal cancer"	"Pathology prognostics - Endometrial cancer"	"Pathology prognostics - Glioma"	"Pathology prognostics - Head and neck cancer"	"Pathology prognostics - Liver cancer"	"Pathology prognostics - Lung cancer"	"Pathology prognostics - Melanoma"	"Pathology prognostics - Ovarian cancer"	"Pathology prognostics - Pancreatic cancer"	"Pathology prognostics - Prostate cancer"	"Pathology prognostics - Renal cancer"	"Pathology prognostics - Stomach cancer"	"Pathology prognostics - Testis cancer"	"Pathology prognostics - Thyroid cancer"	"Pathology prognostics - Urothelial cancer"
AUP1		ENSG00000115307	"AUP1 lipid droplet regulating VLDL assembly factor"	Q9Y679	2	74526645-74529760	"Predicted membrane proteins"	"Host-virus interaction"			"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"				"Low region specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			HPA007674	Approved		Approved	Nucleoplasm,Vesicles		NA	NA			"Cluster 12: Non-specific - Basic cellular processes"	"Cluster 22: Non-specific - Unknown function"	"Cluster 37: Ovarian cancer RMG-I - Cellular stress response"	"Cluster 40: Plasma cells - Humoral immune response"	"Nucleoplasm, Vesicles"		"HPA007674: AB_1078251"	"unprognostic (1.09e-1)"	"unprognostic (2.95e-2)"	"unprognostic (1.97e-2)"	"unprognostic (2.11e-2)"	"unprognostic (5.97e-2)"	"unprognostic (2.96e-3)"	"prognostic unfavorable (2.29e-4)"	"unprognostic (2.00e-1)"	"unprognostic (2.73e-1)"	"unprognostic (3.79e-2)"	"unprognostic (2.77e-1)"	"unprognostic (3.65e-1)"	"prognostic unfavorable (2.97e-9)"	"unprognostic (9.68e-2)"	"unprognostic (1.59e-1)"	"unprognostic (3.35e-1)"	"unprognostic (3.96e-2)"
AXIN1	PPP1R49	ENSG00000103126	"Axin 1"	O15169	16	287440-352723	"Cancer-related genes, Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins"	"Apoptosis, Wnt signaling pathway"	"Developmental protein"	"Cancer-related genes, Disease variant, Tumor suppressor"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in many"		"NK-cells: 39.6"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in many"			"Low lineage specificity"	"Detected in many"			"Low cancer specificity"	"Detected in all"				"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			CAB012987	Approved		Supported	Nucleoli,Vesicles		NA	NA			"Cluster 36: GdT-cells - Adaptive immune response"	"Cluster 59: Non-specific - Translation"	"Cluster 8: Non-specific - Transcription"	"Cluster 7: NK-cells - Immune response regulation"	"Nucleoli, Vesicles"		"CAB012987: AB_2533178"	"unprognostic (3.81e-2)"	"unprognostic (1.56e-1)"	"unprognostic (1.90e-1)"	"unprognostic (7.64e-2)"	"unprognostic (1.90e-1)"	"unprognostic (1.06e-1)"	"prognostic unfavorable (3.38e-5)"	"unprognostic (1.23e-1)"	"unprognostic (3.58e-1)"	"unprognostic (1.56e-1)"	"unprognostic (4.58e-2)"	"unprognostic (2.02e-2)"	"unprognostic (1.57e-1)"	"unprognostic (4.41e-2)"	"unprognostic (1.94e-1)"	"unprognostic (1.23e-2)"	"unprognostic (1.03e-1)"
AXL	"ARK, JTK11, Tyro7, UFO"	ENSG00000167601	"AXL receptor tyrosine kinase"	P30530	19	41219223-41261766	"Disease related genes, Enzymes, FDA approved drug targets, Plasma proteins, Predicted membrane proteins"	"Differentiation, Host-virus interaction, Immunity, Innate immunity"	"Host cell receptor for virus entry, Kinase, Receptor, Transferase, Tyrosine-protein kinase"	"FDA approved drug targets, Oncogene, Proto-oncogene"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in many"		"Fibroblasts: 111.4;Langerhans cells: 190.8;Peritubular cells: 77.9;Sertoli cells: 138.2;Smooth muscle cells: 116.7"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Immune cell enhanced"	"Detected in some"		"NK-cell: 11.1;plasmacytoid DC: 25.7"	"Group enriched"	"Detected in many"	12	"dendritic cells: 25.7;NK-cells: 11.1"	"Low cancer specificity"	"Detected in many"			"Testis - Sertoli cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"CAB032501, HPA037422, HPA037423, HPA075217"	Uncertain		Supported	"Vesicles,Plasma membrane,Actin filaments"		NA	Yes	12100000	72000000	"Cluster 47: Plasmacytoid DCs - Protein folding"	"Cluster 57: Non-specific - Angiogenesis"	"Cluster 3: HUVEC & TIME - Signal transduction"	"Cluster 72: Smooth muscle cells - ECM organization"	"Plasma membrane"	"Vesicles, Actin filaments"	"CAB032501: AB_2062572, HPA037422: AB_10672347, HPA037423: AB_2675470, HPA075217: "	"unprognostic (2.20e-1)"	"unprognostic (2.02e-1)"	"unprognostic (6.79e-3)"	"unprognostic (1.01e-1)"	"unprognostic (1.40e-1)"	"unprognostic (8.49e-3)"	"unprognostic (2.42e-1)"	"unprognostic (1.74e-1)"	"unprognostic (3.15e-2)"	"unprognostic (2.82e-2)"	"unprognostic (9.57e-3)"	"unprognostic (1.98e-1)"	"prognostic unfavorable (2.53e-7)"	"unprognostic (1.16e-3)"	"unprognostic (1.52e-2)"	"unprognostic (5.56e-2)"	"unprognostic (4.83e-3)"
AZGP1	"ZA2G, ZAG"	ENSG00000160862	"Alpha-2-glycoprotein 1, zinc-binding"	P25311	7	99966720-99976042	"Cancer-related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins"			"Cancer-related genes"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"liver: 2809.6;salivary gland: 3847.3"	"Cell type enhanced"	"Detected in many"		"Breast glandular cells: 1513.8;Hepatocytes: 4265.3;Mucus glandular cells: 2215.4;Prostatic glandular cells: 4270.8;Serous glandular cells: 3475.0"	"Group enriched"	"Detected in many"	12	"breast cancer: 412.6;liver cancer: 273.6;prostate cancer: 469.5"	"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in many"		"breast cancer: 193.9;prostate cancer: 78.2"	"Adipose subcutaneous - Adipocytes (Subcutaneous), Adipose visceral - Adipocytes (Visceral), Breast - Breast glandular cells, Kidney - Proximal tubular cells, Kidney - Proximal tubular cells, Liver - Hepatocytes, Liver - Hepatocytes, Prostate - Prostate glandular cells, Stomach - Chief cells"	"Not detected"	"Not detected"			"Low region specificity"	"Detected in all"			"HPA012582, HPA012876, CAB016087, CAB032276"	Enhanced		Approved	Nucleoplasm,Vesicles	"Secreted to blood"	NA	NA	55200000000	74000000000		"Cluster 29: Non-specific - Vesicular transport"	"Cluster 19: Stomach & Colon cancer - Absorption"	"Cluster 21: Serous glandular cells - Salivary secretion"	Vesicles	Nucleoplasm	"CAB016087: AB_667849, CAB032276: AB_2062580, HPA012582: AB_1845226, HPA012876: "	"unprognostic (8.14e-2)"	"unprognostic (1.50e-1)"	"unprognostic (3.41e-1)"	"unprognostic (5.42e-3)"	"unprognostic (4.98e-2)"	"unprognostic (5.74e-3)"	"prognostic favorable (2.90e-4)"	"unprognostic (1.50e-1)"	"unprognostic (1.85e-1)"	"unprognostic (2.19e-1)"	"unprognostic (2.35e-2)"	"unprognostic (1.79e-1)"	"prognostic favorable (1.53e-4)"	"unprognostic (2.18e-1)"	"unprognostic (2.08e-2)"	"unprognostic (9.80e-2)"	"unprognostic (3.51e-3)"
AZIN1	"OAZI, OAZIN, ODC1L"	ENSG00000155096	"Antizyme inhibitor 1"	O14977	8	102826308-102893864	"Predicted intracellular proteins"	"Polyamine biosynthesis"			"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in all"		"Syncytiotrophoblasts: 306.1"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Testis - Spermatocytes, Testis - Spermatogonia, Thyroid - Thyroid glandular cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA027948	Approved		Approved	Vesicles		NA	NA			"Cluster 18: Basophils - Vesicular transport"	"Cluster 75: Bone marrow - mRNA splicing & Cell cycle"	"Cluster 25: Non-specific - Basic cellular processes"	"Cluster 75: Myeloid cells - Innate immune response"	Vesicles		"HPA027948: AB_10602391"	"unprognostic (1.16e-2)"	"unprognostic (4.81e-3)"	"unprognostic (2.23e-1)"	"unprognostic (1.41e-1)"	"unprognostic (8.55e-2)"	"unprognostic (3.41e-2)"	"unprognostic (7.19e-2)"	"unprognostic (1.51e-2)"	"unprognostic (2.10e-1)"	"unprognostic (2.24e-1)"	"unprognostic (2.07e-3)"	"unprognostic (4.33e-3)"	"unprognostic (1.25e-2)"	"unprognostic (1.08e-1)"	"unprognostic (2.83e-1)"	"unprognostic (3.08e-2)"	"unprognostic (1.68e-1)"
AZU1	"AZAMP, AZU, CAP37, HBP, HUMAZUR, NAZC"	ENSG00000172232	"Azurocidin 1"	P20160	19	825097-832018	"Enzymes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins"	Chemotaxis	"Antibiotic, Antimicrobial, Heparin-binding, Serine protease homolog"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in some"	48	"bone marrow: 1578.1"	"Cell type enhanced"	"Detected in some"		"Breast glandular cells: 4.5;Breast myoepithelial cells: 5.3;Endometrial ciliated cells: 10.7;Erythroid cells: 6.5;Hofbauer cells: 4.9;Kupffer cells: 5.2;Respiratory ciliated cells: 7.1;Spermatogonia: 7.3"	"Low cancer specificity"	"Detected in some"			"Not detected"	"Not detected"			"Immune cell enriched"	"Detected in single"	9	"neutrophil: 3.3"	"Lineage enriched"	"Detected in single"	9	"granulocytes: 3.3"	"Cancer enriched"	"Detected in single"	43	"Leukemia: 40.5"	"Liver - Erythroid cells, Lung - Neutrophil_1"					"Not detected"	"Not detected"			"HPA055851, HPA075964"	Enhanced		Enhanced	Vesicles	"Secreted to blood"	NA	NA		320000	"Cluster 1: Neutrophils - Mixed function"	"Cluster 67: Neutrophils - Humoral immune response"	"Cluster 66: Myeloid cells - Innate immune response"	"Cluster 33: Macrophages - Degranulation"	Vesicles		"HPA055851: AB_2682943, HPA075964: "	"unprognostic (1.12e-2)"	"unprognostic (3.71e-2)"	"unprognostic (4.44e-2)"	"unprognostic (8.85e-3)"	"unprognostic (1.62e-2)"	"unprognostic (1.29e-1)"	"unprognostic (1.39e-1)"	"unprognostic (8.12e-2)"	"unprognostic (3.32e-1)"	"unprognostic (4.22e-3)"	"unprognostic (2.58e-1)"	"unprognostic (1.50e-1)"	"unprognostic (1.01e-6)"	"unprognostic (1.11e-2)"	"unprognostic (1.10e-1)"	"unprognostic (2.46e-2)"	"unprognostic (3.04e-2)"
B3GALNT1	"B3GALT3, beta3Gal-T3, galT3, GLOB, P1"	ENSG00000169255	"Beta-1,3-N-acetylgalactosaminyltransferase 1 (globoside blood group)"	O75752	3	161083883-161105411	"Blood group antigen proteins, Enzymes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins"	"Lipid metabolism"	"Blood group antigen, Glycosyltransferase, Transferase"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in all"		"heart muscle: 53.3"	"Cell type enhanced"	"Detected in many"		"Bipolar cells: 79.7;Cardiomyocytes: 68.9;Horizontal cells: 40.4"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Group enriched"	"Detected in some"	7	"basophil: 8.8;NK-cell: 22.1"	"Group enriched"	"Detected in many"	7	"granulocytes: 8.8;NK-cells: 22.1"	"Low cancer specificity"	"Detected in all"			"Thyroid - Thyroid glandular cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA041204			Approved	Vesicles		NA	NA		400000	"Cluster 48: NK-cells - Unknown function"	"Cluster 44: Heart - Cardiac muscle contraction"	"Cluster 65: Breast cancer - Unknown function"	"Cluster 35: Bipolar cells - Visual perception"	Vesicles		"HPA041204: AB_10795585"	"unprognostic (3.85e-2)"	"unprognostic (5.11e-3)"	"unprognostic (3.02e-1)"	"unprognostic (1.06e-2)"	"unprognostic (7.83e-2)"	"unprognostic (4.07e-2)"	"unprognostic (9.26e-5)"	"unprognostic (1.49e-2)"	"unprognostic (1.12e-2)"	"unprognostic (1.88e-2)"	"unprognostic (3.44e-2)"	"unprognostic (3.24e-1)"	"unprognostic (2.09e-3)"	"unprognostic (1.32e-1)"	"unprognostic (4.90e-2)"	"unprognostic (3.66e-2)"	"unprognostic (3.19e-3)"
B3GAT1	"CD57, GlcAT-P, HNK-1, LEU7, NK-1"	ENSG00000109956	"Beta-1,3-glucuronyltransferase 1"	Q9P2W7	11	134378504-134412242	"Enzymes, Metabolic proteins, Predicted intracellular proteins, Predicted secreted proteins"		Transferase		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in many"	6	"brain: 195.2"	"Cell type enhanced"	"Detected in some"		"Astrocytes: 26.6;Bipolar cells: 30.9;Excitatory neurons: 36.6;Horizontal cells: 41.7;Inhibitory neurons: 29.6;Muller glia cells: 97.3;Oligodendrocyte precursor cells: 31.8;Oligodendrocytes: 73.4"	"Group enriched"	"Detected in some"	11	"glioma: 10.8;prostate cancer: 3.5;thyroid cancer: 4.1"	"Low region specificity"	"Detected in all"			"Immune cell enhanced"	"Detected in single"		"gdT-cell: 1.1"	"Lineage enriched"	"Detected in single"	12	"T-cells: 1.1"	"Cancer enhanced"	"Detected in many"		"Neuroblastoma: 7.7;skin cancer: 7.8"	"Heart muscle - T-cells, Stomach - Chief cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"CAB002500, CAB010893, HPA069468, HPA074314"	Enhanced		Enhanced	Vesicles	"Secreted in brain"	NA	NA			"Cluster 36: GdT-cells - Adaptive immune response"	"Cluster 65: Brain - Ion transport"	"Cluster 28: Bone cancer CADO-ES1 - Glutamate signalling"	"Cluster 68: Muller glia cells - Visual perception"	Vesicles		"CAB002500: AB_563601, CAB010893: AB_1078474, HPA069468: AB_2686138, HPA074314: "	"unprognostic (6.72e-2)"	"unprognostic (3.97e-4)"	"unprognostic (2.13e-2)"	"unprognostic (1.40e-3)"	"unprognostic (5.52e-2)"	"unprognostic (2.60e-3)"	"unprognostic (6.30e-2)"	"unprognostic (1.96e-2)"	"unprognostic (8.74e-2)"	"unprognostic (2.72e-1)"	"unprognostic (1.57e-3)"	"unprognostic (1.58e-1)"	"unprognostic (9.34e-3)"	"unprognostic (3.87e-3)"	"unprognostic (2.42e-1)"	"unprognostic (4.07e-2)"	"unprognostic (2.26e-2)"
B3GNT2	"B3GN-T1, B3GN-T2, B3GNT-2, B3GNT1, BETA3GNT"	ENSG00000170340	"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 2"	Q9NY97	2	62196115-62224731	"Enzymes, Metabolic proteins, Plasma proteins, Predicted membrane proteins"		"Glycosyltransferase, Transferase"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell type specificity"	"Detected in many"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Lung - Alveolar cells type 1"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA005997	Approved		Approved	Vesicles		NA	NA		99000000	"Cluster 5: Granulocytes - Unknown function"	"Cluster 40: Neutrophils - Inflammatory response"	"Cluster 9: Lymphoid cancers - Immune response"	"Cluster 72: Smooth muscle cells - ECM organization"	Vesicles		"HPA005997: AB_1845234"	"unprognostic (1.38e-1)"	"unprognostic (1.13e-1)"	"unprognostic (1.28e-1)"	"unprognostic (2.64e-2)"	"unprognostic (1.23e-2)"	"unprognostic (1.67e-1)"	"unprognostic (1.51e-1)"	"unprognostic (1.55e-2)"	"unprognostic (2.13e-2)"	"unprognostic (3.76e-1)"	"prognostic unfavorable (1.62e-4)"	"unprognostic (3.63e-1)"	"unprognostic (1.11e-2)"	"unprognostic (9.55e-2)"	"unprognostic (3.05e-2)"	"unprognostic (3.18e-1)"	"unprognostic (1.25e-1)"
B3GNTL1	B3GNT8	ENSG00000175711	"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase like 1"	Q67FW5	17	82942155-83051810	"Metabolic proteins, Predicted intracellular proteins"		"Glycosyltransferase, Transferase"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in many"			"Cell type enhanced"	"Detected in many"		"Late spermatids: 21.3;Respiratory ciliated cells: 19.3"	"Low cancer specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"				"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA023585, HPA024547"	Supported		Approved	"Nucleoli,Nucleoli fibrillar center,Vesicles"		NA	NA			"Cluster 9: Neutrophils - Innate immune response"	"Cluster 40: Neutrophils - Inflammatory response"	"Cluster 66: Myeloid cells - Innate immune response"	"Cluster 56: Ciliated cells - Cilium assembly"	"Nucleoli, Nucleoli fibrillar center"	Vesicles	"HPA023585: AB_2061075, HPA024547: AB_1845240"	"unprognostic (1.51e-2)"	"unprognostic (9.84e-2)"	"unprognostic (4.11e-1)"	"unprognostic (2.34e-1)"	"unprognostic (1.38e-1)"	"unprognostic (8.11e-2)"	"unprognostic (2.61e-7)"	"unprognostic (9.95e-2)"	"unprognostic (2.62e-1)"	"unprognostic (1.62e-1)"	"unprognostic (8.74e-2)"	"unprognostic (2.80e-2)"	"unprognostic (4.17e-9)"	"unprognostic (2.02e-1)"	"unprognostic (1.47e-1)"	"unprognostic (1.88e-1)"	"unprognostic (3.39e-3)"
B4GALNT3	"B4GalNac-T3, FLJ16224, FLJ40362"	ENSG00000139044	"Beta-1,4-N-acetyl-galactosaminyltransferase 3"	Q6L9W6	12	459939-563509	"Enzymes, Metabolic proteins, Predicted intracellular proteins"		"Glycosyltransferase, Transferase"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"stomach 1: 61.0"	"Cell type enhanced"	"Detected in many"		"Distal enterocytes: 44.4;Excitatory neurons: 32.1;Gastric mucus-secreting cells: 131.8;Glandular and luminal cells: 49.5;Late spermatids: 88.2"	"Low cancer specificity"	"Detected in many"			"Low region specificity"	"Detected in single"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Low cancer specificity"	"Detected in many"			"Colon - Colon enterocytes, Lung - Alveolar cells type 2, Testis - Early spermatids, Testis - Late spermatids"	"Not detected"	"Not detected"			"Low region specificity"	"Detected in many"			HPA011404	Enhanced		Supported	"Golgi apparatus,Vesicles"	"Intracellular and membrane"	NA	NA				"Cluster 24: Salivary gland - Salivary secretion"	"Cluster 46: Non-specific - Unknown function"	"Cluster 14: Endometrium - Transcription regulation"	"Golgi apparatus"	Vesicles	"HPA011404: AB_1845242"	"unprognostic (2.38e-2)"	"unprognostic (9.59e-3)"	"unprognostic (1.38e-1)"	"prognostic favorable (1.69e-10)"	"unprognostic (4.22e-2)"	"unprognostic (4.63e-2)"	"unprognostic (1.46e-2)"	"unprognostic (9.53e-3)"	"unprognostic (3.29e-1)"	"unprognostic (1.61e-1)"	"unprognostic (1.23e-1)"	"unprognostic (1.02e-1)"	"unprognostic (5.46e-2)"	"unprognostic (9.99e-3)"	"unprognostic (2.82e-1)"	"unprognostic (2.48e-2)"	"unprognostic (2.98e-1)"
B4GALNT4	"FLJ25045, NGalNAc-T1"	ENSG00000182272	"Beta-1,4-N-acetyl-galactosaminyltransferase 4"	Q76KP1	11	369499-382117	"Enzymes, Metabolic proteins, Predicted intracellular proteins"		Transferase		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"brain: 33.3;ovary: 27.8"	"Cell type enhanced"	"Detected in many"		"Astrocytes: 129.1;Excitatory neurons: 30.8;Horizontal cells: 39.1;Inhibitory neurons: 31.6;Muller glia cells: 41.9;Oligodendrocyte precursor cells: 27.0;Oligodendrocytes: 30.7"	"Low cancer specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Low cancer specificity"	"Detected in many"			"Adipose visceral - Mesothelial cells, Colon - Enteric glia cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA043276, HPA053126"	Uncertain		Uncertain	Nucleoplasm,Vesicles,Cytosol	"Intracellular and membrane"	NA	No				"Cluster 35: Non-specific - Unknown function"	"Cluster 21: Neuroblastoma - Neuronal signaling"	"Cluster 63: Astrocytes - Nervous system maintenance"	"Nucleoplasm, Cytosol"	Vesicles	"HPA043276: , HPA053126: AB_2682049"	"unprognostic (6.11e-2)"	"unprognostic (7.82e-2)"	"unprognostic (1.79e-1)"	"unprognostic (6.92e-3)"	"unprognostic (5.36e-2)"	"unprognostic (1.57e-1)"	"unprognostic (1.45e-1)"	"unprognostic (2.72e-2)"	"unprognostic (1.33e-1)"	"unprognostic (1.53e-1)"	"unprognostic (1.69e-3)"	"unprognostic (4.99e-3)"	"unprognostic (1.52e-10)"	"unprognostic (9.01e-2)"	"unprognostic (2.56e-1)"	"unprognostic (2.92e-4)"	"unprognostic (1.25e-1)"
B4GALT2	beta4Gal-T2	ENSG00000117411	"Beta-1,4-galactosyltransferase 2"	O60909	1	43978943-43991170	"Enzymes, Metabolic proteins, Predicted membrane proteins"		"Glycosyltransferase, Transferase"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in many"		"Alveolar cells type 1: 50.0"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Low cancer specificity"	"Detected in all"			"Testis - Spermatogonia"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA007620, HPA047739"	Supported		Supported	"Golgi apparatus,Vesicles"		NA	NA		3100000	"Cluster 16: MAIT-cells - Unknown function"	"Cluster 80: Striated muscle - Unknown function"	"Cluster 38: Non-specific - mRNA processing"	"Cluster 16: Non-specific - RNA binding"	"Golgi apparatus, Vesicles"		"HPA007620: AB_2667879, HPA047739: AB_2680141"	"unprognostic (1.11e-1)"	"unprognostic (1.82e-1)"	"unprognostic (1.15e-1)"	"unprognostic (7.59e-2)"	"unprognostic (1.19e-1)"	"unprognostic (2.35e-1)"	"prognostic unfavorable (2.96e-5)"	"unprognostic (1.12e-2)"	"unprognostic (1.45e-1)"	"unprognostic (2.08e-2)"	"unprognostic (4.23e-3)"	"unprognostic (7.58e-2)"	"prognostic unfavorable (3.62e-5)"	"unprognostic (6.54e-2)"	"unprognostic (1.52e-1)"	"unprognostic (7.66e-2)"	"unprognostic (3.12e-3)"
B4GALT5	beta4GalT-V	ENSG00000158470	"Beta-1,4-galactosyltransferase 5"	O43286	20	49632945-49713878	"Enzymes, Metabolic proteins, Predicted intracellular proteins"	"Lipid biosynthesis, Lipid metabolism, Sphingolipid metabolism"	"Glycosyltransferase, Transferase"		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Immune cell enhanced"	"Detected in many"		"neutrophil: 6.6"	"Lineage enriched"	"Detected in many"	4	"granulocytes: 6.6"	"Low cancer specificity"	"Detected in all"				"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA077777			Approved	Vesicles	"Intracellular and membrane"	NA	NA			"Cluster 9: Neutrophils - Innate immune response"	"Cluster 55: Non-specific - Mitochondria & Proteasome"	"Cluster 37: Ovarian cancer RMG-I - Cellular stress response"	"Cluster 75: Myeloid cells - Innate immune response"	Vesicles		"HPA077777: "	"unprognostic (7.98e-2)"	"unprognostic (5.27e-2)"	"unprognostic (2.62e-1)"	"unprognostic (1.88e-2)"	"unprognostic (2.76e-1)"	"unprognostic (1.61e-2)"	"prognostic unfavorable (2.69e-5)"	"unprognostic (1.73e-1)"	"unprognostic (1.50e-1)"	"unprognostic (1.39e-2)"	"prognostic unfavorable (1.87e-5)"	"unprognostic (1.04e-1)"	"unprognostic (1.50e-1)"	"unprognostic (3.30e-2)"	"unprognostic (5.41e-1)"	"unprognostic (2.07e-1)"	"unprognostic (2.69e-2)"
